Load (lbf),Resistance (Ohms)
0.7324,33007.7504
0.7323,33041.8571
0.7324,33738.5492
0.7323,33410.2827
0.7324,33340.0874
0.732,33559.6394
0.7323,33365.6277
0.7326,33227.5975
0.7324,33150.9736
0.7324,33160.4177
0.7322,33282.0884
0.7323,33045.3285
0.7324,33014.7678
0.7324,33218.4619
0.7323,33087.3582
0.7324,33367.2154
0.7323,33290.0509
0.7323,33235.6031
0.7323,33230.1092
0.7321,32998.4996
0.7324,33431.3235
0.7322,33286.6017
0.7321,33132.988
0.7323,32919.3252
0.7326,33250.3667
0.7332,32989.7725
0.732,33070.3448
0.7318,33058.842
0.7322,33053.1841
0.7321,32981.0931
0.7321,33175.5962
0.7321,33142.6926
0.7318,33095.6721
0.7321,32985.086
0.7323,32962.995
0.7321,32941.2007
0.732,33075.4774
0.7321,33023.4665
0.7319,32952.1139
0.7319,33000.0504
0.7322,33056.4442
0.732,33261.999
0.7324,33010.2522
0.7319,32827.0088
0.7321,32856.7694
0.7318,32751.1019
0.7322,33045.3739
0.7323,32788.9951
0.7323,32839.501
0.732,32844.9861
0.7322,33081.082
0.7319,32797.9788
0.7319,32751.3111
0.7321,32897.4488
0.732,32811.8335
0.732,32804.5959
0.7319,33023.4321
0.7317,32961.4354
0.7318,32802.6646
0.732,32773.1033
0.7315,32758.1389
0.7319,32880.5502
0.732,32944.4551
0.732,32891.9316
0.7321,32763.493
0.7321,32978.9004
0.7318,32910.8922
0.7319,32875.0757
0.732,32817.3044
0.7323,32749.787
0.732,32952.1576
0.732,32920.6654
0.7318,32684.0739
0.7319,32876.8035
0.7321,32786.6015
0.7322,32768.7503
0.7319,32687.509
0.7319,32721.7506
0.7321,34055.3363
0.7599,23502.7855
0.8663,17783.1341
1.2316,17499.2368
1.2312,17493.0351
1.2311,17459.3881
1.2312,17460.1672
1.2307,17319.9565
1.2308,17445.6549
1.2306,17448.4524
1.2308,17291.1927
1.2308,17357.4875
1.2306,17332.7153
1.2307,17348.2281
1.2308,17319.8204
1.2306,17410.5255
1.2308,17285.5833
1.2307,17236.9576
1.2305,17156.1593
1.2307,17280.0412
1.2308,17292.3296
1.2306,17382.873
1.2306,17434.5178
1.2307,17374.8761
1.2307,17207.3098
1.2304,17212.7634
1.231,17216.0706
1.2306,17256.4121
1.2307,17138.7951
1.2308,17273.8726
1.2305,17261.9758
1.2306,17167.0859
1.2306,17159.5326
1.2306,17306.4232
1.2308,17157.4458
1.2306,17365.3547
1.2305,17245.507
1.2307,20211.6882
1.2038,32800.3325
0.7327,32181.463
0.7334,32459.3507
0.7332,32401.4309
0.7332,32456.4399
0.7328,32492.8697
0.733,32800.0093
0.7324,32608.722
0.7326,32802.4947
0.7328,32605.2844
0.7332,32691.2435
0.7332,32460.7389
0.7332,32526.7352
0.7326,32459.3939
0.7329,32336.3488
0.7333,32284.7861
0.7333,32467.6923
0.733,32390.1738
0.7334,31913.8775
