Load (lbf),Resistance (Ohms)
0.7071,41269.9571
0.7071,41430.0773
0.7071,41393.2685
0.707,41424.439
0.7071,41691.231
0.7071,41729.5962
0.7071,41757.017
0.7071,41814.3233
0.707,41624.3045
0.7069,41592.2423
0.7069,41719.2662
0.7067,41777.2282
0.7067,41812.1339
0.7071,41793.6193
0.707,41791.1165
0.7068,41802.4001
0.7068,41663.9139
0.707,41386.5641
0.7071,41722.2174
0.7069,41499.5469
0.7069,41600.677
0.7068,41483.9497
0.7069,41355.3523
0.7068,41461.9218
0.707,41577.5309
0.7068,41482.9494
0.7072,41435.0851
0.7074,41468.4961
0.7073,41546.4896
0.7074,41410.6294
0.7073,41501.7011
0.7072,41420.8501
0.7072,41562.5439
0.7073,41413.7202
0.7072,41402.628
0.7073,41514.5039
0.7074,41462.3506
0.7072,41435.0912
0.7074,41554.7103
0.7075,41534.2699
0.7073,41390.7939
0.7074,41426.7657
0.7073,41500.2005
0.7073,41310.5545
0.7073,41283.0398
0.7074,41530.6326
0.7072,41439.1558
0.7071,41452.2525
0.7069,41391.2725
0.7071,41984.406
0.7071,41590.4932
0.7075,41505.4627
0.7072,41428.7283
0.7072,41480.0231
0.7072,41750.1403
0.7072,41525.2443
0.7074,41624.4739
0.7071,41733.911
0.7073,41450.5447
0.707,41622.7249
0.7071,41549.9046
0.7072,41615.2044
0.7075,41589.2153
0.707,41660.8715
0.7072,41610.4092
0.7071,41770.8407
0.7075,41695.2565
0.7072,41503.7922
0.7073,41558.1413
0.7072,41690.1715
0.7074,41525.8563
0.7073,41353.2403
0.7074,39017.5781
0.9583,37777.7892
0.7544,4545.3926
3.4168,3407.30665
5.7112,3229.55996
5.7,3292.75793
5.7036,3181.56324
5.7041,3241.84822
5.7016,3250.85677
5.7042,3256.02313
5.7005,3258.16665
5.7229,46299.2615
0.6344,40571.8572
0.7263,39110.6399
0.7262,38229.337
0.7265,37669.8034
0.7263,37959.3644
0.7262,37377.2253
0.726,37467.0703
0.7262,31421.6358
0.7788,31763.181
0.8534,9537.54479
1.3122,3313.22812
5.723,3275.07925
5.7173,3243.31156
5.7163,3123.40796
5.7156,3307.01192
5.7176,4423.23115
5.1318,42321.42
0.7214,39300.4013
0.727,38952.0129
0.727,37722.1738
0.727,38248.2265
0.7269,37438.5849
0.7268,38159.4082
0.727,37171.0467
0.7276,23284.4412
0.8978,37262.3666
0.8674,4878.53282
2.2543,3305.61989
5.7475,3172.92034
5.7236,3089.02717
5.7402,3136.03687
5.7312,3043.86464
5.736,3066.26515
5.7331,3048.50872
5.7341,7274.79319
4.0341,40333.6241
0.7353,39300.3356
0.737,37332.1884
0.7373,37186.5718
0.7372,36667.0371
0.7369,35391.1275
0.737,35548.202
0.7369,35572.2814
0.7369,35408.2954
0.737,35364.554
0.7366,35358.6319
0.7366,26613.5083
0.893,18444.9835
0.8548,6939.24189
2.1834,4559.8991
5.4483,3569.51363
5.7157,3189.08205
5.7149,3193.16227
5.7387,3154.10912
5.7399,3109.34565
5.7392,3134.59415
5.7445,3175.83023
5.7414,2976.03062
5.7438,3118.91067
5.7416,120757.726
2.608,41599.704
0.7385,38562.0535
0.7396,37702.8325
0.7396,36989.286
0.7396,37319.0977
0.7395,37339.011
0.7393,38267.8442
0.7392,37498.1172
0.7392,36491.1617
0.7393,36385.9522
0.7394,36653.1493
0.7393,34386.2938
0.7423,27088.8011
1.0847,20568.7628
0.8158,3706.61011
4.037,3197.21373
5.7257,3194.45523
5.7141,3044.06913
5.7232,3085.47736
5.7179,3008.78191
5.7239,3119.69017
5.72,3004.90557
5.7254,3085.05011
5.7258,2978.31561
5.7236,4058.40951
5.3158,43592.8117
0.7306,40645.7876
0.733,39211.9502
0.733,37894.2051
0.7329,36562.6073
0.7329,36425.0583
0.733,36285.375
0.732,36577.9762
0.7328,36564.0571
0.7327,35940.8139
0.7326,37783.951
0.8311,22452.7483
1.0718,16337.9221
1.3065,12085.5688
1.5019,12576.16
2.2077,4071.25584
3.3918,3189.29295
5.7267,3127.20799
5.725,3151.32196
5.7297,3113.24913
5.728,3014.12276
5.7287,3170.50867
5.727,3178.82239
5.7272,2859.01678
5.7253,3170.96107
5.709,92643.4017
2.1241,41006.1285
0.7387,39914.2682
0.7394,37720.0616
0.7395,36365.5073
0.7399,35145.6696
