Sensor, Timestamp, Value
LoadCell, 2024-05-03 14:33:49.239583, None
DMM, 2024-05-03 14:33:49.239583, 33057.894
LoadCell, 2024-05-03 14:33:49.870641, 0.7324
DMM, 2024-05-03 14:33:49.870641, 33007.7504
LoadCell, 2024-05-03 14:33:49.888149, None
DMM, 2024-05-03 14:33:49.888149, 32729.7017
LoadCell, 2024-05-03 14:33:49.906522, None
DMM, 2024-05-03 14:33:49.906522, 32482.9521
LoadCell, 2024-05-03 14:33:49.925542, None
DMM, 2024-05-03 14:33:49.925542, 32702.8809
LoadCell, 2024-05-03 14:33:49.945477, None
DMM, 2024-05-03 14:33:49.945477, 32994.7281
LoadCell, 2024-05-03 14:33:49.965987, 0.7323
DMM, 2024-05-03 14:33:49.965987, 33041.8571
LoadCell, 2024-05-03 14:33:49.986194, None
DMM, 2024-05-03 14:33:49.986194, 32629.9315
LoadCell, 2024-05-03 14:33:50.007537, None
DMM, 2024-05-03 14:33:50.007537, 32890.7641
LoadCell, 2024-05-03 14:33:50.025150, None
DMM, 2024-05-03 14:33:50.025150, 33143.2083
LoadCell, 2024-05-03 14:33:50.046499, None
DMM, 2024-05-03 14:33:50.046499, 34015.9592
LoadCell, 2024-05-03 14:33:50.065274, 0.7324
DMM, 2024-05-03 14:33:50.065274, 33738.5492
LoadCell, 2024-05-03 14:33:50.085283, None
DMM, 2024-05-03 14:33:50.085283, 32965.5361
LoadCell, 2024-05-03 14:33:50.106870, None
DMM, 2024-05-03 14:33:50.106870, 32971.9882
LoadCell, 2024-05-03 14:33:50.125441, None
DMM, 2024-05-03 14:33:50.125441, 33079.3215
LoadCell, 2024-05-03 14:33:50.145353, None
DMM, 2024-05-03 14:33:50.145353, 33466.0884
LoadCell, 2024-05-03 14:33:50.165287, 0.7323
DMM, 2024-05-03 14:33:50.165287, 33410.2827
LoadCell, 2024-05-03 14:33:50.185211, None
DMM, 2024-05-03 14:33:50.185211, 33291.1145
LoadCell, 2024-05-03 14:33:50.205409, None
DMM, 2024-05-03 14:33:50.205409, 33098.4943
LoadCell, 2024-05-03 14:33:50.227811, None
DMM, 2024-05-03 14:33:50.227811, 33210.2257
LoadCell, 2024-05-03 14:33:50.245642, None
DMM, 2024-05-03 14:33:50.245642, 33259.2041
LoadCell, 2024-05-03 14:33:50.265572, 0.7324
DMM, 2024-05-03 14:33:50.265572, 33340.0874
LoadCell, 2024-05-03 14:33:50.285088, None
DMM, 2024-05-03 14:33:50.285088, 33057.9069
LoadCell, 2024-05-03 14:33:50.305906, None
DMM, 2024-05-03 14:33:50.305906, 32780.9978
LoadCell, 2024-05-03 14:33:50.328747, None
DMM, 2024-05-03 14:33:50.328747, 33139.9059
LoadCell, 2024-05-03 14:33:50.346437, None
DMM, 2024-05-03 14:33:50.346437, 33070.6967
LoadCell, 2024-05-03 14:33:50.365955, 0.732
DMM, 2024-05-03 14:33:50.365955, 33559.6394
LoadCell, 2024-05-03 14:33:50.385744, None
DMM, 2024-05-03 14:33:50.385744, 33196.5535
LoadCell, 2024-05-03 14:33:50.405424, None
DMM, 2024-05-03 14:33:50.405424, 32969.6736
LoadCell, 2024-05-03 14:33:50.425351, None
DMM, 2024-05-03 14:33:50.425351, 33094.671
LoadCell, 2024-05-03 14:33:50.447818, None
DMM, 2024-05-03 14:33:50.447818, 33272.5857
LoadCell, 2024-05-03 14:33:50.465757, 0.7323
DMM, 2024-05-03 14:33:50.465757, 33365.6277
LoadCell, 2024-05-03 14:33:50.486140, None
DMM, 2024-05-03 14:33:50.486140, 33019.8221
LoadCell, 2024-05-03 14:33:50.505685, None
DMM, 2024-05-03 14:33:50.505685, 32785.662
LoadCell, 2024-05-03 14:33:50.525381, None
DMM, 2024-05-03 14:33:50.525381, 33052.0002
LoadCell, 2024-05-03 14:33:50.547574, None
DMM, 2024-05-03 14:33:50.547574, 33165.6495
LoadCell, 2024-05-03 14:33:50.565722, 0.7326
DMM, 2024-05-03 14:33:50.565722, 33227.5975
LoadCell, 2024-05-03 14:33:50.586046, None
DMM, 2024-05-03 14:33:50.586046, 32875.2047
LoadCell, 2024-05-03 14:33:50.605650, None
DMM, 2024-05-03 14:33:50.605650, 32766.7118
LoadCell, 2024-05-03 14:33:50.625425, None
DMM, 2024-05-03 14:33:50.625425, 32876.401
LoadCell, 2024-05-03 14:33:50.645454, None
DMM, 2024-05-03 14:33:50.645454, 33055.6567
LoadCell, 2024-05-03 14:33:50.667465, 0.7324
DMM, 2024-05-03 14:33:50.667465, 33150.9736
LoadCell, 2024-05-03 14:33:50.685306, None
DMM, 2024-05-03 14:33:50.685306, 32974.1342
LoadCell, 2024-05-03 14:33:50.705268, None
DMM, 2024-05-03 14:33:50.705268, 32779.9881
LoadCell, 2024-05-03 14:33:50.726201, None
DMM, 2024-05-03 14:33:50.726201, 32953.5797
LoadCell, 2024-05-03 14:33:50.745412, None
DMM, 2024-05-03 14:33:50.745412, 33051.5547
LoadCell, 2024-05-03 14:33:50.766814, 0.7324
DMM, 2024-05-03 14:33:50.766814, 33160.4177
LoadCell, 2024-05-03 14:33:50.785248, None
DMM, 2024-05-03 14:33:50.785248, 32803.0895
LoadCell, 2024-05-03 14:33:50.805478, None
