Force (lbf),Resistance (Ohms),Expected Resistance (Ohms),Percent Error (%)
5.723,3275.07925,4070.15092,19.53
5.7475,3172.92034,4053.31349,21.72
5.7445,3175.83023,4055.36762,21.69
5.7258,2978.31561,4068.21946,26.79
5.7297,3113.24913,4065.53231,23.42
5.7482,2917.12271,4052.8345,28.02
5.7424,3211.18707,4056.80676,20.84
5.7312,3135.67232,4064.49975,22.85
5.7326,3066.52137,4063.53651,24.54
5.7807,4407.34912,4030.72144,9.34
5.734,5552.66433,4062.57373,36.68
5.7319,3082.69107,4064.01807,24.15
5.7338,3020.88248,4062.71124,25.64
5.7803,3068.68024,4030.99211,23.87
5.7404,3074.47427,4058.17834,24.24
5.7472,3122.73575,4053.51881,22.96
5.7512,2954.96291,4050.78298,27.05
5.7537,3035.46437,4049.07499,25.03
5.7545,3090.36551,4048.52874,23.67
5.7293,3008.6072,4065.80775,26
5.7281,3010.48991,4066.63429,25.97
5.7409,3463.71192,4057.83536,14.64
5.7148,3156.92423,4075.81808,22.55
5.7187,2958.77659,4073.12073,27.36
5.7306,3065.96866,4064.91271,24.57
5.7365,2947.12775,4060.85563,27.43
5.7235,2915.43182,4069.80588,28.36
5.7359,2999.4366,4061.26784,26.15
5.7214,3033.84615,4071.25545,25.48
5.7173,3069.10253,4074.08859,24.67
5.738,5477.49022,4059.82548,34.92
5.7401,2951.0892,4058.38416,27.28
5.7311,3030.67394,4064.56857,25.44
5.7333,2806.1052,4063.05506,30.94
5.7444,3325.919,4055.43612,17.99
5.745,2958.94847,4055.02512,27.03
5.7655,3872.03602,4041.03298,4.18
5.7395,3051.80606,4058.79586,24.81
5.7075,2942.01659,4080.87672,27.91
5.7239,2942.36253,4069.52989,27.7
5.727,2900.69465,4067.39226,28.68
5.7368,2695.45127,4060.64956,33.62
5.7654,2845.96286,4041.10099,29.57
5.7317,2854.98295,4064.15568,29.75
5.7485,2859.2886,4052.62925,29.45
5.7351,2889.26887,4061.81758,28.87
5.7261,2790.03307,4068.01263,31.42
5.7037,2990.73139,4083.51504,26.76
5.7496,2856.72405,4051.87686,29.5
5.7373,2915.59871,4060.30615,28.19
5.7715,4817.53251,4036.95624,19.34
5.7572,3050.67483,4046.68626,24.61
5.7317,2961.00298,4064.15568,27.14
5.7355,2999.1133,4061.54269,26.16
5.7357,3094.59141,4061.40526,23.8
5.7369,2869.82746,4060.58087,29.32
5.7336,2951.55056,4062.84876,27.35
5.7533,2907.18432,4049.34817,28.21
5.7493,2957.00675,4052.08203,27.03
5.738,2810.51222,4059.82548,30.77
5.7875,5655.30807,4026.12567,40.47
5.7428,3027.20388,4056.53256,25.37
5.7568,2754.27553,4046.95911,31.94
5.7543,3094.15969,4048.66529,23.58
5.7667,2910.52682,4040.21696,27.96
5.7571,2822.88884,4046.75447,30.24
5.7524,2892.74341,4049.96296,28.57
5.7376,3001.98274,4060.10013,26.06
5.7402,2996.48348,4058.31555,26.16
5.7478,2918.03441,4053.1082,28.01
5.7152,2818.15391,4075.54126,30.85
5.728,3007.15023,4066.70319,26.05
5.728,2969.7946,4066.70319,26.97
5.7572,2798.4707,4046.68626,30.85
5.7318,2929.31369,4064.08687,27.92
5.7448,3045.42135,4055.16211,24.9
5.7263,2895.67102,4067.87475,28.82
5.7264,2888.05052,4067.80582,29
5.7327,2926.13203,4063.46772,27.99
5.7488,2824.87528,4052.42403,30.29
5.7582,2957.28153,4046.00429,26.91
5.7331,3064.44924,4063.1926,24.58
5.7302,3012.50162,4065.18806,25.9
5.7339,2969.71593,4062.64248,26.9
5.7351,2943.66679,4061.81758,27.53
5.7362,2943.92255,4061.06172,27.51
5.7466,3096.49884,4053.92951,23.62
5.7463,3128.11778,4054.13489,22.84
5.7463,3003.54973,4054.13489,25.91
5.7181,2922.5583,4073.53547,28.25
5.7169,2853.90494,4074.36521,29.95
5.7305,2775.38061,4064.98154,31.72
5.7253,2937.32155,4068.56423,27.8
5.7251,3035.62523,4068.70215,25.39
5.7223,3014.23786,4070.63408,25.95
5.7403,2927.25106,4058.24694,27.87
5.7192,3025.89937,4072.77517,25.7
5.7371,3057.15424,4060.4435,24.71
5.7216,3055.44659,4071.11735,24.95
5.7306,2988.86222,4064.91271,26.47
5.7531,2948.0947,4049.48477,27.2
5.7299,3121.62798,4065.3946,23.21
5.7252,3084.72132,4068.63319,24.18
5.7105,2999.3387,4078.79628,26.47
5.705,2947.99433,4082.61207,27.79
5.7103,2891.82083,4078.93491,29.1
5.7237,2973.48927,4069.66788,26.94
5.7134,2949.58253,4076.78724,27.65
5.7325,2799.52174,4063.60529,31.11
5.7276,3119.03307,4066.97879,23.31
5.7188,2928.94094,4073.05161,28.09
5.7383,3079.26866,4059.61951,24.15
5.7289,2904.5936,4066.08323,28.57
5.7155,2862.66955,4075.33367,29.76
5.7351,2870.53758,4061.81758,29.33
5.7615,3013.07748,4043.75545,25.49
5.7261,3065.65071,4068.01263,24.64
5.7544,3063.86303,4048.59702,24.32
5.7519,2929.99508,4050.3046,27.66
5.76,2817.39483,4044.77733,30.34
5.7588,2987.01727,4045.59522,26.17
5.7605,3056.38514,4044.43665,24.43
5.763,3041.67853,4042.73408,24.76
5.7838,3046.64055,4028.62499,24.38
5.7476,2926.83883,4053.24506,27.79
5.7455,2995.5559,4054.68267,26.12
5.8323,4123.04027,3996.11153,3.18
5.7375,2995.90608,4060.1688,26.21
5.734,2766.1463,4062.57373,31.91
5.7358,2934.89481,4061.33655,27.74
5.7149,5020.68062,4075.74887,23.18
5.7385,2950.24296,4059.48221,27.32
5.7355,2874.01801,4061.54269,29.24
5.7729,3047.70976,4036.00621,24.49
5.7512,2883.72513,4050.78298,28.81
5.7742,2817.92095,4035.12444,30.17
5.7423,3078.15938,4056.87532,24.12
5.7549,3105.69379,4048.25567,23.28
5.7407,2904.9975,4057.97254,28.41
5.737,2936.76515,4060.51219,27.68
