Force (lbf),Resistance (Ohms),Expected Resistance (Ohms),Percent Error (%)
5.723,3275.07925,3250.45197,0.76
5.7475,3172.92034,3235.39616,-1.93
5.7445,3175.83023,3237.23253,-1.9
5.7258,2978.31561,3248.7245,-8.32
5.7297,3113.24913,3246.32132,-4.1
5.7482,2917.12271,3234.96796,-9.83
5.7424,3211.18707,3238.51918,-0.84
5.7312,3135.67232,3245.39793,-3.38
5.7326,3066.52137,3244.53655,-5.49
5.7319,3082.69107,3244.96718,-5
5.7338,3020.88248,3243.79858,-6.87
5.7803,3068.68024,3215.44825,-4.56
5.7404,3074.47427,3239.74547,-5.1
5.7472,3122.73575,3235.57971,-3.49
5.7512,2954.96291,3233.13406,-8.6
5.7537,3035.46437,3231.60733,-6.07
5.7545,3090.36551,3231.11907,-4.36
5.7293,3008.6072,3246.56764,-7.33
5.7281,3010.48991,3247.30683,-7.29
5.7409,3463.71192,3239.43882,6.92
5.7148,3156.92423,3255.52114,-3.03
5.7187,2958.77659,3253.1083,-9.05
5.7306,3065.96866,3245.76722,-5.54
5.7365,2947.12775,3242.13931,-9.1
5.7235,2915.43182,3250.14336,-10.3
5.7359,2999.4366,3242.5079,-7.5
5.7214,3033.84615,3251.43988,-6.69
5.7173,3069.10253,3253.97405,-5.68
5.7401,2951.0892,3239.9295,-8.92
5.7311,3030.67394,3245.45947,-6.62
5.7333,2806.1052,3244.10603,-13.5
5.7444,3325.919,3237.29378,2.74
5.745,2958.94847,3236.92633,-8.59
5.7655,3872.03602,3224.41982,20.08
5.7395,3051.80606,3240.2976,-5.82
5.7075,2942.01659,3260.04673,-9.76
5.7239,2942.36253,3249.89652,-9.46
5.727,2900.69465,3247.9847,-10.69
5.7368,2695.45127,3241.95505,-16.86
5.7654,2845.96286,3224.4806,-11.74
5.7317,2854.98295,3245.09024,-12.02
5.7485,2859.2886,3234.78448,-11.61
5.7351,2889.26887,3242.99947,-10.91
5.7261,2790.03307,3248.53952,-14.11
5.7037,2990.73139,3262.4073,-8.33
5.7496,2856.72405,3234.11189,-11.67
5.7373,2915.59871,3241.64799,-10.06
5.7572,3050.67483,3229.47223,-5.54
5.7317,2961.00298,3245.09024,-8.75
5.7355,2999.1133,3242.75367,-7.51
5.7357,3094.59141,3242.63078,-4.57
5.7369,2869.82746,3241.89363,-11.48
5.7336,2951.55056,3243.92155,-9.01
5.7533,2907.18432,3231.85151,-10.05
5.7493,2957.00675,3234.2953,-8.57
5.738,2810.51222,3241.2182,-13.29
5.7428,3027.20388,3238.27403,-6.52
5.7568,2754.27553,3229.71611,-14.72
5.7543,3094.15969,3231.24112,-4.24
5.7667,2910.52682,3223.6906,-9.71
5.7571,2822.88884,3229.5332,-12.59
5.7524,2892.74341,3232.40106,-10.51
5.7376,3001.98274,3241.46378,-7.39
5.7402,2996.48348,3239.86815,-7.51
5.7478,2918.03441,3235.21264,-9.8
5.7152,2818.15391,3255.27351,-13.43
