Force (lbf),Resistance (Ohms),Expected Resistance (Ohms),Percent Error (%)
5.76,3851.7556,3227.76611,19.33
5.757,3309.71269,3229.59417,2.48
5.795,3422.89557,3206.58463,6.75
5.746,3042.23294,3236.3141,-6.0
5.86,3377.71922,3167.94774,6.62
5.76,3183.01319,3227.76611,-1.39
5.765,3087.40387,3224.72375,-4.26
5.745,3047.46926,3236.92633,-5.85
5.821,3053.25756,3191.02183,-4.32
5.742,3229.07139,3238.76437,-0.3
5.775,3194.0505,3218.65553,-0.76
5.78,3123.00801,3215.62963,-2.88
5.782,3149.49214,3214.4208,-2.02
5.796,3077.96424,3205.98337,-3.99
5.774,3594.44508,3219.26136,11.65
5.786,3190.17059,3212.00576,-0.68
5.81,3776.91284,3197.58836,18.12
5.798,3097.5617,3204.78149,-3.35
5.788,3057.15599,3210.79954,-4.79
5.785,3096.13415,3212.60919,-3.63
5.776,3092.03658,3218.04991,-3.92
5.755,3211.76816,3230.81398,-0.59
5.758,2940.96122,3228.98459,-8.92
5.771,3142.61857,3221.08018,-2.44
5.763,3029.96533,3225.94003,-6.07
5.929,3162.64985,3127.8999,1.11
5.777,3112.49475,3217.44451,-3.26
5.776,2993.03414,3218.04991,-6.99
5.73,3080.86836,3246.1366,-5.09
