Load (lbf),Resistance (Ohms)
4.007,4378.16388
4.013,4405.22602
4.022,4341.41413
4.024,4232.93901
4.026,4279.13229
4.029,4347.89879
4.031,4328.79792
4.033,4264.14727
4.036,4259.46464
4.045,4238.09105
4.049,4268.88403
4.055,4239.23815
4.06,4344.98387
4.063,4354.53705
4.07,4406.44089
4.075,4260.51645
4.086,4260.7033
4.093,4277.60464
4.101,4186.93923
4.106,4331.36044
4.115,4287.3416
4.121,4196.47491
4.128,4216.48374
4.133,4123.94343
4.138,4288.78147
4.145,4100.99356
4.15,4237.83506
4.156,4246.74044
4.162,4308.57565
4.167,4315.39926
4.172,4185.26457
4.174,4221.16905
4.177,4200.5882
4.182,4088.3393
4.188,4160.31955
4.194,4098.73327
4.202,4201.20097
4.207,4280.82779
4.213,4222.46883
4.215,4168.9287
4.219,4309.74808
4.225,4267.69653
4.23,4076.79641
4.237,4253.40491
4.246,4149.24335
4.256,4044.24041
4.264,4075.68356
4.273,4160.4986
4.28,4023.95375
4.289,4125.04818
4.293,3950.95394
4.297,3979.58309
4.3,4076.0756
4.304,3905.29399
4.31,3913.92815
4.314,4073.82594
4.325,3827.61146
4.334,4033.90581
4.343,3952.66587
4.346,4029.28255
4.349,3903.97559
4.353,3857.38677
4.356,3883.3035
4.358,3797.09075
4.362,3938.59488
4.367,3894.04596
4.369,4025.41338
4.374,3923.53976
4.381,3928.73649
4.388,3981.00059
4.397,3911.79336
4.402,3796.13156
4.407,3848.46253
4.409,3984.14349
4.413,3846.63
4.422,3825.17714
4.426,3945.3261
4.433,3654.12075
4.437,3883.33519
4.441,3846.9534
4.451,3856.89764
4.453,3872.72364
4.457,3600.42713
4.465,3708.55452
4.468,3763.25146
4.475,3860.79279
4.48,3710.65135
4.484,3758.45136
4.492,3812.47915
4.498,3728.49937
4.507,3707.15899
4.513,3725.46871
4.523,3704.21745
4.527,3788.05516
4.534,3844.40501
4.539,3747.59239
4.545,3755.50977
4.552,3842.72452
4.556,3732.28145
4.559,3644.39856
4.564,3770.66361
4.568,3632.40274
4.574,3619.20544
4.58,3619.86028
4.584,3623.33941
4.591,3616.91057
4.594,3651.22491
4.599,3628.90223
4.604,3863.50463
4.607,3772.65297
4.613,3662.73539
4.618,3671.5141
4.623,3573.73663
4.63,3441.24435
4.634,3663.04968
4.641,3668.17625
4.647,3674.1175
4.65,3556.38339
4.654,3723.99139
4.66,3567.56842
4.665,3652.0141
4.674,3531.02069
4.678,3748.41202
4.686,3769.25379
4.692,3813.9076
4.698,3618.60851
4.706,3677.30593
4.717,3575.29446
4.723,3707.4977
4.727,3622.3222
4.734,3659.0531
4.738,3650.33538
4.745,3540.64747
4.749,3527.7207
4.758,3509.29114
4.763,3708.37813
4.775,3516.02378
4.779,3492.60851
4.783,3463.9156
4.787,3434.00834
4.792,3478.29095
4.797,3533.91298
4.802,3654.48661
4.806,3445.08749
4.813,3529.0557
