,Load (lbf),Resistance (Ohms)
0,0.006,165752.892
1,0.006,165787.214
2,0.006,165899.768
3,0.006,165973.12
4,0.006,165960.842
5,0.006,166146.46
6,0.006,166313.451
7,0.006,166054.808
8,0.006,166013.245
9,0.006,166070.308
10,0.006,166288.743
11,0.006,165830.598
12,0.006,166146.824
13,0.006,166368.169
14,0.006,166098.665
15,0.006,166179.42
16,0.006,166417.725
17,0.006,166205.636
18,0.006,166037.61
19,0.006,166140.488
20,0.006,166125.724
21,0.006,166418.158
22,0.006,166165.434
23,0.006,166086.071
24,0.006,166032.213
25,0.006,166162.265
26,0.006,165087.441
27,0.006,165374.771
28,0.006,165437.144
29,0.006,165125.376
30,0.005,165320.836
31,0.005,165410.109
32,0.005,165109.249
33,0.005,165459.141
34,0.006,165538.551
35,0.006,165634.737
36,0.006,165575.507
37,0.006,165562.663
38,0.006,165721.568
39,0.006,165987.556
40,0.006,165305.761
41,0.006,165572.638
42,0.006,164868.537
43,0.006,164902.435
44,0.006,164861.304
45,0.006,165293.664
46,0.006,165386.057
47,0.006,165151.068
48,0.006,165155.466
49,0.006,164761.947
50,0.006,165166.427
51,0.006,165077.269
52,0.006,164766.735
53,0.006,165009.186
54,0.006,164584.088
55,0.006,164413.904
56,0.006,164718.516
57,0.006,164625.061
58,0.006,164930.011
59,0.006,165067.746
60,0.006,164948.226
61,0.006,164010.837
62,0.006,164369.978
63,0.006,164773.749
64,0.006,164310.625
65,0.006,164655.265
66,0.006,164707.808
67,0.006,164702.802
68,0.006,164869.814
69,0.006,165475.0
70,0.006,165441.085
71,0.006,165618.837
72,0.006,165936.476
73,0.006,165448.708
74,0.006,165260.236
75,0.006,164204.195
76,0.006,163006.967
77,0.006,162974.137
78,0.006,162820.83
79,0.006,163153.467
80,0.006,164254.462
81,0.006,164036.046
82,0.006,164632.645
83,0.006,164559.912
84,0.006,164353.16
85,0.006,164963.958
86,0.006,164503.053
87,0.006,164553.876
88,0.006,164565.663
89,0.006,164235.634
90,0.006,164473.47
91,0.006,164633.217
92,0.006,164173.672
93,0.006,164470.193
94,0.006,164748.634
95,0.006,165115.628
96,0.006,165371.263
97,0.006,165065.508
98,0.006,165039.557
99,0.006,164750.405
100,0.006,164855.627
101,0.006,164988.609
102,0.006,164920.346
103,0.006,165578.492
104,0.006,165124.12
105,0.006,165030.897
106,0.006,165396.835
107,0.006,146288.907
108,0.006,68853.3616
109,0.304,72849.2344
110,0.285,73903.8539
111,0.243,73605.8477
112,0.242,70728.6427
113,0.27,69726.4933
114,0.282,68808.7439
115,0.287,68204.7949
116,0.288,67239.678
117,0.291,66760.0192
118,0.295,66083.9636
119,0.301,65641.9438
120,0.306,63275.2006
121,0.313,62730.1245
122,0.324,62100.697
123,0.33,61582.336
124,0.337,60482.5339
125,0.341,59799.5557
126,0.346,59005.0891
127,0.348,58788.7816
128,0.35,58336.898
129,0.354,58041.3583
130,0.359,56484.3024
131,0.362,55619.6171
132,0.366,54366.763
133,0.371,53543.8671
134,0.374,53106.6449
135,0.378,52516.6731
136,0.383,52170.0091
137,0.386,51031.0112
138,0.391,50438.3062
139,0.397,49601.2976
140,0.401,48911.8629
141,0.408,48071.9298
142,0.414,47618.7127
143,0.422,47460.754
144,0.427,46345.3418
145,0.433,45429.2713
146,0.439,44731.7381
147,0.445,44123.6729
148,0.452,43613.812
149,0.459,42859.178
150,0.464,42593.401
151,0.47,42195.0989
152,0.477,41862.2935
153,0.479,41574.3674
154,0.484,41298.2165
155,0.488,41059.9546
156,0.491,40193.7508
157,0.496,39447.0169
158,0.502,39162.0899
159,0.507,38899.6902
160,0.514,38231.4449
161,0.517,37432.6326
162,0.523,36934.8154
163,0.53,36329.3263
164,0.539,35728.0886
165,0.545,35401.2622
166,0.551,35172.1435
167,0.556,34641.0174
168,0.56,34038.2149
169,0.567,33502.1225
170,0.57,33035.9469
171,0.575,32633.8782
172,0.583,32249.6332
173,0.587,31704.1988
174,0.595,31581.3733
175,0.599,31287.5961
176,0.604,30588.7148
177,0.612,30239.173
178,0.618,29889.8953
179,0.624,29671.5562
180,0.63,29224.7011
181,0.635,28931.326
182,0.639,28644.3192
183,0.646,28244.1296
184,0.653,28100.5081
185,0.658,28064.5641
186,0.663,27844.9943
187,0.665,27676.1428
188,0.671,27426.9336
189,0.677,26880.5007
190,0.683,26583.2774
