Load (lbf),Resistance (Ohms)
0.157,254454.41
0.233,241513.527
0.236,233623.317
0.243,229986.357
0.247,220970.863
0.255,220856.188
0.26,217634.328
0.265,213143.617
0.272,214700.527
0.279,210437.191
0.281,205727.8
0.283,202999.094
0.29,192106.386
0.306,183775.931
0.309,171040.149
0.311,169666.245
0.313,169768.46
0.314,166882.248
0.318,157254.255
0.326,150169.209
0.337,147098.359
0.342,144144.45
0.345,140433.254
0.35,137451.463
0.354,133169.833
0.362,131331.891
0.369,128744.582
0.377,125957.84
0.381,123582.444
0.387,121566.974
0.389,119639.225
0.392,118089.782
0.396,115335.004
0.41,111242.818
0.422,105826.167
0.427,106188.868
0.429,105200.99
0.432,105225.554
0.432,104950.452
0.432,104540.599
0.432,104039.193
0.433,104097.157
0.434,103932.473
0.436,102708.829
0.439,101612.518
0.446,99617.5065
0.454,96670.9976
0.463,94707.6005
0.474,93357.8019
0.484,90415.3839
0.494,89477.5919
0.5,89293.5451
0.504,88686.4276
0.511,87529.3676
0.516,86860.903
0.521,86623.6365
0.524,86067.4028
0.53,85330.39
0.533,84023.0579
0.542,83389.3942
0.55,82458.0245
0.557,81932.3952
0.563,81674.5589
0.567,81167.5144
0.57,80629.7747
0.576,80078.2402
0.585,77938.965
0.594,76706.8944
0.603,75839.8104
0.608,74924.1331
0.613,73659.4659
0.618,71499.7969
0.623,70762.1038
0.628,70304.4585
0.633,69932.0761
0.635,68289.9442
0.642,67248.2899
0.657,66617.5719
0.665,65648.7808
0.667,65174.6225
0.67,64666.1392
0.673,63927.4084
0.674,63657.1398
0.675,63151.0387
0.678,63121.1519
0.681,62229.4061
0.683,61994.235
0.687,61014.5826
0.692,60783.3258
0.699,60198.7234
0.707,58418.9355
0.716,58116.0404
0.721,57685.9672
0.724,56279.2676
0.728,56046.4839
0.734,54701.8657
0.748,53979.3442
0.756,53267.8782
0.767,52726.774
0.776,51908.6343
0.782,51304.7204
0.786,50575.6793
0.792,50308.6262
0.794,50334.3895
0.801,49362.5613
0.807,49102.2651
0.814,48829.1017
0.815,48616.9105
0.82,48203.7264
0.826,47499.0705
0.832,47113.967
0.838,46386.8127
0.844,46274.8132
0.846,45625.7822
0.85,45478.6363
0.853,45148.3019
0.857,44452.0358
0.865,43994.9692
0.869,43344.163
0.879,42866.2766
0.885,42573.159
0.892,42301.1769
0.897,41683.1309
0.905,41489.5851
0.909,40935.5028
0.915,40905.9379
0.923,40602.726
0.927,39720.507
0.934,39034.1943
0.94,38924.7881
0.948,38467.9627
0.955,38279.4646
0.961,37584.6725
0.967,37511.6514
0.97,37238.7701
0.973,36724.9694
0.982,36344.1983
0.994,36212.7029
1,35894.3904
1.005,35972.3763
1.005,35588.2768
1.007,35405.8078
1.012,35322.0363
1.014,35118.8045
1.016,34962.7615
1.021,34544.4929
1.026,34189.9966
1.033,33568.6092
1.044,33261.4346
1.051,33087.5153
1.057,32894.8373
1.061,32818.2669
1.065,32579.231
1.072,32491.6663
1.076,32128.2043
1.083,31648.4943
1.087,31810.6359
1.094,31405.7212
1.101,31202.1007
1.107,31104.5693
1.113,30538.1498
1.119,30704.6469
1.123,30358.6163
1.128,30163.9872
1.131,29701.1812
1.137,29520.3237
1.143,29219.0066
1.15,28720.9286
1.155,28450.1041
1.163,28089.619
1.172,27900.3967
1.178,27772.222
1.183,27387.4528
1.189,27305.0404
1.192,27179.2391
1.197,27110.3416
1.201,26966.4229
1.204,26559.8182
1.212,26419.3202
1.215,26151.824
1.221,25957.148
1.226,25667.1218
1.236,25127.7471
1.246,25060.6164
1.255,24738.8608
1.263,24567.1677
1.271,24289.5191
1.275,24153.6344
1.277,24155.2982
1.282,23931.3522
1.286,23742.473
1.288,23858.5355
1.291,23707.1651
1.295,23461.1056
1.301,23469.6632
1.307,23407.7357
1.311,23180.2201
1.318,22702.2309
1.325,22628.7477
1.334,22468.2182
1.338,22112.85
1.346,21935.2407
1.351,21702.3421
1.36,21776.5071
1.364,21569.5255
