Load (lbf),Resistance (Ohms)
0.001,285501.571
0.001,285519.99
0,286058.147
0.001,287012.018
0.001,286928.812
0.001,286717.84
0,286525.653
0.001,286764.586
0.001,286936.996
0,287095.936
0.001,287794.978
0.001,287383.762
0.001,287416.017
0.001,287608.241
0.001,287754.244
0.001,287552.807
0.001,287579.209
0.001,287398.505
0.001,287224.738
0.001,286815.574
0.001,286641.61
0.001,286453.358
0.001,286877.777
0.001,286769.457
0.001,286465.104
0.001,286828.839
0.001,286389.69
0,286390.062
0,285929.242
0,285832.113
0,286668.094
0,285875.419
0,286770.097
0,287004.205
0,287237.985
0,286844.063
0.001,287271.487
0.001,286733.797
0.001,286574.194
0.001,286474.814
0.001,285821.848
0,285936.572
0.001,285444.587
0.001,285165.909
0.001,285639.042
0.001,284961.614
0.001,284864.341
0.001,286031.99
0.001,285889.95
0.001,285971.613
0.001,286435.044
0.001,286116.394
0.001,175284.988
0.005,110166.607
0.289,109696.566
0.276,98615.189
0.3,93811.5212
0.319,87805.3856
0.342,84904.2193
0.36,79058.0866
0.377,75642.7287
0.401,72185.7555
0.415,71202.0709
0.436,67593.2708
0.448,63266.5137
0.477,61244.1566
0.491,59264.6418
0.507,56877.2801
0.527,56006.5689
0.549,55462.1826
0.566,52156.9316
0.595,50476.6285
0.601,49747.7299
0.613,48792.8301
0.639,47697.1533
0.659,46522.1379
0.672,44649.8488
0.693,43119.3899
0.715,41799.8746
0.733,41078.3236
0.752,39210.4427
0.773,37289.83
0.792,36596.6915
0.81,35951.5481
0.825,34654.7558
0.846,33351.0343
0.871,32608.3825
0.886,32058.4031
0.903,31719.3075
0.922,30412.8151
0.943,29324.5066
0.965,28623.1703
0.983,28116.2793
0.999,27275.2061
1.016,26840.6129
1.037,26463.9749
1.057,25115.5972
1.076,24593.7387
1.093,24069.7763
1.111,23073.5948
1.132,22479.3254
1.151,22130.8495
1.167,21730.5698
1.19,21150.6459
1.209,20564.7187
1.225,20294.4104
1.246,19852.5294
1.265,19511.9442
1.285,19023.2134
1.3,18697.2437
1.321,18502.1308
1.339,18072.2337
1.362,17820.6704
1.379,17541.5425
1.394,17238.8425
1.415,17125.9697
1.437,16828.383
1.449,16487.4009
1.476,16300.5623
1.495,16022.2389
1.512,15649.8852
1.533,15521.9064
1.551,15158.8565
1.564,15016.9186
1.591,14624.3333
1.607,14438.3395
1.625,14041.3077
1.646,13901.2315
1.664,13831.1352
1.686,13563.4003
1.704,13353.9654
1.719,13072.6043
1.745,12836.0648
1.752,12727.0061
1.762,12348.353
1.803,12277.4794
1.819,11966.4182
1.84,11815.4532
1.859,11547.4909
1.869,11530.2599
1.891,11219.5302
1.913,11135.6718
1.937,10876.5994
1.953,10783.3006
1.966,10689.2596
1.992,10298.3463
2.023,10346.3783
2.035,10310.1701
2.037,10235.3181
2.05,9946.65096
2.086,9948.1483
2.104,9974.22451
2.112,9840.98202
2.122,9552.70423
2.136,9539.65433
2.167,9472.06766
2.181,9370.97496
2.207,9180.55356
2.232,9090.55218
2.246,8874.26003
2.264,8682.35814
2.288,8703.82927
2.302,8636.25609
2.322,8389.04767
2.342,8417.00936
2.36,8426.13155
2.373,8260.83582
2.392,8085.97947
2.411,8110.44166
2.431,7937.47871
2.447,7905.94442
2.47,7939.54249
2.492,7629.60328
2.516,7632.5152
2.54,7534.53759
2.552,7448.49648
2.565,7499.21474
2.593,7308.81869
2.61,7244.1513
2.621,7252.34453
2.638,7144.60926
2.656,7199.42788
2.682,6959.47802
2.7,6925.60814
