Load (lbf),Resistance (Ohms)
0.739,24444.2916
0.739,24466.3018
0.739,24120.1911
0.739,24408.1785
0.739,24833.9549
0.739,24991.4806
0.739,24873.1662
0.739,24695.412
0.739,24816.1602
0.739,24667.596
0.739,24704.4261
0.739,24521.2741
0.739,24643.1258
0.737,24706.4457
0.737,24538.5984
0.737,24778.0885
0.737,24649.0956
0.737,24517.664
0.737,24573.0919
0.737,24552.1652
0.737,24555.2154
0.737,24531.2629
0.737,24489.5565
0.737,24507.735
0.737,24501.8463
0.737,24520.3689
0.737,24461.1061
0.737,24511.232
0.737,24614.4843
0.737,24589.377
0.737,24576.4989
0.737,24683.8727
0.737,24627.2779
0.737,24685.2744
0.737,24603.8174
0.737,24528.8016
0.737,24490.7819
0.737,24560.744
0.737,24447.1291
0.737,24609.7878
0.737,24585.5203
0.737,24451.7067
0.737,24519.5372
0.737,24497.4614
0.737,24559.6775
0.737,24492.1949
0.737,24465.1667
0.737,24438.3919
0.737,24430.7429
0.737,24609.604
0.737,24577.5753
0.737,24353.0872
0.737,24595.7035
0.737,24465.99
0.737,24507.97
0.737,24509.3377
0.737,24564.7212
0.737,24580.9722
0.737,24287.309
0.737,24417.9654
0.738,24573.6628
0.737,24663.1291
0.737,24546.9825
0.737,24351.4101
0.738,24245.6324
0.738,24458.9875
0.738,24434.4839
0.738,24477.0846
0.738,24407.1005
0.738,24437.3418
0.738,24339.5973
0.738,25414.8411
0.982,24812.1076
0.741,19159.9684
1.261,5271.31991
2.708,13260.3392
1.932,3489.15002
5.524,3249.52328
5.728,3062.09867
5.729,3170.72421
5.739,3151.43327
5.733,3178.84691
5.737,2990.73831
5.735,2948.11993
5.737,3120.03109
5.737,3134.63132
5.737,3138.96659
5.737,3110.6674
5.76,3851.7556
5.699,34715.4134
1.299,29956.8854
0.74,28433.3811
0.742,27972.8045
0.741,26967.8168
0.742,26674.636
0.742,26591.5448
0.741,26317.8255
0.741,26266.5901
0.741,25747.9701
0.741,25520.4995
0.741,25373.1519
0.741,25542.6145
0.741,25649.6023
0.741,25556.5073
0.741,17438.3665
0.903,11552.8335
1.735,9678.19226
1.815,4441.73719
2.86,3283.83004
5.757,3309.71269
5.742,3132.71214
5.731,3231.95483
5.732,3120.18986
5.735,3007.43351
5.73,3113.11784
5.734,3153.36599
5.73,3068.3306
5.732,3111.31712
5.729,3153.09383
5.73,3121.45737
5.733,3117.64269
5.735,3028.28588
5.734,3038.04398
5.737,3148.27126
5.731,3119.09411
5.739,3135.70385
5.705,34417.9828
1.289,32112.0719
0.741,30713.3789
0.741,29972.5493
0.741,29844.5227
0.741,29390.4746
0.741,28337.0885
0.741,27628.3745
0.741,26684.286
0.741,26862.4251
0.74,26398.7754
0.739,26457.7526
1.068,21150.6795
1.314,12338.2494
2.677,3413.26207
5.795,3422.89557
5.745,3047.05315
5.709,3172.96813
5.729,3094.02274
5.717,3183.87458
5.723,3049.07411
5.719,3232.45012
5.721,3051.73095
5.719,3074.7867
5.719,3150.58772
5.719,3118.90163
5.72,3148.25128
5.72,3124.77079
5.725,3258.93627
5.719,4828.25573
5.458,33769.162
0.746,31576.3832
0.749,31144.4864
0.749,29533.5409
0.749,29065.5144
0.749,28869.8976
0.749,28374.8436
0.749,28165.7233
0.749,28197.0262
0.749,17614.7811
1.12,15548.7812
1.999,5233.29047
3.673,3305.85874
5.574,3275.26526
5.746,3042.23294
5.729,3170.88937
5.722,3126.85063
5.723,3027.89916
5.721,3202.36809
5.72,3101.24162
5.722,3052.52606
5.721,3188.40088
5.722,3198.17803
5.722,3085.864
5.722,3137.74077
5.72,3238.80756
5.72,2965.637
5.721,3166.83469
5.72,3096.37106
5.699,4045.67787
5.439,34362.3196
0.737,32679.5238
0.751,31779.5796
0.751,30936.1816
0.751,30704.8316
0.751,30280.1223
0.751,29701.2881
0.751,29130.8537
0.751,28721.7715
0.751,28834.6307
0.751,27904.9064
0.751,29153.3314
0.745,9532.20837
1.196,11894.4944
1.668,11409.2425
1.951,3489.20691
4.363,3130.93704
5.669,3173.23521
5.709,3248.69356
5.722,3282.59565
5.719,3179.44364
5.723,3124.79436
5.724,3202.98292
5.721,3343.38194
5.721,3150.55485
5.719,3130.19678
5.718,3262.29729
5.719,3179.91899
5.722,3232.04769
5.72,3176.70615
5.72,3169.40387
5.719,3175.80359
5.72,3184.81197
5.72,3325.97701
5.925,36946.5778
1.335,32424.3815
0.749,31967.6911
0.75,31122.5577
0.75,31448.4463
0.75,31166.7081
0.75,31046.5741
0.75,30777.1724
0.749,29786.674
0.75,29959.3274
0.749,29851.6946
0.82,21106.4631
0.975,27211.4449
1.188,3215.39954
4.839,3184.20843
5.735,3101.745
5.725,3059.55561
5.726,3163.23557
5.724,3191.22336
5.727,3085.45526
5.729,3125.67243
5.73,3156.063
5.729,3023.19632
5.727,3107.87634
5.726,2971.04338
5.726,3097.67777
5.726,3229.01515
5.738,3085.99824
5.727,3126.86009
5.86,3377.71922
5.403,33813.9488
0.795,32659.315
0.749,31976.7448
0.749,32028.0765
0.748,31826.1225
0.749,31182.0124
0.748,31092.19
0.748,30332.6409
0.748,30446.4157
0.748,30087.0032
0.748,29972.2356
0.748,28354.9743
0.748,20498.9799
0.928,15056.6229
1.188,18942.1587
1.106,28536.9254
1.185,6159.29706
1.201,3287.53819
5.76,3183.01319
5.735,3100.94345
5.74,3142.88486
5.739,3007.92452
5.74,2995.77311
5.739,3066.88892
5.74,3055.41248
5.739,3047.29483
5.74,3096.66883
5.738,3057.66866
5.738,3160.48982
5.738,3038.81137
5.739,2936.48713
5.739,3020.21933
5.738,3151.70869
5.739,2964.79692
5.739,4063.94476
5.665,36964.7081
0.737,34595.1273
0.742,32917.7059
0.742,31427.5912
