,Load (lbf),Resistance (Ohms)
0,0.746,27232.2781
1,0.746,27231.0767
2,0.746,27169.4111
3,0.746,27295.0306
4,0.746,27709.1096
5,0.746,27480.5126
6,0.746,27363.4608
7,0.746,27380.5369
8,0.746,27141.6762
9,0.746,27062.4181
10,0.746,27178.0206
11,0.743,27108.0686
12,0.744,27176.8967
13,0.744,27098.3883
14,0.744,27119.1227
15,0.744,27197.2867
16,0.745,27040.998
17,0.745,27061.5894
18,0.745,27080.9514
19,0.745,27926.9087
20,0.745,27315.3898
21,0.745,27104.4318
22,0.745,27053.499
23,0.745,26991.1315
24,0.745,27140.6249
25,0.745,27096.6353
26,0.744,26916.7254
27,0.742,26897.3641
28,0.743,26936.4545
29,0.743,26951.2139
30,0.743,26993.8136
31,0.743,27135.1207
32,0.744,26984.4708
33,0.744,27077.642
34,0.744,26989.5402
35,0.744,27144.4069
36,0.744,27043.903
37,0.744,26972.9516
38,0.745,27053.4173
39,0.745,26948.4483
40,0.745,27041.0512
41,0.745,27047.584
42,0.745,27075.8942
43,0.745,26981.4337
44,0.745,27104.9696
45,0.745,27081.1975
46,0.745,27123.0183
47,0.745,27221.6307
48,0.745,27212.4884
49,0.745,27077.9335
50,0.745,27181.8342
51,0.745,27082.4052
52,0.745,27225.4201
53,0.745,27228.1339
54,0.746,27264.3405
55,0.746,27264.4761
56,0.746,27268.7968
57,0.746,27280.9446
58,0.746,27250.9093
59,0.745,27287.059
60,0.746,27167.2996
61,0.746,27330.5423
62,0.746,27314.7992
63,0.745,27224.6725
64,0.746,27311.0819
65,0.746,27186.9638
66,0.746,27246.484
67,0.746,27260.243
68,0.746,27276.0935
69,0.745,27239.7875
70,0.746,27183.0779
71,0.746,27268.886
72,0.746,27321.4213
73,0.746,27236.1224
74,0.745,27098.9686
75,0.746,27228.8117
76,0.746,27218.8634
77,0.744,27135.5653
78,0.745,27148.0091
79,0.745,27163.2722
80,0.745,26967.7167
81,0.745,26870.0999
82,0.745,26998.3744
83,0.745,27029.3936
84,0.745,26623.5613
85,0.746,22581.0199
86,0.855,22705.6683
87,0.983,28003.0635
88,0.84,35098.7866
89,1.617,3598.31216
90,4.164,3549.59564
91,5.742,3392.64916
92,5.742,3319.44934
93,5.746,3460.79803
94,5.747,3396.56718
95,5.746,3280.11304
96,5.747,3374.39246
97,5.746,3377.22816
98,5.747,3306.97227
99,5.747,3363.93595
100,5.746,3376.22565
101,5.747,3401.05287
102,5.747,3331.90097
103,5.746,3488.99284
104,5.746,3386.5325
105,5.746,3300.54174
106,5.746,3222.37826
107,5.746,3383.32596
108,5.746,3354.3455
109,5.746,3421.66057
110,5.747,3441.20411
111,5.747,3465.72541
112,5.746,3405.60775
113,5.746,3307.76733
114,5.746,3344.82037
115,5.746,3354.04927
116,5.746,3345.90717
117,5.746,3412.82739
118,5.746,3228.09573
119,5.746,3547.88347
120,5.746,3327.28249
121,5.746,3401.163
122,5.745,3427.92277
123,5.746,3290.96668
124,5.746,3375.07764
125,5.745,3185.20885
126,5.745,3314.77547
127,5.745,3212.07308
128,5.745,3359.64156
129,5.745,3447.20048
130,5.745,3398.65635
131,5.745,3307.70276
132,5.745,3420.97548
133,5.745,3253.66141
134,5.745,3341.17001
135,5.745,3376.21868
136,5.745,3351.82681
137,5.745,3381.6004
138,5.745,3354.58723
139,5.744,3372.52997
140,5.744,3404.97505
141,5.744,3265.38408
142,5.744,3367.69413
143,5.744,3299.01149
144,5.744,3453.30106
145,5.744,3377.84604
146,5.745,3294.47635
147,5.744,3270.91569
148,5.746,3684.23463
149,5.473,56393.5677
150,1.051,37955.4422
151,0.743,36225.7243
152,0.743,34357.1449
