Sensor, Timestamp, Value
LoadCell, 2024-04-29 14:46:56.569364, None
DMM, 2024-04-29 14:46:56.569364, 166530.401
LoadCell, 2024-04-29 14:46:57.336155, 0.006
DMM, 2024-04-29 14:46:57.336155, 165752.892
LoadCell, 2024-04-29 14:46:57.373261, None
DMM, 2024-04-29 14:46:57.373261, 166049.978
LoadCell, 2024-04-29 14:46:57.390823, None
DMM, 2024-04-29 14:46:57.390823, 166293.752
LoadCell, 2024-04-29 14:46:57.425234, None
DMM, 2024-04-29 14:46:57.425234, 165338.197
LoadCell, 2024-04-29 14:46:57.456975, None
DMM, 2024-04-29 14:46:57.456975, 165729.563
LoadCell, 2024-04-29 14:46:57.474367, 0.006
DMM, 2024-04-29 14:46:57.474367, 165787.214
LoadCell, 2024-04-29 14:46:57.498582, None
DMM, 2024-04-29 14:46:57.498582, 166272.018
LoadCell, 2024-04-29 14:46:57.517857, None
DMM, 2024-04-29 14:46:57.517857, 165692.906
LoadCell, 2024-04-29 14:46:57.537929, None
DMM, 2024-04-29 14:46:57.537929, 165411.607
LoadCell, 2024-04-29 14:46:57.558216, None
DMM, 2024-04-29 14:46:57.558216, 165642.902
LoadCell, 2024-04-29 14:46:57.573890, 0.006
DMM, 2024-04-29 14:46:57.573890, 165899.768
LoadCell, 2024-04-29 14:46:57.597779, None
DMM, 2024-04-29 14:46:57.597779, 166133.092
LoadCell, 2024-04-29 14:46:57.618576, None
DMM, 2024-04-29 14:46:57.618576, 165587.709
LoadCell, 2024-04-29 14:46:57.641072, None
DMM, 2024-04-29 14:46:57.641072, 165016.074
LoadCell, 2024-04-29 14:46:57.657920, None
DMM, 2024-04-29 14:46:57.657920, 165530.51
LoadCell, 2024-04-29 14:46:57.678750, 0.006
DMM, 2024-04-29 14:46:57.678750, 165973.12
LoadCell, 2024-04-29 14:46:57.699005, None
DMM, 2024-04-29 14:46:57.699005, 166219.499
LoadCell, 2024-04-29 14:46:57.718537, None
DMM, 2024-04-29 14:46:57.718537, 165596.992
LoadCell, 2024-04-29 14:46:57.738159, None
DMM, 2024-04-29 14:46:57.738159, 165223.621
LoadCell, 2024-04-29 14:46:57.757341, None
DMM, 2024-04-29 14:46:57.757341, 165761.476
LoadCell, 2024-04-29 14:46:57.774705, 0.006
DMM, 2024-04-29 14:46:57.774705, 165960.842
LoadCell, 2024-04-29 14:46:57.798034, None
DMM, 2024-04-29 14:46:57.798034, 166437.85
LoadCell, 2024-04-29 14:46:57.818190, None
DMM, 2024-04-29 14:46:57.818190, 165982.35
