Sensor, Timestamp, Value
LoadCell, 2024-04-29 14:17:44.211970, None
DMM, 2024-04-29 14:17:44.211970,285689.939
LoadCell, 2024-04-29 14:17:44.844718,0.001
DMM, 2024-04-29 14:17:44.844718,285501.571
LoadCell, 2024-04-29 14:17:44.863200, None
DMM, 2024-04-29 14:17:44.863200,285357.8
LoadCell, 2024-04-29 14:17:44.889321, None
DMM, 2024-04-29 14:17:44.889321,284550.205
LoadCell, 2024-04-29 14:17:44.908026, None
DMM, 2024-04-29 14:17:44.908026,284751.839
LoadCell, 2024-04-29 14:17:44.929279, None
DMM, 2024-04-29 14:17:44.929279,285111.499
LoadCell, 2024-04-29 14:17:44.949731,0.001
DMM, 2024-04-29 14:17:44.949731,285519.99
LoadCell, 2024-04-29 14:17:44.963574, None
DMM, 2024-04-29 14:17:44.963574,285464.138
LoadCell, 2024-04-29 14:17:44.992395, None
DMM, 2024-04-29 14:17:44.992395,284620.774
LoadCell, 2024-04-29 14:17:45.009404, None
DMM, 2024-04-29 14:17:45.009404,285024.513
LoadCell, 2024-04-29 14:17:45.029150, None
DMM, 2024-04-29 14:17:45.029150,285338.162
LoadCell, 2024-04-29 14:17:45.049643,0
DMM, 2024-04-29 14:17:45.049643,286058.147
LoadCell, 2024-04-29 14:17:45.063277, None
DMM, 2024-04-29 14:17:45.063277,285980.766
LoadCell, 2024-04-29 14:17:45.091075, None
DMM, 2024-04-29 14:17:45.091075,285184.393
LoadCell, 2024-04-29 14:17:45.109525, None
DMM, 2024-04-29 14:17:45.109525,285741.33
LoadCell, 2024-04-29 14:17:45.129804, None
DMM, 2024-04-29 14:17:45.129804,286387.974
LoadCell, 2024-04-29 14:17:45.149935,0.001
DMM, 2024-04-29 14:17:45.149935,287012.018
LoadCell, 2024-04-29 14:17:45.163293, None
DMM, 2024-04-29 14:17:45.163293,286675.011
LoadCell, 2024-04-29 14:17:45.179885, None
DMM, 2024-04-29 14:17:45.179885,285168.569
LoadCell, 2024-04-29 14:17:45.210693, None
DMM, 2024-04-29 14:17:45.210693,286105.723
LoadCell, 2024-04-29 14:17:45.224539, None
DMM, 2024-04-29 14:17:45.224539,286523.522
LoadCell, 2024-04-29 14:17:45.249746,0.001
DMM, 2024-04-29 14:17:45.249746,286928.812
LoadCell, 2024-04-29 14:17:45.263286, None
DMM, 2024-04-29 14:17:45.263286,286633.773
LoadCell, 2024-04-29 14:17:45.290101, None
DMM, 2024-04-29 14:17:45.290101,285479.952
LoadCell, 2024-04-29 14:17:45.310782, None
DMM, 2024-04-29 14:17:45.310782,285593.002
LoadCell, 2024-04-29 14:17:45.329319, None
DMM, 2024-04-29 14:17:45.329319,286126.705
LoadCell, 2024-04-29 14:17:45.349711,0.001
DMM, 2024-04-29 14:17:45.349711,286717.84
LoadCell, 2024-04-29 14:17:45.363499, None
DMM, 2024-04-29 14:17:45.363499,286595.536
LoadCell, 2024-04-29 14:17:45.379992, None
DMM, 2024-04-29 14:17:45.379992,285317.499
LoadCell, 2024-04-29 14:17:45.409439, None
DMM, 2024-04-29 14:17:45.409439,285662.282
LoadCell, 2024-04-29 14:17:45.430564, None
DMM, 2024-04-29 14:17:45.430564,286017.75
LoadCell, 2024-04-29 14:17:45.449828,0
DMM, 2024-04-29 14:17:45.449828,286525.653
LoadCell, 2024-04-29 14:17:45.463290, None
DMM, 2024-04-29 14:17:45.463290,286694.636
LoadCell, 2024-04-29 14:17:45.490089, None
DMM, 2024-04-29 14:17:45.490089,285675.937
LoadCell, 2024-04-29 14:17:45.508992, None
DMM, 2024-04-29 14:17:45.508992,285493.199
LoadCell, 2024-04-29 14:17:45.530970, None
DMM, 2024-04-29 14:17:45.530970,285987.841
LoadCell, 2024-04-29 14:17:45.549895,0.001
DMM, 2024-04-29 14:17:45.549895,286764.586
LoadCell, 2024-04-29 14:17:45.563193, None
DMM, 2024-04-29 14:17:45.563193,286942.955
LoadCell, 2024-04-29 14:17:45.589988, None
DMM, 2024-04-29 14:17:45.589988,285681.33
LoadCell, 2024-04-29 14:17:45.609634, None
DMM, 2024-04-29 14:17:45.609634,285513.29
LoadCell, 2024-04-29 14:17:45.624754, None
DMM, 2024-04-29 14:17:45.624754,286056.202
LoadCell, 2024-04-29 14:17:45.652600,0.001
DMM, 2024-04-29 14:17:45.652600,286936.996
LoadCell, 2024-04-29 14:17:45.663443, None
DMM, 2024-04-29 14:17:45.663443,286915.836
LoadCell, 2024-04-29 14:17:45.690014, None
DMM, 2024-04-29 14:17:45.690014,286035.404
LoadCell, 2024-04-29 14:17:45.709295, None
DMM, 2024-04-29 14:17:45.709295,285926.947
LoadCell, 2024-04-29 14:17:45.724480, None
DMM, 2024-04-29 14:17:45.724480,286398.481
LoadCell, 2024-04-29 14:17:45.750671,0
DMM, 2024-04-29 14:17:45.750671,287095.936
LoadCell, 2024-04-29 14:17:45.769799, None
DMM, 2024-04-29 14:17:45.769799,287535.33
LoadCell, 2024-04-29 14:17:45.789539, None
DMM, 2024-04-29 14:17:45.789539,286539.036
LoadCell, 2024-04-29 14:17:45.809968, None
DMM, 2024-04-29 14:17:45.809968,286698.334
LoadCell, 2024-04-29 14:17:45.829670, None
DMM, 2024-04-29 14:17:45.829670,287155.636
LoadCell, 2024-04-29 14:17:45.849666,0.001
DMM, 2024-04-29 14:17:45.849666,287794.978
LoadCell, 2024-04-29 14:17:45.863227, None
DMM, 2024-04-29 14:17:45.863227,287954.842
LoadCell, 2024-04-29 14:17:45.889888, None
DMM, 2024-04-29 14:17:45.889888,286559.235
LoadCell, 2024-04-29 14:17:45.909333, None
DMM, 2024-04-29 14:17:45.909333,286182.828
LoadCell, 2024-04-29 14:17:45.929246, None
DMM, 2024-04-29 14:17:45.929246,286924.524
LoadCell, 2024-04-29 14:17:45.949939,0.001
DMM, 2024-04-29 14:17:45.949939,287383.762
LoadCell, 2024-04-29 14:17:45.963257, None
DMM, 2024-04-29 14:17:45.963257,287187.388
LoadCell, 2024-04-29 14:17:45.990996, None
DMM, 2024-04-29 14:17:45.990996,286158.269
LoadCell, 2024-04-29 14:17:46.008016, None
DMM, 2024-04-29 14:17:46.008016,286349.999
LoadCell, 2024-04-29 14:17:46.029017, None
DMM, 2024-04-29 14:17:46.029017,286801.972
LoadCell, 2024-04-29 14:17:46.050072,0.001
DMM, 2024-04-29 14:17:46.050072,287416.017
LoadCell, 2024-04-29 14:17:46.063185, None
DMM, 2024-04-29 14:17:46.063185,287425.397
LoadCell, 2024-04-29 14:17:46.092134, None
DMM, 2024-04-29 14:17:46.092134,286117.816
LoadCell, 2024-04-29 14:17:46.109240, None
DMM, 2024-04-29 14:17:46.109240,286326.297
LoadCell, 2024-04-29 14:17:46.129026, None
DMM, 2024-04-29 14:17:46.129026,286764.961
LoadCell, 2024-04-29 14:17:46.142053,0.001
DMM, 2024-04-29 14:17:46.142053,287608.241
LoadCell, 2024-04-29 14:17:46.163085, None
DMM, 2024-04-29 14:17:46.163085,287549.631
LoadCell, 2024-04-29 14:17:46.191769, None
DMM, 2024-04-29 14:17:46.191769,286447.547
LoadCell, 2024-04-29 14:17:46.209386, None
DMM, 2024-04-29 14:17:46.209386,286759.345
LoadCell, 2024-04-29 14:17:46.229575, None
DMM, 2024-04-29 14:17:46.229575,287097.876
LoadCell, 2024-04-29 14:17:46.250085,0.001
DMM, 2024-04-29 14:17:46.250085,287754.244
LoadCell, 2024-04-29 14:17:46.267950, None
DMM, 2024-04-29 14:17:46.267950,287946.345
LoadCell, 2024-04-29 14:17:46.275094, None
DMM, 2024-04-29 14:17:46.275094,286939.43
LoadCell, 2024-04-29 14:17:46.312096, None
DMM, 2024-04-29 14:17:46.312096,286832.203
LoadCell, 2024-04-29 14:17:46.328983, None
DMM, 2024-04-29 14:17:46.328983,287216.359
LoadCell, 2024-04-29 14:17:46.350055,0.001
DMM, 2024-04-29 14:17:46.350055,287552.807
LoadCell, 2024-04-29 14:17:46.370074, None
DMM, 2024-04-29 14:17:46.370074,287583.584
LoadCell, 2024-04-29 14:17:46.389878, None
DMM, 2024-04-29 14:17:46.389878,286551.483
LoadCell, 2024-04-29 14:17:46.410744, None
DMM, 2024-04-29 14:17:46.410744,286545.753
LoadCell, 2024-04-29 14:17:46.429286, None
DMM, 2024-04-29 14:17:46.429286,287133.492
LoadCell, 2024-04-29 14:17:46.450060,0.001
DMM, 2024-04-29 14:17:46.450060,287579.209
LoadCell, 2024-04-29 14:17:46.463139, None
DMM, 2024-04-29 14:17:46.463139,287859.336
LoadCell, 2024-04-29 14:17:46.489907, None
DMM, 2024-04-29 14:17:46.489907,286849.029
LoadCell, 2024-04-29 14:17:46.507912, None
DMM, 2024-04-29 14:17:46.507912,286661.525
LoadCell, 2024-04-29 14:17:46.530391, None
DMM, 2024-04-29 14:17:46.530391,287052.07
LoadCell, 2024-04-29 14:17:46.549662,0.001
DMM, 2024-04-29 14:17:46.549662,287398.505
LoadCell, 2024-04-29 14:17:46.569741, None
DMM, 2024-04-29 14:17:46.569741,287851.724
LoadCell, 2024-04-29 14:17:46.589814, None
DMM, 2024-04-29 14:17:46.589814,286619.024
LoadCell, 2024-04-29 14:17:46.609476, None
DMM, 2024-04-29 14:17:46.609476,286354.844
LoadCell, 2024-04-29 14:17:46.630185, None
DMM, 2024-04-29 14:17:46.630185,286726.036
LoadCell, 2024-04-29 14:17:46.650061,0.001
DMM, 2024-04-29 14:17:46.650061,287224.738
LoadCell, 2024-04-29 14:17:46.663222, None
DMM, 2024-04-29 14:17:46.663222,287384.192
LoadCell, 2024-04-29 14:17:46.689908, None
DMM, 2024-04-29 14:17:46.689908,286348.338
LoadCell, 2024-04-29 14:17:46.709914, None
DMM, 2024-04-29 14:17:46.709914,286472.636
LoadCell, 2024-04-29 14:17:46.729308, None
DMM, 2024-04-29 14:17:46.729308,286752.824
LoadCell, 2024-04-29 14:17:46.752117,0.001
DMM, 2024-04-29 14:17:46.752117,286815.574
LoadCell, 2024-04-29 14:17:46.763133, None
DMM, 2024-04-29 14:17:46.763133,286738.175
LoadCell, 2024-04-29 14:17:46.789947, None
DMM, 2024-04-29 14:17:46.789947,285778.577
LoadCell, 2024-04-29 14:17:46.809205, None
DMM, 2024-04-29 14:17:46.809205,285391.45
LoadCell, 2024-04-29 14:17:46.828760, None
DMM, 2024-04-29 14:17:46.828760,285911.85
LoadCell, 2024-04-29 14:17:46.851888,0.001
DMM, 2024-04-29 14:17:46.851888,286641.61
LoadCell, 2024-04-29 14:17:46.863322, None
DMM, 2024-04-29 14:17:46.863322,287083.904
LoadCell, 2024-04-29 14:17:46.890552, None
DMM, 2024-04-29 14:17:46.890552,286128.558
LoadCell, 2024-04-29 14:17:46.908019, None
DMM, 2024-04-29 14:17:46.908019,285756.451
LoadCell, 2024-04-29 14:17:46.924255, None
DMM, 2024-04-29 14:17:46.924255,286364.49
LoadCell, 2024-04-29 14:17:46.949972,0.001
DMM, 2024-04-29 14:17:46.949972,286453.358
LoadCell, 2024-04-29 14:17:46.971951, None
DMM, 2024-04-29 14:17:46.971951,286872.27
LoadCell, 2024-04-29 14:17:46.983951, None
DMM, 2024-04-29 14:17:46.983951,286186.209
LoadCell, 2024-04-29 14:17:47.008181, None
DMM, 2024-04-29 14:17:47.008181,285968.682
LoadCell, 2024-04-29 14:17:47.029251, None
DMM, 2024-04-29 14:17:47.029251,286410.843
LoadCell, 2024-04-29 14:17:47.049948,0.001
DMM, 2024-04-29 14:17:47.049948,286877.777
LoadCell, 2024-04-29 14:17:47.064030, None
DMM, 2024-04-29 14:17:47.064030,287139.59
LoadCell, 2024-04-29 14:17:47.089791, None
DMM, 2024-04-29 14:17:47.089791,286052.008
LoadCell, 2024-04-29 14:17:47.109827, None
DMM, 2024-04-29 14:17:47.109827,285554.211
LoadCell, 2024-04-29 14:17:47.129275, None
DMM, 2024-04-29 14:17:47.129275,286049.443
LoadCell, 2024-04-29 14:17:47.149785,0.001
DMM, 2024-04-29 14:17:47.149785,286769.457
LoadCell, 2024-04-29 14:17:47.167769, None
DMM, 2024-04-29 14:17:47.167769,287272.56
LoadCell, 2024-04-29 14:17:47.191441, None
DMM, 2024-04-29 14:17:47.191441,286141.668
LoadCell, 2024-04-29 14:17:47.209314, None
DMM, 2024-04-29 14:17:47.209314,285688.765
LoadCell, 2024-04-29 14:17:47.230063, None
DMM, 2024-04-29 14:17:47.230063,286178.76
LoadCell, 2024-04-29 14:17:47.246527,0.001
DMM, 2024-04-29 14:17:47.246527,286465.104
LoadCell, 2024-04-29 14:17:47.270213, None
DMM, 2024-04-29 14:17:47.270213,286942.54
LoadCell, 2024-04-29 14:17:47.291127, None
DMM, 2024-04-29 14:17:47.291127,286023.968
LoadCell, 2024-04-29 14:17:47.309555, None
DMM, 2024-04-29 14:17:47.309555,285639.574
LoadCell, 2024-04-29 14:17:47.329137, None
DMM, 2024-04-29 14:17:47.329137,286158.462
LoadCell, 2024-04-29 14:17:47.349852,0.001
DMM, 2024-04-29 14:17:47.349852,286828.839
LoadCell, 2024-04-29 14:17:47.362943, None
DMM, 2024-04-29 14:17:47.362943,287359.53
LoadCell, 2024-04-29 14:17:47.389789, None
DMM, 2024-04-29 14:17:47.389789,285950.789
LoadCell, 2024-04-29 14:17:47.411374, None
DMM, 2024-04-29 14:17:47.411374,285420.469
LoadCell, 2024-04-29 14:17:47.428952, None
DMM, 2024-04-29 14:17:47.428952,285964.117
LoadCell, 2024-04-29 14:17:47.446789,0.001
DMM, 2024-04-29 14:17:47.446789,286389.69
LoadCell, 2024-04-29 14:17:47.469809, None
DMM, 2024-04-29 14:17:47.469809,286870.6
LoadCell, 2024-04-29 14:17:47.490859, None
DMM, 2024-04-29 14:17:47.490859,285820.599
LoadCell, 2024-04-29 14:17:47.511024, None
DMM, 2024-04-29 14:17:47.511024,285440.453
LoadCell, 2024-04-29 14:17:47.529474, None
DMM, 2024-04-29 14:17:47.529474,285937.431
LoadCell, 2024-04-29 14:17:47.549751,0
DMM, 2024-04-29 14:17:47.549751,286390.062
LoadCell, 2024-04-29 14:17:47.557934, None
DMM, 2024-04-29 14:17:47.557934,286757.536
LoadCell, 2024-04-29 14:17:47.590718, None
DMM, 2024-04-29 14:17:47.590718,285830.343
LoadCell, 2024-04-29 14:17:47.609467, None
DMM, 2024-04-29 14:17:47.609467,285537.452
LoadCell, 2024-04-29 14:17:47.624706, None
DMM, 2024-04-29 14:17:47.624706,285921.263
LoadCell, 2024-04-29 14:17:47.641584,0
DMM, 2024-04-29 14:17:47.641584,285929.242
LoadCell, 2024-04-29 14:17:47.666938, None
DMM, 2024-04-29 14:17:47.666938,286275.206
LoadCell, 2024-04-29 14:17:47.690814, None
DMM, 2024-04-29 14:17:47.690814,285391.698
LoadCell, 2024-04-29 14:17:47.707583, None
DMM, 2024-04-29 14:17:47.707583,285111.921
LoadCell, 2024-04-29 14:17:47.730000, None
DMM, 2024-04-29 14:17:47.730000,285571.462
LoadCell, 2024-04-29 14:17:47.750199,0
DMM, 2024-04-29 14:17:47.750199,285832.113
LoadCell, 2024-04-29 14:17:47.769863, None
