Sensor, Timestamp, Value
LoadCell, 2024-05-01 14:07:07.815687, None
DMM, 2024-05-01 14:07:07.815687, 24534.4214
LoadCell, 2024-05-01 14:07:08.442856, 0.739
DMM, 2024-05-01 14:07:08.442856, 24444.2916
LoadCell, 2024-05-01 14:07:08.457240, None
DMM, 2024-05-01 14:07:08.457240, 24511.1093
LoadCell, 2024-05-01 14:07:08.486155, None
DMM, 2024-05-01 14:07:08.486155, 24496.3935
LoadCell, 2024-05-01 14:07:08.505124, None
DMM, 2024-05-01 14:07:08.505124, 24439.1571
LoadCell, 2024-05-01 14:07:08.524072, None
DMM, 2024-05-01 14:07:08.524072, 24631.4801
LoadCell, 2024-05-01 14:07:08.544648, 0.739
DMM, 2024-05-01 14:07:08.544648, 24466.3018
LoadCell, 2024-05-01 14:07:08.564456, None
DMM, 2024-05-01 14:07:08.564456, 24431.4986
LoadCell, 2024-05-01 14:07:08.585616, None
DMM, 2024-05-01 14:07:08.585616, 24165.7622
LoadCell, 2024-05-01 14:07:08.604966, None
DMM, 2024-05-01 14:07:08.604966, 24005.9383
LoadCell, 2024-05-01 14:07:08.623857, None
DMM, 2024-05-01 14:07:08.623857, 24066.3369
LoadCell, 2024-05-01 14:07:08.644706, 0.739
DMM, 2024-05-01 14:07:08.644706, 24120.1911
LoadCell, 2024-05-01 14:07:08.659509, None
DMM, 2024-05-01 14:07:08.659509, 24342.6249
LoadCell, 2024-05-01 14:07:08.685725, None
DMM, 2024-05-01 14:07:08.685725, 24416.5816
LoadCell, 2024-05-01 14:07:08.705484, None
DMM, 2024-05-01 14:07:08.705484, 24142.4614
LoadCell, 2024-05-01 14:07:08.724208, None
DMM, 2024-05-01 14:07:08.724208, 24319.5055
LoadCell, 2024-05-01 14:07:08.744549, 0.739
DMM, 2024-05-01 14:07:08.744549, 24408.1785
LoadCell, 2024-05-01 14:07:08.764561, None
DMM, 2024-05-01 14:07:08.764561, 24476.26
LoadCell, 2024-05-01 14:07:08.784916, None
DMM, 2024-05-01 14:07:08.784916, 24402.8452
LoadCell, 2024-05-01 14:07:08.806442, None
DMM, 2024-05-01 14:07:08.806442, 24372.0115
LoadCell, 2024-05-01 14:07:08.836802, None
DMM, 2024-05-01 14:07:08.836802, 24871.9712
LoadCell, 2024-05-01 14:07:08.858699, 0.739
DMM, 2024-05-01 14:07:08.858699, 24833.9549
LoadCell, 2024-05-01 14:07:08.874232, None
DMM, 2024-05-01 14:07:08.874232, 24948.346
LoadCell, 2024-05-01 14:07:08.907926, None
DMM, 2024-05-01 14:07:08.907926, 24844.5966
LoadCell, 2024-05-01 14:07:08.924437, None
DMM, 2024-05-01 14:07:08.924437, 24938.9696
LoadCell, 2024-05-01 14:07:08.944575, None
DMM, 2024-05-01 14:07:08.944575, 25017.3815
LoadCell, 2024-05-01 14:07:08.958966, 0.739
DMM, 2024-05-01 14:07:08.958966, 24991.4806
LoadCell, 2024-05-01 14:07:08.975745, None
DMM, 2024-05-01 14:07:08.975745, 25005.8284
LoadCell, 2024-05-01 14:07:09.005360, None
DMM, 2024-05-01 14:07:09.005360, 24837.6586
LoadCell, 2024-05-01 14:07:09.026495, None
DMM, 2024-05-01 14:07:09.026495, 24891.0724
LoadCell, 2024-05-01 14:07:09.044659, None
DMM, 2024-05-01 14:07:09.044659, 24856.1879
LoadCell, 2024-05-01 14:07:09.059090, 0.739
DMM, 2024-05-01 14:07:09.059090, 24873.1662
LoadCell, 2024-05-01 14:07:09.075722, None
DMM, 2024-05-01 14:07:09.075722, 24658.5643
