Sensor, Timestamp, Value
LoadCell, 2024-05-01 13:47:43.905891, None
DMM, 2024-05-01 13:47:43.905891, 26918.0469
LoadCell, 2024-05-01 13:47:44.538766, 0.746
DMM, 2024-05-01 13:47:44.538766, 27232.2781
LoadCell, 2024-05-01 13:47:44.553691, None
DMM, 2024-05-01 13:47:44.553691, 27114.4173
LoadCell, 2024-05-01 13:47:44.571504, None
DMM, 2024-05-01 13:47:44.571504, 27210.4559
LoadCell, 2024-05-01 13:47:44.591919, None
DMM, 2024-05-01 13:47:44.591919, 27304.2673
LoadCell, 2024-05-01 13:47:44.599529, None
DMM, 2024-05-01 13:47:44.599529, 27249.2348
LoadCell, 2024-05-01 13:47:44.636421, 0.746
DMM, 2024-05-01 13:47:44.636421, 27231.0767
LoadCell, 2024-05-01 13:47:44.653884, None
DMM, 2024-05-01 13:47:44.653884, 27146.498
LoadCell, 2024-05-01 13:47:44.668096, None
DMM, 2024-05-01 13:47:44.668096, 27249.9416
LoadCell, 2024-05-01 13:47:44.693098, None
DMM, 2024-05-01 13:47:44.693098, 27295.714
LoadCell, 2024-05-01 13:47:44.706039, None
DMM, 2024-05-01 13:47:44.706039, 27300.4685
LoadCell, 2024-05-01 13:47:44.733794, 0.746
DMM, 2024-05-01 13:47:44.733794, 27169.4111
LoadCell, 2024-05-01 13:47:44.753801, None
DMM, 2024-05-01 13:47:44.753801, 27196.1269
LoadCell, 2024-05-01 13:47:44.770922, None
DMM, 2024-05-01 13:47:44.770922, 27320.1055
LoadCell, 2024-05-01 13:47:44.792216, None
DMM, 2024-05-01 13:47:44.792216, 27228.8171
LoadCell, 2024-05-01 13:47:44.804887, None
DMM, 2024-05-01 13:47:44.804887, 27372.8927
LoadCell, 2024-05-01 13:47:44.834507, 0.746
DMM, 2024-05-01 13:47:44.834507, 27295.0306
LoadCell, 2024-05-01 13:47:44.854619, None
DMM, 2024-05-01 13:47:44.854619, 27368.8359
LoadCell, 2024-05-01 13:47:44.867330, None
DMM, 2024-05-01 13:47:44.867330, 27761.3067
LoadCell, 2024-05-01 13:47:44.895560, None
DMM, 2024-05-01 13:47:44.895560, 27770.1202
LoadCell, 2024-05-01 13:47:44.904964, None
DMM, 2024-05-01 13:47:44.904964, 27803.5781
LoadCell, 2024-05-01 13:47:44.934617, 0.746
DMM, 2024-05-01 13:47:44.934617, 27709.1096
LoadCell, 2024-05-01 13:47:44.953773, None
DMM, 2024-05-01 13:47:44.953773, 27657.7363
LoadCell, 2024-05-01 13:47:44.974600, None
DMM, 2024-05-01 13:47:44.974600, 27649.4762
LoadCell, 2024-05-01 13:47:44.992448, None
DMM, 2024-05-01 13:47:44.992448, 27566.2026
LoadCell, 2024-05-01 13:47:45.004816, None
DMM, 2024-05-01 13:47:45.004816, 27497.0105
LoadCell, 2024-05-01 13:47:45.034946, 0.746
DMM, 2024-05-01 13:47:45.034946, 27480.5126
LoadCell, 2024-05-01 13:47:45.054468, None
DMM, 2024-05-01 13:47:45.054468, 27373.2047
LoadCell, 2024-05-01 13:47:45.074428, None
DMM, 2024-05-01 13:47:45.074428, 27321.7945
LoadCell, 2024-05-01 13:47:45.092491, None
DMM, 2024-05-01 13:47:45.092491, 27312.7303
LoadCell, 2024-05-01 13:47:45.105646, None
DMM, 2024-05-01 13:47:45.105646, 27369.3093
LoadCell, 2024-05-01 13:47:45.133969, 0.746
DMM, 2024-05-01 13:47:45.133969, 27363.4608
LoadCell, 2024-05-01 13:47:45.154281, None
DMM, 2024-05-01 13:47:45.154281, 27134.7715
LoadCell, 2024-05-01 13:47:45.174528, None
DMM, 2024-05-01 13:47:45.174528, 27325.2893
LoadCell, 2024-05-01 13:47:45.192542, None
DMM, 2024-05-01 13:47:45.192542, 27251.3696
LoadCell, 2024-05-01 13:47:45.214817, None
DMM, 2024-05-01 13:47:45.214817, 27304.908
LoadCell, 2024-05-01 13:47:45.234244, 0.746
DMM, 2024-05-01 13:47:45.234244, 27380.5369
LoadCell, 2024-05-01 13:47:45.255471, None
DMM, 2024-05-01 13:47:45.255471, 27214.9226
LoadCell, 2024-05-01 13:47:45.274529, None
DMM, 2024-05-01 13:47:45.274529, 27293.5999
LoadCell, 2024-05-01 13:47:45.292732, None
DMM, 2024-05-01 13:47:45.292732, 27169.1
LoadCell, 2024-05-01 13:47:45.315949, None
DMM, 2024-05-01 13:47:45.315949, 27181.1681
LoadCell, 2024-05-01 13:47:45.334738, 0.746
DMM, 2024-05-01 13:47:45.334738, 27141.6762
LoadCell, 2024-05-01 13:47:45.354159, None
