Load (lbf),Resistance (Ohms)
4.00037,8596.26653
4.00577,8532.44865
4.01117,8502.20204
4.0219,8553.0581
4.03114,8435.2536
4.0365,8583.797
4.04195,8527.12551
4.04634,8449.99562
4.05174,8387.05607
4.05798,8617.47739
4.06352,8509.7184
4.06688,8343.54388
4.07249,8399.7141
4.08088,8395.48711
4.08646,8393.10157
4.09218,8377.31983
4.09913,8399.04769
4.10196,8255.4229
4.10738,8302.34118
4.11822,8372.3642
4.1238,8168.89369
4.12996,8239.99087
4.13638,8314.87564
4.13862,8201.71296
4.14262,8277.27449
4.14867,8174.08816
4.15154,8143.26101
4.15243,8114.4934
4.15369,8088.14932
4.15657,8196.68009
4.15973,8202.83419
4.16417,8291.4409
4.16855,8117.75486
4.1709,8196.88124
4.17678,8073.47852
4.18765,8125.80602
4.18885,8104.53376
4.18971,8054.06761
4.19211,8091.69878
4.19811,7954.15018
4.20567,7893.08567
4.21965,7877.48711
4.23105,7986.45125
4.24201,7930.99312
4.25118,7873.71917
4.2597,7832.38628
4.26618,7847.1814
4.27008,7686.28301
4.27307,7760.29483
4.27441,7773.81223
4.27902,7666.86822
4.28449,7640.48463
4.31236,7514.53749
4.3254,7509.33104
4.33341,7647.37771
4.34212,7544.13689
4.34847,7551.11999
4.35609,7544.39097
4.35983,7555.43945
4.36226,7524.85736
4.36705,7362.77397
4.37258,7625.00979
4.37514,7540.12672
4.37605,7567.79172
4.37644,7451.64245
4.37841,7424.2304
4.38344,7424.78725
4.38923,7496.96794
4.3909,7437.57939
4.39235,7400.65059
4.39423,7361.24634
4.39848,7377.19962
4.40563,7445.34236
4.41187,7249.3363
4.42019,7338.67609
4.42803,7361.46641
4.43335,7348.06097
4.44056,7366.69555
4.44748,7320.99386
4.45209,7336.10493
4.4605,7297.49997
4.46651,7314.33502
4.47018,7245.78112
4.47571,7327.53651
4.48275,7186.53082
4.48663,7195.67891
4.49315,7149.59236
4.50197,7036.95738
4.50676,6965.68453
4.51098,7197.62778
4.51537,7011.9377
4.52054,7107.22328
4.52324,7122.98746
4.52815,7059.996
4.53482,7050.97205
4.5394,6934.68284
4.54227,7029.43449
4.54946,6926.74307
4.55513,6936.95679
4.56112,7106.14319
4.566,6872.4382
4.57126,6870.95666
4.57802,6812.5345
4.58265,6948.86504
4.58868,6856.27307
4.59605,6925.08962
4.59842,6896.53769
4.6028,6704.6063
4.60902,6857.38734
4.6152,6580.88219
4.61701,6656.42838
4.62229,6738.57832
4.63501,6610.55662
4.64002,6710.45581
4.64978,6828.67039
4.6563,6700.0746
4.66279,6567.2211
4.67083,6623.8782
4.67881,6645.5623
4.68547,6575.31386
4.69341,6648.23741
4.69668,6470.87531
4.70014,6661.26793
4.70517,6578.07691
4.71095,6536.23358
4.71327,6553.21907
4.71783,6446.50432
4.72573,6510.0747
4.73237,6577.27033
4.7393,6630.5582
4.7466,6684.34718
4.75424,6575.16042
4.75871,6503.23795
4.7624,6457.02817
4.76651,6453.46012
4.7689,6550.58371
4.77299,6358.47592
4.77846,6506.81661
4.78386,6428.42312
4.7871,6446.545
4.79023,6218.65233
4.79501,6290.05907
