Load (lbf),Resistance (Ohms)
0.00419,1086865.36
0.00417,1096372.71
0.00421,1098188.24
0.00415,1103116.11
0.00402,1095094.65
0.00421,1090705.49
0.00414,1096196.55
0.00416,1092867.81
0.00402,1101527.89
0.00415,1101898.07
0.00419,1102112.16
0.00414,1092535.07
0.0041,1095537.14
0.00416,1098502.33
0.00413,1099465.91
0.00406,1095482.36
0.00415,1086320.46
0.00412,1101311.87
0.0042,1098647.74
0.00421,1096611.1
0.00413,1105651.17
0.00406,1099869.92
0.00426,1099866.3
0.0041,1103078.58
0.00415,1109662.87
0.00412,1107352.61
0.00419,1118092.7
0.00414,1105193.22
0.00415,1105961.8
0.00422,1105821.1
0.00421,1108064.69
0.00408,1103354.11
0.00421,1218077.24
0.00413,1247794.44
0.00415,1459118.47
0.00412,1422707.51
0.0042,1331140.1
0.00422,1215362.57
0.0041,1111569.61
0.00406,205045.848
0.0041,145168.764
0.00321,141440.298
0.00193,137916.765
0.00023,134493.837
0.00758,126863.832
0.78483,124927.271
0.8555,121700.464
0.94068,117817.237
1.00129,115841.52
1.06449,110070.046
1.12543,99484.3815
1.18446,93587.0465
1.24362,86511.0401
1.30971,80454.618
1.37001,73813.5989
1.44234,64578.2936
1.48405,60310.4559
1.5478,56823.0383
1.61373,52791.1564
1.66489,48484.9609
1.73754,44864.8552
1.79927,41783.5906
1.86432,38305.3824
1.92901,34883.5299
1.99221,32296.4906
2.05102,29773.8932
2.12073,28169.3293
2.17791,26189.1547
2.23823,24740.5425
2.29964,23007.5736
2.36528,21199.1606
2.43166,19312.748
2.48954,17495.2236
2.56815,16994.1707
2.61313,15902.8042
2.67035,14966.212
2.73256,14298.7178
2.79379,13464.1018
2.86072,13040.153
2.90556,12137.2963
3.00305,11533.6927
3.04762,11190.3859
3.12134,10858.5734
3.16345,10251.0885
3.2366,9873.32101
3.29712,9690.88325
3.33852,9162.07979
3.4154,8895.77804
3.47787,8667.45308
3.53641,8267.04754
3.5981,7859.78179
3.67098,7705.12229
3.7322,7576.57476
3.77208,7435.87568
3.83427,7187.57851
3.90417,7113.68116
3.96741,6776.51986
4.03302,6709.36419
4.09379,6342.03176
4.15176,6262.26388
4.21609,6126.33237
4.28388,5823.00569
4.34393,5838.99724
4.40545,5517.28534
4.47027,5508.64345
4.52223,5334.99984
4.57578,5249.63204
4.65625,5175.16466
4.71598,4913.16775
4.78841,4940.57663
4.83691,4810.66317
4.89321,4697.15014
4.99488,4554.25649
5.04667,4566.05614
5.08054,4531.67686
5.13939,4551.69313
5.20017,4365.59125
5.25121,4453.37873
5.32479,4313.8675
5.38931,4200.27555
5.42964,4067.25135
5.5037,4024.63878
5.57774,3983.07763
5.67826,3869.76124
5.70855,3875.66165
5.76479,3758.41976
5.86731,3731.4967
5.89158,3697.50354
5.92109,3758.33985
5.97721,3594.31941
5.99558,3698.2017
6.00046,3579.76711
6.00351,3641.91579
6.00409,3666.97519
6.00137,3563.15459
5.99873,3897.80842
5.99637,3658.84068
5.99403,3662.57314
5.99212,3672.96948
5.99029,3769.34557
5.98839,3735.82626
5.98668,3642.12763
5.98539,3757.43417
5.98419,3864.55446
5.9829,984085.364
4.40413,947621.191
0.00288,1136391.25
0.00304,1341360.55
0.00305,1995908.39
0.00314,1717111.1
0.00317,1699109.14
0.00318,1582241.83
0.00335,1720992.08
0.00332,1709679.86
0.00324,1741591.19
0.00337,1416561.36
0.00337,1629444.16
0.00332,1677229.79
0.00337,1597987.66
0.00337,1616888.38
0.00342,1630011.89
0.00344,1590202.22
0.00343,1495240.88
0.00345,1543796.28
0.00342,1513759.17
0.00345,1569409.23
0.00359,1413599.02
0.00353,1324638.49
0.00352,1381909.87
0.00357,1337140.59
0.00359,1231719.38
0.00358,1257253.8
0.00359,1244640.8
0.00354,1381293.41
0.00344,1413406.49
0.00354,1581788.29
0.00365,1617991.26
0.00357,1514381.08
0.00354,1590827.49
0.00304,1597514.14
0.00259,1627357.18
0.00207,1515039.58
0.00147,1542605.33
0.00075,1591904.23
0.00052,1916784.1
0.0019,1528891.76
0.00589,372971.134
0.14404,11618.9543
2.86015,9620.32023
3.6136,8818.76548
3.6685,8250.28928
3.74244,8030.50088
3.80315,7678.71785
3.86444,7271.97401
3.93775,7079.46051
3.99468,6836.86716
4.05521,6580.20121
4.11651,6471.70788
4.18432,6348.41081
4.24019,6018.18119
4.31174,5959.4136
4.36727,5753.83847
4.43149,5555.02426
4.49455,5479.15885
4.55767,5377.33626
4.62496,5282.13375
4.67786,4921.59752
4.75507,5198.67439
4.80132,4941.6078
4.8574,4774.74169
4.92866,4847.30215
5.00024,4729.14075
5.05146,4587.17356
5.11881,4553.95768
5.17856,4524.06914
5.22587,4476.1006
5.30635,4141.71621
5.36207,4186.00557
5.41684,4002.18917
5.47795,4046.41792
5.55429,4102.29299
5.60758,3879.27772
5.67503,3913.62103
5.70961,3790.67154
5.8052,3612.7168
5.87596,3808.64645
5.8847,3649.48977
5.94096,3695.27903
5.98633,3516.59033
5.99972,3579.96141
6.00411,3543.39429
6.00302,3636.66122
6.00187,3540.65434
6.00055,3608.66573
5.99861,3655.13378
5.99739,3603.63535
5.99689,3731.23874
5.99634,3552.25377
5.99531,3670.64424
5.99359,3601.51437
5.99204,3555.24025
5.99039,3689.30468
5.98864,723343.532
0.81883,876560.045
0.00277,1035127.91
0.00284,760613.486
0.00291,1271365.71
0.00303,1323587.43
0.00309,1413772.54
0.0031,1297137.86
0.0031,1413396.82
0.00322,1447394.87
0.0033,1479521.35
0.00328,1524425.24
0.00329,1586059.59
0.0033,1642561.04
0.00329,1874756.99
0.00333,1991620.77
0.00333,1900370.16
0.00326,1941836.45
0.00333,1993547.98
0.00339,2007335.12
0.0033,2002194.73
0.00335,1879239.7
0.00326,1745106.2
0.00337,1732044.92
0.00339,1905224.87
0.00343,1951018.44
0.00339,1772205.6
0.00344,1668595.68
0.00337,1608659.16
0.00338,1609397.79
0.00338,1664865.99
0.0031,1551569.87
0.0026,1684523.04
0.00213,1764528.61
0.00151,1846964.49
0.00082,1747875.34
0.00024,1688335.02
0.00164,1491973.91
0.00511,886203.025
0.06597,13598.0926
2.34446,10383.7394
3.45438,10398.1832
3.39709,9523.6078
3.49753,9075.48965
3.55578,8615.42089
3.61618,8489.45667
3.68042,8010.19278
3.73558,7726.73963
3.79848,7605.18239
3.87506,7291.24245
3.92528,6995.08597
3.99134,6781.06777
4.05595,6684.61863
4.11697,6372.9202
4.17711,6077.61158
4.24917,5996.2582
4.29842,5880.39932
4.36886,5757.75128
4.43133,5531.8502
4.4897,5480.19709
4.55834,5414.14547
4.61596,5271.20102
4.67955,5242.91587
4.74068,5058.28183
4.79591,4978.75396
4.86623,4863.81338
4.93012,4706.83182
4.98522,4738.53116
5.05637,4453.78218
5.11631,4478.51053
5.16863,4363.32298
5.24222,4403.36793
5.30082,4317.81575
5.35784,4339.21794
5.40273,4184.72326
5.49551,4098.26128
5.54378,4030.94054
5.63097,4028.0803
5.65772,3892.58751
5.73457,3769.88476
5.83755,3844.2584
5.84446,3740.89669
5.89148,3817.88398
5.95597,3591.83879
6.00159,3621.65284
6.00237,3643.29978
6.00147,3667.00889
6.00021,3634.02898
5.99732,3646.10399
5.99433,3700.23405
5.99201,3688.23509
5.98965,3599.2827
5.98793,3799.67838
5.98632,3602.4631
5.98512,3791.55214
5.98396,3756.53573
5.98327,3537.5818
5.98258,3902.67319
5.97942,802650.938
0.00259,855187.172
0.00259,976076.17
0.00279,896054.169
0.00277,1181322.42
0.0029,1341401.17
0.00288,1357345.6
0.00293,1141985.46
0.00309,1101160.29
0.00307,1139188.21
0.00305,1071622.4
0.00308,1265467.76
0.00322,1223906.4
0.00318,1238416.16
0.00303,1199740.64
0.00323,1423077.41
0.00325,1467827.91
0.0031,1440086.47
