Load (lbf),Resistance (Ohms)
0.00231,735847.242
0.00217,740763.74
0.00221,740925.655
0.00219,749943.637
0.00223,727315.16
0.00219,731779.437
0.00223,729260.811
0.00224,729829.247
0.00221,731450.096
0.00212,725081.955
0.00217,720950.562
0.00225,718694.207
0.00231,717907.015
0.00212,721014.771
0.00225,716783.47
0.00223,717038.325
0.00225,715245.247
0.00223,717721.504
0.00228,715589.766
0.00227,722021.82
0.00221,716217.325
0.0022,717108.929
0.00227,715490.484
0.00226,718027.62
0.0023,717530.672
0.00226,719390.672
0.00225,718010.281
0.00221,716762.927
0.00228,718545.242
0.00226,720091.836
0.00238,719815.961
0.00227,718742.032
0.00235,713744.169
0.00225,705863.438
0.00227,598658.013
0.00218,897712.986
0.00211,218503.008
0.00223,290349.525
0.00217,52288.425
0.0021,648225.988
0.00218,308712.825
0.00053,246187.593
0.03898,417005.638
1.01055,84249.71
1.41129,332551.698
1.37672,94300.3247
1.32006,75284.1033
1.12218,101085.448
1.26456,94650.3915
1.37405,84806.9589
1.47708,77828.4207
1.55518,72504.2235
1.62557,63663.6988
1.69571,59446.4674
1.765,54745.9778
1.83158,50133.5984
1.90254,47071.9797
1.9686,44659.833
2.03186,41715.1841
2.09854,37977.2466
2.16898,35756.655
2.23142,34160.2128
2.29676,32412.5169
2.37129,30812.9169
2.43461,28393.9768
2.51076,26775.2799
2.57978,25751.3121
2.63978,24988.1284
2.70486,23563.6298
2.77461,22577.3547
2.83422,21568.9439
2.90666,20340.2001
2.97109,19056.2587
3.04111,18254.0513
3.09762,17567.7445
3.17521,16638.0778
3.23903,16002.4553
3.30743,15078.3333
3.3773,14139.6273
3.44852,13905.8149
3.50953,13522.595
3.57538,12997.883
3.64875,12472.5966
3.71066,11848.315
3.78645,11522.6586
3.84434,11058.3104
3.91635,10546.2401
3.98731,10416.4935
4.0441,10060.751
4.11719,9823.98209
4.18072,9460.86602
4.24779,9179.11574
4.31507,8957.51811
4.37776,8796.85042
4.4465,8543.07941
4.51395,8267.82084
4.58039,7916.63753
4.64888,7892.0212
4.70558,7697.74355
4.77756,7431.8522
4.84708,7147.15933
4.91917,7099.10162
4.97942,6884.0916
5.05204,6806.03316
5.12386,6738.69146
5.18143,6384.34775
5.25685,6264.08044
5.31091,6190.33513
5.37706,6029.26723
5.45231,5817.43634
5.51418,5824.51738
5.58042,5714.93727
5.64691,5673.06168
5.71944,5431.35562
5.79784,5506.51595
5.84353,5417.65895
5.90132,5365.46877
5.95105,5184.71268
6.02516,5166.99897
6.09036,5117.57562
6.16823,4923.22444
6.23823,4806.07756
6.29898,4780.77703
6.35889,4766.26945
