Sensor, Timestamp, Value
LoadCell, 2024-05-02 21:51:08.842452, None
DMM, 2024-05-02 21:51:08.842452, 881477.923
LoadCell, 2024-05-02 21:51:09.533430, 1e-05
DMM, 2024-05-02 21:51:09.533430, 882077.505
LoadCell, 2024-05-02 21:51:09.566710, None
DMM, 2024-05-02 21:51:09.566710, 884738.767
LoadCell, 2024-05-02 21:51:09.585643, None
DMM, 2024-05-02 21:51:09.585643, 890064.494
LoadCell, 2024-05-02 21:51:09.604582, None
DMM, 2024-05-02 21:51:09.604582, 883129.259
LoadCell, 2024-05-02 21:51:09.625511, None
DMM, 2024-05-02 21:51:09.625511, 881973.468
LoadCell, 2024-05-02 21:51:09.644447, 0.0
DMM, 2024-05-02 21:51:09.644447, 885148.013
LoadCell, 2024-05-02 21:51:09.665166, None
DMM, 2024-05-02 21:51:09.665166, 888198.676
LoadCell, 2024-05-02 21:51:09.684478, None
DMM, 2024-05-02 21:51:09.684478, 890565.816
LoadCell, 2024-05-02 21:51:09.707703, None
DMM, 2024-05-02 21:51:09.707703, 891195.547
LoadCell, 2024-05-02 21:51:09.724646, None
DMM, 2024-05-02 21:51:09.724646, 887286.373
LoadCell, 2024-05-02 21:51:09.744578, 3e-05
DMM, 2024-05-02 21:51:09.744578, 886385.568
LoadCell, 2024-05-02 21:51:09.764545, None
DMM, 2024-05-02 21:51:09.764545, 884229.631
LoadCell, 2024-05-02 21:51:09.785017, None
DMM, 2024-05-02 21:51:09.785017, 891297.243
LoadCell, 2024-05-02 21:51:09.805222, None
DMM, 2024-05-02 21:51:09.805222, 897751.055
LoadCell, 2024-05-02 21:51:09.825149, None
DMM, 2024-05-02 21:51:09.825149, 892877.335
LoadCell, 2024-05-02 21:51:09.845055, 0.0001
DMM, 2024-05-02 21:51:09.845055, 892051.831
LoadCell, 2024-05-02 21:51:09.865060, None
DMM, 2024-05-02 21:51:09.865060, 890943.771
LoadCell, 2024-05-02 21:51:09.884464, None
DMM, 2024-05-02 21:51:09.884464, 895597.114
LoadCell, 2024-05-02 21:51:09.904319, None
DMM, 2024-05-02 21:51:09.904319, 896956.655
LoadCell, 2024-05-02 21:51:09.927426, None
DMM, 2024-05-02 21:51:09.927426, 896931.838
LoadCell, 2024-05-02 21:51:09.945113, 7e-05
DMM, 2024-05-02 21:51:09.945113, 895010.143
LoadCell, 2024-05-02 21:51:09.964296, None
DMM, 2024-05-02 21:51:09.964296, 895778.704
LoadCell, 2024-05-02 21:51:09.984424, None
DMM, 2024-05-02 21:51:09.984424, 897038.15
LoadCell, 2024-05-02 21:51:10.005365, None
DMM, 2024-05-02 21:51:10.005365, 900525.759
LoadCell, 2024-05-02 21:51:10.025484, None
DMM, 2024-05-02 21:51:10.025484, 893077.607
LoadCell, 2024-05-02 21:51:10.045497, 0.0
DMM, 2024-05-02 21:51:10.045497, 898760.29
LoadCell, 2024-05-02 21:51:10.064676, None
DMM, 2024-05-02 21:51:10.064676, 905711.269
LoadCell, 2024-05-02 21:51:10.084879, None
DMM, 2024-05-02 21:51:10.084879, 896338.531
LoadCell, 2024-05-02 21:51:10.104421, None
DMM, 2024-05-02 21:51:10.104421, 886069.948
LoadCell, 2024-05-02 21:51:10.125357, None
DMM, 2024-05-02 21:51:10.125357, 880123.472
LoadCell, 2024-05-02 21:51:10.146405, 2e-05
DMM, 2024-05-02 21:51:10.146405, 879258.584
LoadCell, 2024-05-02 21:51:10.165448, None
DMM, 2024-05-02 21:51:10.165448, 877893.611
LoadCell, 2024-05-02 21:51:10.185245, None
DMM, 2024-05-02 21:51:10.185245, 874775.612
LoadCell, 2024-05-02 21:51:10.204814, None
DMM, 2024-05-02 21:51:10.204814, 878115.409
LoadCell, 2024-05-02 21:51:10.227461, None
DMM, 2024-05-02 21:51:10.227461, 875843.562
LoadCell, 2024-05-02 21:51:10.244547, 9e-05
DMM, 2024-05-02 21:51:10.244547, 873878.758
LoadCell, 2024-05-02 21:51:10.264352, None
DMM, 2024-05-02 21:51:10.264352, 875403.71
LoadCell, 2024-05-02 21:51:10.285190, None
DMM, 2024-05-02 21:51:10.285190, 878132.225
LoadCell, 2024-05-02 21:51:10.305256, None
DMM, 2024-05-02 21:51:10.305256, 881153.118
LoadCell, 2024-05-02 21:51:10.325619, None
DMM, 2024-05-02 21:51:10.325619, 878055.9
LoadCell, 2024-05-02 21:51:10.345238, 5e-05
DMM, 2024-05-02 21:51:10.345238, 877089.319
LoadCell, 2024-05-02 21:51:10.366064, None
DMM, 2024-05-02 21:51:10.366064, 882672.938
LoadCell, 2024-05-02 21:51:10.384421, None
DMM, 2024-05-02 21:51:10.384421, 881867.96
LoadCell, 2024-05-02 21:51:10.405456, None
DMM, 2024-05-02 21:51:10.405456, 882544.387
LoadCell, 2024-05-02 21:51:10.425597, None
DMM, 2024-05-02 21:51:10.425597, 882522.734
