Sensor, Timestamp, Value
LoadCell, 2024-05-02 18:12:40.155100, None
DMM, 2024-05-02 18:12:40.155100, 1321790.81
LoadCell, 2024-05-02 18:12:40.858116, 0.00014
DMM, 2024-05-02 18:12:40.858116, 1308839.66
LoadCell, 2024-05-02 18:12:40.879648, None
DMM, 2024-05-02 18:12:40.879648, 1312117.41
LoadCell, 2024-05-02 18:12:40.901546, None
DMM, 2024-05-02 18:12:40.901546, 1318064.23
LoadCell, 2024-05-02 18:12:40.918568, None
DMM, 2024-05-02 18:12:40.918568, 1317553.88
LoadCell, 2024-05-02 18:12:40.939602, None
DMM, 2024-05-02 18:12:40.939602, 1314792.1
LoadCell, 2024-05-02 18:12:40.958805, 2e-05
DMM, 2024-05-02 18:12:40.958805, 1316032.51
LoadCell, 2024-05-02 18:12:40.979370, None
DMM, 2024-05-02 18:12:40.979370, 1318302.88
LoadCell, 2024-05-02 18:12:41.001604, None
DMM, 2024-05-02 18:12:41.001604, 1313936.88
LoadCell, 2024-05-02 18:12:41.019545, None
DMM, 2024-05-02 18:12:41.019545, 1310401.23
LoadCell, 2024-05-02 18:12:41.039681, None
DMM, 2024-05-02 18:12:41.039681, 1315212.95
LoadCell, 2024-05-02 18:12:41.058464, 4e-05
DMM, 2024-05-02 18:12:41.058464, 1316915.07
LoadCell, 2024-05-02 18:12:41.079270, None
DMM, 2024-05-02 18:12:41.079270, 1310327.14
LoadCell, 2024-05-02 18:12:41.098573, None
DMM, 2024-05-02 18:12:41.098573, 1305781.18
LoadCell, 2024-05-02 18:12:41.121805, None
DMM, 2024-05-02 18:12:41.121805, 1301663.69
LoadCell, 2024-05-02 18:12:41.139332, None
DMM, 2024-05-02 18:12:41.139332, 1300601.41
LoadCell, 2024-05-02 18:12:41.159139, 0.0
DMM, 2024-05-02 18:12:41.159139, 1302536.23
LoadCell, 2024-05-02 18:12:41.178793, None
DMM, 2024-05-02 18:12:41.178793, 1303402.87
LoadCell, 2024-05-02 18:12:41.199473, None
DMM, 2024-05-02 18:12:41.199473, 1305331.71
LoadCell, 2024-05-02 18:12:41.220254, None
DMM, 2024-05-02 18:12:41.220254, 1305045.28
LoadCell, 2024-05-02 18:12:41.238545, None
DMM, 2024-05-02 18:12:41.238545, 1305078.69
LoadCell, 2024-05-02 18:12:41.258658, 1e-05
DMM, 2024-05-02 18:12:41.258658, 1302369.79
LoadCell, 2024-05-02 18:12:41.279076, None
DMM, 2024-05-02 18:12:41.279076, 1298952.73
LoadCell, 2024-05-02 18:12:41.299595, None
DMM, 2024-05-02 18:12:41.299595, 1285226.51
LoadCell, 2024-05-02 18:12:41.318420, None
DMM, 2024-05-02 18:12:41.318420, 1281388.02
LoadCell, 2024-05-02 18:12:41.341340, None
DMM, 2024-05-02 18:12:41.341340, 1277239.77
LoadCell, 2024-05-02 18:12:41.358748, 2e-05
DMM, 2024-05-02 18:12:41.358748, 1275784.7
LoadCell, 2024-05-02 18:12:41.379261, None
DMM, 2024-05-02 18:12:41.379261, 1277284.68
LoadCell, 2024-05-02 18:12:41.399020, None
DMM, 2024-05-02 18:12:41.399020, 1274724.27
LoadCell, 2024-05-02 18:12:41.418444, None
DMM, 2024-05-02 18:12:41.418444, 1274149.53
LoadCell, 2024-05-02 18:12:41.441037, None
DMM, 2024-05-02 18:12:41.441037, 1273765.84
LoadCell, 2024-05-02 18:12:41.459851, 4e-05
DMM, 2024-05-02 18:12:41.459851, 1272102.3
LoadCell, 2024-05-02 18:12:41.479366, None
DMM, 2024-05-02 18:12:41.479366, 1273463.95
LoadCell, 2024-05-02 18:12:41.499515, None
DMM, 2024-05-02 18:12:41.499515, 1274904.32
LoadCell, 2024-05-02 18:12:41.518479, None
DMM, 2024-05-02 18:12:41.518479, 1275337.99
LoadCell, 2024-05-02 18:12:41.538821, None
DMM, 2024-05-02 18:12:41.538821, 1276663.55
LoadCell, 2024-05-02 18:12:41.561694, 3e-05
DMM, 2024-05-02 18:12:41.561694, 1276256.67
LoadCell, 2024-05-02 18:12:41.578634, None
DMM, 2024-05-02 18:12:41.578634, 1276618.36
LoadCell, 2024-05-02 18:12:41.599205, None
DMM, 2024-05-02 18:12:41.599205, 1274898.6
LoadCell, 2024-05-02 18:12:41.618975, None
DMM, 2024-05-02 18:12:41.618975, 1273444.42
LoadCell, 2024-05-02 18:12:41.638822, None
DMM, 2024-05-02 18:12:41.638822, 1272912.48
LoadCell, 2024-05-02 18:12:41.659891, 0.00015
DMM, 2024-05-02 18:12:41.659891, 1273391.5
LoadCell, 2024-05-02 18:12:41.679781, None
DMM, 2024-05-02 18:12:41.679781, 1273164.49
LoadCell, 2024-05-02 18:12:41.698338, None
DMM, 2024-05-02 18:12:41.698338, 1273388.97
LoadCell, 2024-05-02 18:12:41.719635, None
DMM, 2024-05-02 18:12:41.719635, 1271957.05
LoadCell, 2024-05-02 18:12:41.739453, None
DMM, 2024-05-02 18:12:41.739453, 1268347.59
LoadCell, 2024-05-02 18:12:41.759268, 8e-05
DMM, 2024-05-02 18:12:41.759268, 1267432.0
LoadCell, 2024-05-02 18:12:41.781817, None
DMM, 2024-05-02 18:12:41.781817, 1268154.25
LoadCell, 2024-05-02 18:12:41.799593, None
DMM, 2024-05-02 18:12:41.799593, 1267160.24
LoadCell, 2024-05-02 18:12:41.819335, None
DMM, 2024-05-02 18:12:41.819335, 1265564.24
LoadCell, 2024-05-02 18:12:41.839429, None
DMM, 2024-05-02 18:12:41.839429, 1263106.53
LoadCell, 2024-05-02 18:12:41.858710, 2e-05
DMM, 2024-05-02 18:12:41.858710, 1262319.38
LoadCell, 2024-05-02 18:12:41.880731, None
DMM, 2024-05-02 18:12:41.880731, 1264891.09
LoadCell, 2024-05-02 18:12:41.899814, None
DMM, 2024-05-02 18:12:41.899814, 1264868.85
LoadCell, 2024-05-02 18:12:41.919221, None
DMM, 2024-05-02 18:12:41.919221, 1264528.86
LoadCell, 2024-05-02 18:12:41.938572, None
DMM, 2024-05-02 18:12:41.938572, 1266253.52
LoadCell, 2024-05-02 18:12:41.959341, 7e-05
DMM, 2024-05-02 18:12:41.959341, 1264452.92
LoadCell, 2024-05-02 18:12:41.978769, None
DMM, 2024-05-02 18:12:41.978769, 1269247.2
LoadCell, 2024-05-02 18:12:42.000930, None
DMM, 2024-05-02 18:12:42.000930, 1270218.26
LoadCell, 2024-05-02 18:12:42.019324, None
DMM, 2024-05-02 18:12:42.019324, 1269391.51
LoadCell, 2024-05-02 18:12:42.038261, None
DMM, 2024-05-02 18:12:42.038261, 1266978.59
LoadCell, 2024-05-02 18:12:42.059190, 3e-05
DMM, 2024-05-02 18:12:42.059190, 1264820.51
LoadCell, 2024-05-02 18:12:42.079549, None
DMM, 2024-05-02 18:12:42.079549, 1268528.19
LoadCell, 2024-05-02 18:12:42.101471, None
DMM, 2024-05-02 18:12:42.101471, 1268333.18
LoadCell, 2024-05-02 18:12:42.119215, None
DMM, 2024-05-02 18:12:42.119215, 1269339.3
LoadCell, 2024-05-02 18:12:42.138654, None
DMM, 2024-05-02 18:12:42.138654, 1269929.25
LoadCell, 2024-05-02 18:12:42.159394, 4e-05
DMM, 2024-05-02 18:12:42.159394, 1269824.58
LoadCell, 2024-05-02 18:12:42.179577, None
DMM, 2024-05-02 18:12:42.179577, 1269831.19
LoadCell, 2024-05-02 18:12:42.198656, None
DMM, 2024-05-02 18:12:42.198656, 1268753.53
LoadCell, 2024-05-02 18:12:42.221136, None
DMM, 2024-05-02 18:12:42.221136, 1268438.96
LoadCell, 2024-05-02 18:12:42.238368, None
DMM, 2024-05-02 18:12:42.238368, 1268027.62
LoadCell, 2024-05-02 18:12:42.258740, 9e-05
DMM, 2024-05-02 18:12:42.258740, 1268091.17
LoadCell, 2024-05-02 18:12:42.279553, None
DMM, 2024-05-02 18:12:42.279553, 1270764.05
LoadCell, 2024-05-02 18:12:42.299469, None
DMM, 2024-05-02 18:12:42.299469, 1269546.22
LoadCell, 2024-05-02 18:12:42.321002, None
DMM, 2024-05-02 18:12:42.321002, 1270504.61
LoadCell, 2024-05-02 18:12:42.340135, None
DMM, 2024-05-02 18:12:42.340135, 1270960.15
LoadCell, 2024-05-02 18:12:42.359642, 3e-05
DMM, 2024-05-02 18:12:42.359642, 1269431.8
LoadCell, 2024-05-02 18:12:42.379688, None
DMM, 2024-05-02 18:12:42.379688, 1271362.24
LoadCell, 2024-05-02 18:12:42.398652, None
DMM, 2024-05-02 18:12:42.398652, 1274260.92
LoadCell, 2024-05-02 18:12:42.418535, None
DMM, 2024-05-02 18:12:42.418535, 1272670.05
LoadCell, 2024-05-02 18:12:42.441155, None
DMM, 2024-05-02 18:12:42.441155, 1271335.76
LoadCell, 2024-05-02 18:12:42.459183, 3e-05
