Sensor, Timestamp, Value
LoadCell, 2024-05-02 18:40:29.069718, None
DMM, 2024-05-02 18:40:29.069718, 1080377.55
LoadCell, 2024-05-02 18:40:29.774649, 0.00419
DMM, 2024-05-02 18:40:29.774649, 1086865.36
LoadCell, 2024-05-02 18:40:29.796120, None
DMM, 2024-05-02 18:40:29.796120, 1086892.71
LoadCell, 2024-05-02 18:40:29.816549, None
DMM, 2024-05-02 18:40:29.816549, 1084778.24
LoadCell, 2024-05-02 18:40:29.834783, None
DMM, 2024-05-02 18:40:29.834783, 1087102.9
LoadCell, 2024-05-02 18:40:29.854830, None
DMM, 2024-05-02 18:40:29.854830, 1092395.29
LoadCell, 2024-05-02 18:40:29.875015, 0.00417
DMM, 2024-05-02 18:40:29.875015, 1096372.71
LoadCell, 2024-05-02 18:40:29.895246, None
DMM, 2024-05-02 18:40:29.895246, 1097914.57
LoadCell, 2024-05-02 18:40:29.917233, None
DMM, 2024-05-02 18:40:29.917233, 1099373.37
LoadCell, 2024-05-02 18:40:29.935796, None
DMM, 2024-05-02 18:40:29.935796, 1095697.04
LoadCell, 2024-05-02 18:40:29.955579, None
DMM, 2024-05-02 18:40:29.955579, 1095611.06
LoadCell, 2024-05-02 18:40:29.975605, 0.00421
DMM, 2024-05-02 18:40:29.975605, 1098188.24
LoadCell, 2024-05-02 18:40:29.996194, None
DMM, 2024-05-02 18:40:29.996194, 1104230.15
LoadCell, 2024-05-02 18:40:30.015131, None
DMM, 2024-05-02 18:40:30.015131, 1107557.16
LoadCell, 2024-05-02 18:40:30.037428, None
DMM, 2024-05-02 18:40:30.037428, 1106614.39
LoadCell, 2024-05-02 18:40:30.054721, None
DMM, 2024-05-02 18:40:30.054721, 1108248.26
LoadCell, 2024-05-02 18:40:30.075350, 0.00415
DMM, 2024-05-02 18:40:30.075350, 1103116.11
LoadCell, 2024-05-02 18:40:30.096277, None
DMM, 2024-05-02 18:40:30.096277, 1104400.68
LoadCell, 2024-05-02 18:40:30.115272, None
DMM, 2024-05-02 18:40:30.115272, 1107788.99
LoadCell, 2024-05-02 18:40:30.137803, None
DMM, 2024-05-02 18:40:30.137803, 1106207.8
LoadCell, 2024-05-02 18:40:30.155176, None
DMM, 2024-05-02 18:40:30.155176, 1100348.7
LoadCell, 2024-05-02 18:40:30.175679, 0.00402
DMM, 2024-05-02 18:40:30.175679, 1095094.65
LoadCell, 2024-05-02 18:40:30.194776, None
DMM, 2024-05-02 18:40:30.194776, 1095927.34
LoadCell, 2024-05-02 18:40:30.216338, None
DMM, 2024-05-02 18:40:30.216338, 1096331.83
LoadCell, 2024-05-02 18:40:30.235740, None
DMM, 2024-05-02 18:40:30.235740, 1091789.93
LoadCell, 2024-05-02 18:40:30.257901, None
DMM, 2024-05-02 18:40:30.257901, 1093144.11
LoadCell, 2024-05-02 18:40:30.275911, 0.00421
DMM, 2024-05-02 18:40:30.275911, 1090705.49
LoadCell, 2024-05-02 18:40:30.295585, None
DMM, 2024-05-02 18:40:30.295585, 1089138.09
LoadCell, 2024-05-02 18:40:30.314779, None
DMM, 2024-05-02 18:40:30.314779, 1090421.26
LoadCell, 2024-05-02 18:40:30.334645, None
DMM, 2024-05-02 18:40:30.334645, 1093233.32
LoadCell, 2024-05-02 18:40:30.356115, None
DMM, 2024-05-02 18:40:30.356115, 1096286.25
LoadCell, 2024-05-02 18:40:30.375288, 0.00414
