Force (lbf),Resistance (Ohms),Expected Resistance (Ohms),Percent Error (%)
6.00409,3666.97519,4633.3311,-20.86
6.00411,3543.39429,4633.30863,-23.52
6.00237,3643.29978,4635.26415,-21.4
6.00568,3737.8202,4631.54536,-19.3
6.00335,3717.98869,4634.16259,-19.77
6.00381,3735.19901,4633.64569,-19.39
6.0007,3721.81431,4637.14231,-19.74
6.00774,3567.55053,4629.23348,-22.93
6.00806,3680.00983,4628.87453,-20.5
6.00695,3681.00749,4630.11984,-20.5
6.01031,3630.2993,4626.35197,-21.53
6.00967,3689.91174,4627.06926,-20.25
6.00732,3730.60761,4629.70467,-19.42
6.00807,3619.9363,4628.86331,-21.8
6.0092,3603.0154,4627.59614,-22.14
6.00596,3593.91347,4631.23101,-22.4
6.00513,3678.50533,4632.16293,-20.59
6.01069,3502.11254,4625.92617,-24.29
6.00305,3520.84112,4634.49976,-24.03
6.00634,3536.80455,4630.80445,-23.62
6.00856,3478.23864,4628.31376,-24.85
6.01231,3499.9593,4624.11165,-24.31
6.00527,3526.2282,4632.00572,-23.87
6.00701,3461.27254,4630.05251,-25.24
6.01697,3545.62732,4618.89878,-23.24
6.00291,664947.059,4634.65712,14247.28
6.01058,3485.50575,4626.04942,-24.65
6.01087,3396.28433,4625.7245,-26.58
6.00511,3390.40344,4632.18539,-26.81
6.00834,3445.17332,4628.56048,-25.57
