Load (lbf),Resistance (Ohms)
4.00037,5001.79714
4.01068,4953.95674
4.01309,4984.85971
4.01755,5089.15892
4.02005,5029.16854
4.02657,4942.2697
4.03988,4890.28771
4.04454,4939.6186
4.04793,4944.47741
4.05803,4791.03075
4.0622,4895.58276
4.06416,4881.74494
4.06601,5028.333
4.0696,4897.4844
4.0813,4943.88066
4.0887,4837.51957
4.09729,4825.59009
4.10071,4742.55558
4.10354,4709.36566
4.11108,4846.03033
4.11588,4821.91011
4.11999,4767.18705
4.12231,4905.23885
4.13146,4853.62618
4.1421,4846.2984
4.14442,4702.30449
4.14857,4886.25077
4.15175,4853.54862
4.16129,4813.91525
4.16408,4922.82203
4.16551,4845.92639
4.17357,4818.70308
4.18059,4751.29018
4.19272,4856.98674
4.19809,4858.25957
4.20053,4797.86259
4.2022,4831.75741
4.20058,4750.65023
4.20811,4644.45328
4.2226,4600.964
4.22938,4721.32483
4.23495,4938.30399
4.24172,4781.82511
4.24569,4795.97275
4.24968,4610.69372
4.24969,4622.67202
4.25456,4653.8917
4.27079,4678.26767
4.27773,4608.78869
4.28081,4703.98886
4.28428,4581.84557
4.28528,4634.77368
4.29238,4552.73426
4.29515,4555.57984
4.30554,4648.34577
4.31991,4547.70816
4.32596,4548.2129
4.32724,4596.65995
4.32848,4435.3567
4.33463,4535.61697
4.34541,4571.5163
4.35529,4486.95421
4.36044,4395.63882
4.36242,4630.36549
4.36665,4421.04574
4.37134,4565.22103
4.37372,4488.27926
4.3786,4537.35726
4.38541,4387.85419
4.4015,4404.92005
4.40583,4358.79749
4.40859,4332.95576
4.41097,4527.62908
4.4145,4362.34898
4.42253,4564.75104
4.43515,4379.39926
4.44036,4418.82118
4.44343,4325.60779
4.44917,4399.09496
4.45639,4330.03357
4.46288,4491.31833
4.46373,4317.32487
4.46741,4491.17124
4.4704,4445.91186
4.47768,4273.06723
4.48357,4296.92447
4.48976,4330.42754
4.49544,4362.15879
4.49966,4401.18459
4.50869,4183.42572
4.51854,4382.35304
4.52141,4299.55688
4.52355,4322.43806
4.53011,4338.78939
4.54066,4236.94033
4.54511,4269.082
4.54993,4327.02483
