Load (lbf),Resistance (Ohms)
4.00015,5617.38346
4.00987,5594.8411
4.01258,5629.06229
4.01304,5567.91691
4.01477,5600.04156
4.02255,5648.02523
4.02861,5619.79952
4.02907,5429.15425
4.04697,5549.39213
4.05325,5528.54509
4.06636,5556.93897
4.06967,5454.16147
4.07235,5540.06183
4.07728,5614.99195
4.08117,5575.00535
4.08939,5601.56445
4.09284,5527.68023
4.10333,5328.64642
4.10855,5354.52413
4.10892,5473.43298
4.11537,5512.41834
4.12921,5408.87991
4.13288,5525.5219
4.1372,5433.92044
4.14147,5379.42502
4.14632,5403.37268
4.15385,5349.60351
4.15839,5480.12502
4.16208,5541.26701
4.16493,5348.00833
4.16833,5501.39718
4.17585,5349.84971
4.18387,5497.53054
4.1921,5452.57852
4.19576,5431.09967
4.20277,5540.28144
4.20644,5268.91948
4.2193,5280.56562
4.22534,5279.16121
4.22728,5233.6024
4.23067,5368.5854
4.2317,5346.80842
4.2364,5266.94332
4.24206,5358.15655
4.24685,5265.43726
4.25475,5179.63951
4.26151,5242.16875
4.27145,5359.10404
4.2795,5159.65329
4.28207,5175.54218
4.28545,5177.28243
4.29617,5203.12793
4.30601,5077.84751
4.31138,5199.45102
4.31331,5159.44857
4.31452,5192.31174
4.3139,5043.47174
4.3134,5087.5737
4.32283,5143.99315
4.33642,5128.50087
4.33774,5151.57291
4.334,5128.41026
4.33479,5001.75494
4.3454,5049.57167
4.35233,5167.73905
4.35961,5140.47821
4.36496,5083.71758
4.37273,4935.19239
4.3866,5042.71394
4.39892,5034.98043
4.39863,4954.29967
4.40351,5020.30475
4.40566,5031.30646
4.44958,4961.46415
4.45392,4914.89087
4.44994,4960.15742
4.44624,4889.35708
4.44431,4905.42527
4.44413,5018.67005
4.44198,4908.42457
4.44095,5013.17181
4.43946,4919.74452
4.44274,4906.2473
4.44521,4939.49539
4.44386,5014.65082
4.44265,4855.57814
4.44516,5067.0031
4.45065,4795.63446
4.45521,4966.62553
4.46475,5133.75101
4.47062,4875.48525
4.47481,4845.08964
4.4865,4863.90662
4.49209,4922.27429
4.50234,4948.47619
4.50415,4817.54783
4.50969,4916.99956
4.51352,4779.6807
4.51656,4841.72679
4.52001,4793.66605
4.52553,4900.34719
4.52868,4932.6823
4.53566,4690.95087
4.53917,4839.87258
4.54324,4755.49906
4.55021,4774.09349
4.56351,4750.29835
4.57038,4766.87446
4.57589,4710.10674
4.58615,4675.51654
4.59459,4756.43543
4.60055,4643.91125
4.60497,4802.85722
4.61038,4752.23307
4.614,4852.31722
4.61572,4803.51202
4.62177,4686.16557
4.627,4737.79235
4.6343,4654.0478
4.63906,4616.93252
4.64494,4646.184
4.6508,4612.90945
4.65428,4606.52107
4.65871,4679.86161
4.6623,4721.34675
4.66969,4640.17446
4.67436,4645.11483
4.68056,4744.01276
4.6842,4560.64836
4.69177,4499.89365
4.68874,4646.26407
4.69373,4676.35509
4.70365,4614.53587
4.70861,4569.22375
4.71427,4605.81476
4.72392,4523.20965
4.72691,4452.20844
4.73243,4426.02318
4.73367,4417.99749
4.74111,4689.18766
4.74802,4654.9512
4.75055,4488.18884
4.75438,4457.00599
4.76396,4580.46809
4.76637,4593.34268
4.77117,4415.66913
4.77848,4565.34389
4.77877,4395.86531
4.78747,4495.92343
4.79387,4352.71143
4.79862,4540.3284
4.80406,4404.31674
4.81563,4462.14314
4.82838,4468.81119
4.83457,4444.55058
4.84336,4349.14206
4.85085,4294.59932
4.85419,4372.02225
4.85743,4423.42693
4.85862,4473.97648
4.86044,4302.94994
4.86706,4422.844
4.87135,4275.3274
4.88009,4349.41939
4.88496,4298.38446
4.89405,4326.04226
4.9051,4329.08458
4.9188,4359.99264
4.92259,4252.85104
4.92311,4259.79827
4.92387,4404.796
4.92465,4234.26889
4.96491,4152.88994
4.97102,4214.4159
4.97093,4342.16976
4.97777,4430.81654
4.97454,4381.50535
4.97281,4307.73374
4.9727,4260.98865
4.97448,4210.72992
4.98139,4269.97542
4.98451,4193.52593
4.99199,4310.56073
4.99373,4238.83629
5.00303,4351.36923
5.0116,4132.53095
5.02818,4072.96874
5.03956,4216.68767
5.0423,4153.58913
5.0446,4235.63447
5.04864,4122.19268
5.05169,4197.69618
5.05649,4181.49697
5.05648,4286.81929
5.05924,4348.89923
5.06811,4169.51981
5.07407,4211.74842
5.08076,4167.8868
5.08405,4183.74456
5.08799,4119.51233
5.09886,4380.37585
5.10467,4165.63345
