Load (lbf),Resistance (Ohms)
4.0015,6305.63022
4.0081,6240.89361
4.0102,6256.6207
4.0137,6231.64183
4.0177,6265.07076
4.0232,6211.03904
4.0327,6248.21694
4.0373,6295.47052
4.0398,6099.26505
4.0457,6199.82004
4.0515,6242.36162
4.0559,6175.1737
4.0603,6164.88847
4.0633,6095.55785
4.0668,6083.36836
4.0707,6194.9877
4.0744,6039.85811
4.0791,6245.64449
4.0855,6147.19593
4.0963,6088.46832
4.1,6021.76532
4.1053,6067.93443
4.1095,5972.15097
4.1118,6136.54987
4.1149,5956.74791
4.1203,6139.50799
4.1281,5894.31508
4.1366,5982.59268
4.1418,6155.59834
4.143,6058.35728
4.145,6059.26062
4.1486,5810.54832
4.151,5938.31266
4.1568,5956.89606
4.1636,6005.42497
4.1712,5992.20625
4.1849,5871.30162
4.191,5778.27765
4.1953,5901.2944
4.1977,5952.75407
4.2013,5875.1454
4.2038,5762.49674
4.2062,5858.68577
4.2097,5846.87992
4.2178,5856.27939
4.2298,5755.85599
4.2377,5792.07821
4.2412,5723.30825
4.2424,5744.25012
4.2431,5631.31267
4.2473,5779.41899
4.2554,5791.39985
4.2642,5831.14419
4.278,5687.01645
4.2829,5577.85953
4.2875,5646.67448
4.2906,5537.77513
4.2985,5741.10517
4.3074,5546.65873
4.3135,5477.44509
4.3221,5581.88178
4.3287,5587.37653
4.3357,5701.72627
4.3382,5632.18978
4.3411,5655.97372
4.352,5612.71296
4.3603,5709.52432
4.3636,5472.52656
4.3628,5574.94245
4.363,5509.34449
4.3636,5453.58631
4.3677,5503.68203
4.3741,5572.07279
4.3826,5466.575
4.3898,5413.75163
4.396,5458.03677
4.4011,5568.87627
4.4046,5319.3342
4.4108,5457.48382
4.4182,5450.20411
4.4255,5579.36262
4.431,5476.21826
4.4378,5623.46127
4.4424,5449.73893
4.4493,5480.84139
4.4597,5374.08437
4.4676,5477.23621
4.4744,5414.26043
4.479,5401.25414
4.4847,5253.51816
4.4887,5286.05559
4.5,5342.44162
4.503,5315.5501
4.5073,5356.60605
4.5121,5472.29801
4.5274,5363.14804
4.5462,5368.38403
4.5564,5202.25578
4.5646,5332.89765
4.5697,5393.38897
4.573,5240.3724
4.5782,5213.57079
4.5828,5298.73789
4.5861,5264.76861
4.59,5306.67774
4.5967,5146.25065
4.6024,5197.00727
4.607,5289.55694
4.6133,5241.24987
4.6186,5325.11482
4.6219,5230.95158
4.6255,5116.58204
4.6313,5235.64729
4.6388,5173.27167
4.6445,5276.71233
4.6489,5262.14986
4.6554,5213.12242
4.663,5162.13304
4.6671,5097.96655
4.6721,5042.79441
4.6774,5134.89251
4.682,4994.64764
4.6858,4999.2453
4.691,5200.43746
4.6958,5113.61195
4.7,5132.28041
4.7027,5158.14666
4.7091,5095.45571
4.7173,5064.39212
