Load (lbf),Resistance (Ohms)
0.0013,9.9e+37
0.0012,9.9e+37
0.0011,9.9e+37
0.0011,9.9e+37
0.0012,9.9e+37
0.0012,9.9e+37
0.0013,9.9e+37
0.0013,9.9e+37
0.0012,9.9e+37
0.0012,9.9e+37
0.0011,9.9e+37
0.0012,9.9e+37
0.0012,9.9e+37
0.0012,9.9e+37
0.0013,9.9e+37
0.0013,9.9e+37
0.0013,9.9e+37
0.0012,9.9e+37
0.0012,9.9e+37
0.0013,9.9e+37
0.0011,9.9e+37
0.0012,9.9e+37
0.0012,9.9e+37
0.0012,9.9e+37
0.0012,9.9e+37
0.0013,9.9e+37
0.0012,9.9e+37
0.0012,9.9e+37
0.0013,9.9e+37
0.0013,9.9e+37
0.0013,9.9e+37
0.0012,9.9e+37
0.0013,9.9e+37
0.0013,9.9e+37
0.0012,9.9e+37
0.0011,9.9e+37
0.0012,9.9e+37
0.0011,9.9e+37
0.0011,9.9e+37
0.0011,9.9e+37
0.0011,9.9e+37
0.001,9.9e+37
0.0011,9.9e+37
0.0011,9.9e+37
0.0011,9.9e+37
0.001,9.9e+37
0.0011,9.9e+37
0.001,9.9e+37
0.0009,9.9e+37
0.0009,9.9e+37
0.0008,9.9e+37
0.0008,9.9e+37
0.0008,9.9e+37
0.0007,9.9e+37
0.0008,9.9e+37
0.0007,9.9e+37
0.0006,9.9e+37
0.0005,9.9e+37
0.0006,9.9e+37
0.0005,9.9e+37
0.0004,9.9e+37
0.0005,9.9e+37
0.0004,9.9e+37
0.0003,9.9e+37
0.0003,9.9e+37
0.0001,9.9e+37
0.0001,9.9e+37
0.0002,9.9e+37
0.0,9.9e+37
0.0001,9.9e+37
0.0001,9.9e+37
0.0,9.9e+37
0.0,9.9e+37
0.0,9.9e+37
0.0001,9.9e+37
0.0002,9.9e+37
0.0001,9.9e+37
0.0002,9.9e+37
0.0003,9.9e+37
0.0004,9.9e+37
0.0008,9.9e+37
0.0036,9.9e+37
0.0071,9.9e+37
0.0111,9.9e+37
0.0164,9.9e+37
0.0233,9.9e+37
0.0372,206471.301
0.2229,184085.276
0.3051,176554.695
0.3245,168242.407
0.3312,165954.528
0.3425,165292.285
0.3499,159856.065
0.3544,157364.564
0.3625,156124.067
0.3663,151751.962
0.3714,151797.628
0.3786,149477.271
0.3803,144065.727
0.3891,139930.83
0.3938,137936.104
0.3979,132904.368
0.4056,131151.054
0.4065,131037.668
0.4073,129355.422
0.4167,126760.444
0.4378,124089.832
0.439,123741.632
0.4379,123024.039
0.4374,122752.559
0.4389,121137.834
0.4446,120336.595
0.4491,119538.031
0.4525,116268.309
0.4656,114914.129
0.4747,114216.813
0.4779,113709.501
0.4807,111595.192
0.4879,110864.478
0.4939,109328.616
0.5094,109014.563
0.5099,108904.631
0.5126,108873.33
0.5141,108646.638
0.5178,108196.979
0.524,108037.23
0.5302,107055.049
0.5414,106205.055
0.5477,106177.327
0.5503,105979.841
0.5522,105903.796
0.5552,105495.302
0.5569,104242.935
0.5585,103208.203
0.565,100697.517
0.5887,99975.23
0.5963,99426.9542
0.5984,99583.4893
0.6008,98533.3886
0.6027,98382.4362
0.6091,97307.6434
0.6123,97194.1535
0.6162,94261.4935
0.6362,94023.9476
0.6533,93452.6304
0.6553,92736.7502
0.6553,92696.299
0.656,92222.4383
0.6571,91953.1349
0.6582,91842.7654
0.6595,91552.8979
0.6613,91384.6838
0.6635,90754.1465
0.6676,89897.1334
0.6723,89364.338
0.6831,89020.043
0.6962,88609.83
0.7026,88381.9929
0.7064,88458.9554
0.7104,88056.9254
0.7159,87437.5346
0.7265,87385.7067
0.7332,87080.8345
