Load (lbf),Resistance (Ohms)
0.00047,56427775.0
0.00045,55280268.0
0.00047,53913134.2
0.00046,56308148.8
0.00047,57596243.2
0.00042,57544868.2
0.00045,58106749.0
0.00039,56977499.3
0.00037,57875827.1
0.00036,54195412.2
0.00045,54491902.0
0.00038,51637084.4
0.00044,53327353.4
0.00036,56306877.0
0.00044,54160964.7
0.00045,66538703.0
0.00038,67652087.0
0.00047,86278323.5
0.00046,90304580.3
0.00037,85025839.1
0.00036,87189765.5
0.00042,95072566.6
0.00043,84288299.2
0.0004,77710901.7
0.00042,73025123.3
0.00042,108946622.0
0.00035,9.9e+37
0.00039,9.9e+37
0.00044,66896541.2
0.00058,44007431.2
0.0004,25872475.9
0.00036,83849833.6
0.00045,441694.333
0.00049,105398.056
0.00058,75371.8309
0.00046,66582.5094
0.00044,61410.8511
0.00152,57130.3546
0.00346,54082.7468
0.00818,50800.2011
0.02503,48133.939
0.48122,45743.2796
0.82196,43109.2156
0.88971,41696.8678
0.94563,39575.5723
1.00698,38249.5022
1.05961,36687.2138
1.11981,34474.5843
1.17291,32469.8305
1.23128,29960.6739
1.28592,26575.3175
1.33981,23679.7524
1.39499,21847.1015
1.45101,20447.3176
1.50651,19039.5768
1.56005,17506.9707
1.61585,16915.0342
1.67043,15844.5609
1.72956,15048.1755
1.78609,14377.7468
1.83884,13928.2183
1.89616,12866.9379
1.94534,12456.6346
2.00488,12023.3079
2.06217,11563.6039
2.1163,11092.041
2.17468,10749.3697
2.23559,10618.3648
2.28809,10274.078
2.34613,10105.7917
2.40003,9596.46109
2.45129,9422.91378
2.50731,9178.53764
2.5532,9057.87223
2.60951,8810.66893
2.66406,8484.41353
2.72101,8208.96905
2.77613,8008.08815
2.83772,7801.57766
2.88499,7738.35128
2.94047,7459.85287
3.00329,7222.09582
3.05756,6944.48064
3.11538,6885.5877
3.16352,6887.00777
3.23052,6665.97201
3.2761,6519.42665
3.3399,6397.1744
3.39045,6272.18781
3.44585,6185.22969
3.50246,6177.58346
3.55788,5786.28753
3.61589,5888.31191
3.67794,5825.30656
3.72817,5659.44136
3.78238,5516.66342
3.83641,5382.9099
3.8997,5368.26733
3.95333,5251.02096
4.00766,5068.63559
4.0612,5109.28975
4.1198,4991.54734
4.17553,4888.98064
4.23003,4912.41484
4.28905,4925.71595
4.34013,4809.98783
4.39905,4623.50672
4.45231,4674.13067
4.5089,4593.5412
4.56739,4420.97492
4.61826,4270.05737
4.67772,4280.9282
4.73037,4241.10498
4.79438,4031.69723
4.84516,4270.22407
4.90029,4062.8245
4.95843,3980.77634
5.01588,3931.74532
5.07476,3956.05193
5.12476,3935.00158
5.18666,3934.25283
5.23519,3816.2981
5.28932,3834.87752
5.35,3733.61616
5.39961,3718.69484
5.45718,3679.6619
5.51737,3689.9386
5.5652,3722.44098
5.62154,3604.18943
5.6789,3554.02863
5.74378,3561.53356
5.7905,3648.38874
5.84597,3498.06316
5.9048,3325.81792
5.95811,3285.10318
6.01366,3499.64288
6.07184,3425.1964
6.1291,3423.50818
6.17789,3243.9083
6.23744,3219.47474
6.29064,3179.66619
6.34259,3197.03751
6.40508,3112.80939
6.45702,3066.08163
6.51534,3124.83255
6.55904,3199.1928
6.61463,3113.1744
6.60362,3208.33266
6.59399,3017.06492
6.60595,3121.00138
6.60565,3143.53928
6.60226,3101.21065
6.60703,2978.66807
6.60793,3199.96387
6.60204,3025.22612
6.60301,3043.75756
6.5993,2959.47179
6.59682,3057.1491
6.60081,2897.58831
6.60549,2953.56635
6.6047,3115.97876
6.60388,2999.15405
6.60245,3026.60922
6.60403,3137.30595
6.60141,3123.92023
6.5973,3022.73482
6.60354,3134.66803
6.60187,3082.72213
6.59706,3159.24403
6.59761,3123.62823
6.59598,3068.41972
6.59836,3028.06538
6.61012,2965.37472
6.61471,2997.8242
6.61789,2969.2454
6.61412,3039.3089
6.61055,3056.61251
6.60674,3009.83281
6.60284,2899.34884
6.59888,3001.68664
6.595,3028.16791
6.5917,3158.11165
6.59076,2950.36801
6.58829,3050.55029
6.58542,2980.66599
6.58251,2790466.45
2.21532,2698168.64
0.00186,2548476.38
0.00179,8030915.17
0.00166,10826875.6
0.00154,3351998.77
0.00156,13724313.1
0.00144,3768450.09
0.00133,2785093.76
0.0014,4230876.58
0.00131,4723910.81
0.00128,5711479.0
0.00134,11420397.1
0.0012,21312286.4
0.00121,63601687.1
0.00124,8709488.79
0.00115,15922578.8
0.00114,18746516.0
0.00106,53148484.1
0.00113,8625030.27
0.00114,52249405.6
0.00114,12331406.4
0.00113,12647307.5
0.00103,9.9e+37
0.00099,76296321.5
0.00106,27132960.0
0.00108,72556955.7
0.00106,103170800.0
0.00107,22695417.9
0.00102,30123559.7
0.00102,98662932.3
0.00102,82936973.9
0.00092,84849389.7
0.00106,86851342.8
0.00103,99158820.8
0.00099,9.9e+37
0.00113,9.9e+37
0.00187,90078046.1
0.00242,9.9e+37
0.00324,9.9e+37
0.00398,7219826.25
0.0046,5173665.78
0.00625,30629953.9
0.01204,49663663.6
0.01796,79561902.6
0.02673,382763.451
0.09198,16406.3133
1.23598,6875.38158
3.40452,6253.54754
3.62932,6029.05744
3.70811,5879.03768
3.7567,5678.46488
3.83187,5664.32756
3.88314,5418.00206
3.94532,5465.90039
4.00044,5240.95769
4.05502,5200.76356
4.11613,5203.95652
4.17009,4947.55639
4.22716,4805.40066
4.28846,4844.22243
4.3348,4826.67088
4.39284,4759.22266
4.44973,4435.65363
4.50971,4473.8923
4.56954,4461.74956
4.62001,4471.27708
4.67821,4222.25646
4.73325,4291.33089
4.78873,4187.67631
4.84769,4005.55574
4.89789,4108.81673
4.95772,4154.48144
5.01701,4001.65609
5.0714,4040.86369
5.12867,3820.34356
5.17584,3957.25434
5.23759,3839.98121
5.29016,3856.57416
5.34823,3775.19868
5.42018,3697.27959
5.45813,3746.73271
5.51317,3743.49661
5.57187,3813.87719
5.62008,3672.71191
5.68332,3477.4093
5.74085,3537.78797
5.7928,3476.44527
5.84481,3498.8992
5.89844,3337.99408
5.95208,3372.16668
6.01443,3359.51758
6.06611,3314.23937
6.12115,3330.50402
6.17615,3225.26979
6.21945,3378.55163
6.28346,3066.86215
6.34332,3202.66119
6.39547,3156.97517
6.45338,3105.82461
6.50491,3250.85763
6.54554,3282.04713
6.61331,3117.29157
6.6103,3097.05149
6.60528,3095.489
6.59787,3132.41172
6.59736,3144.53457
6.59701,3037.38229
6.59645,3143.10381
6.59529,3047.53086
6.60251,3219.95484
6.6133,3093.41323
6.60794,3134.66175
6.60306,3079.8543
6.60191,3124.79837
6.59805,3220.95536
6.59582,3094.54175
6.59841,3116.25504
6.63058,3050.08478
6.63013,3012.62989
6.62573,2981.09659
6.62116,3018.32632
6.61778,3184.6441
6.61664,3107.66885
6.61646,2795.81727
6.6154,3019.0363
6.61301,3103.32337
6.61085,3154.59374
6.60856,2665671.77
1.82594,2515451.16
0.00183,6367547.53
0.00175,5349314.07
0.00173,9764940.67
0.00154,3962973.85
0.00149,3272453.01
0.0014,5353509.69
0.0014,16198044.4
0.00147,3126819.0
0.00129,6379380.84
0.00135,6030045.36
0.00131,5844732.35
0.00126,4294148.49
0.0013,36626460.6
0.00117,31658835.7
0.00122,7935510.01
0.00123,28072185.4
0.0012,16016279.4
0.00115,15819742.2
0.00114,25063965.3
0.00126,57511118.3
0.00109,9.9e+37
0.00106,115997304.0
0.00103,9.9e+37
0.00117,9.9e+37
0.00109,70667271.9
0.00148,30857206.2
0.00219,64526096.6
0.00296,15468703.1
0.00379,9.9e+37
0.0045,26574482.2
0.00552,37490726.7
0.01187,43501189.4
0.01834,80211197.5
0.02805,182226.014
0.1858,11185.965
1.97348,8886.53153
2.74943,8175.5184
2.85042,7903.3762
2.92103,7636.25376
2.97472,7357.76671
3.04069,7150.00946
3.09516,7072.18843
3.15915,6726.54435
3.20863,6545.06762
3.26693,6578.64382
3.3268,6434.74632
3.3776,6240.33154
3.43397,6076.71765
3.49804,5971.95415
3.54846,6082.85306
3.60385,5950.88168
3.66106,5818.99972
3.71555,5619.36094
3.77254,5497.92393
3.82906,5476.64366
3.88467,5475.40077
3.94253,5353.47284
3.99506,5312.13667
4.05553,5067.49149
4.1085,5041.13447
4.16175,5023.03709
4.20493,4805.42512
4.26993,4781.64075
4.32305,4617.39959
4.38564,4701.92497
4.43516,4491.0863
4.49759,4680.50254
4.54778,4483.74106
4.60697,4464.92966
4.66251,4434.20629
4.71785,4218.52913
4.7739,4172.74276
4.82667,4125.54345
4.88592,4069.83797
4.94505,4031.76087
4.99692,3948.1605
5.05501,3836.59736
5.11784,3882.30927
5.16466,3920.358
5.22164,3828.80711
5.27625,3849.4707
5.32526,3929.03502
5.38575,3710.33222
5.44621,3763.96347
5.4897,3752.47457
5.54675,3653.10748
5.60037,3559.13181
5.6612,3534.3312
5.71726,3634.01307
5.77377,3376.98812
5.83197,3413.43285
5.88348,3359.30734
5.94156,3467.12657
5.99547,3274.11818
6.05525,3391.87702
6.10514,3344.7053
6.16225,3151.23384
6.21014,3274.06499
6.27314,3339.41765
6.32011,3297.86007
6.38638,3252.71272
6.45239,3155.07537
6.48007,3174.17698
6.54257,3055.05651
6.5929,3173.10664
6.60468,3124.07652
6.60093,3114.90025
6.60838,2967.06115
6.60418,3040.45525
6.6064,3069.28563
6.60197,2976.65268
6.60019,3028.20414
6.59611,3131.70754
6.59444,2947.52258
6.59296,3009.2518
6.60386,3155.36635
6.60715,3093.30078
6.61775,3100.36471
6.61677,3131.83276
6.61447,3125.94588
6.61094,2985.49262
6.60891,2987.90697
6.60982,3103.68203
6.61038,2895.08917
6.60928,3106.40227
6.60782,3074.19333
6.60493,3079.63439
6.59825,2583751.71
0.00347,2998580.57
0.00191,6031809.16
0.00178,5345784.97
0.00173,11355545.3
0.0017,5332250.17
0.00163,3977692.17
0.00155,5051702.38
0.00147,3837393.02
0.0015,5241648.71
0.00151,15190802.1
0.00136,38835093.5
0.00138,47163183.9
0.00135,3596205.1
0.00135,8336174.69
0.00136,58934892.0
0.00124,9.9e+37
0.00137,26041172.9
0.00133,31139755.0
0.0013,25807648.5
0.00137,18257626.9
0.00127,17828961.9
0.00124,16884223.9
0.00123,15882189.4
0.00121,75398658.0
0.0011,9.9e+37
0.00114,7168966.5
0.00114,6749708.42
0.00109,46325239.6
0.00109,80144868.3
0.00113,106003390.0
0.0012,107292605.0
0.00128,48817521.6
0.0015,18613086.6
0.00223,58091014.0
0.0029,27990075.2
0.00356,9.9e+37
0.0043,9807472.28
0.00504,37690389.7
0.00874,16372420.2
0.01487,9.9e+37
0.02171,9.9e+37
0.03313,73678.5863
0.45743,8074.84099
2.90763,6622.75837
3.45744,6477.01561
3.55049,6137.95591
3.62079,6098.87253
3.68512,5868.75512
3.74474,5802.46441
3.79918,5847.57128
3.85632,5576.69409
3.91117,5510.99261
3.96609,5355.95365
4.01951,5198.30902
4.08459,5043.25386
4.14993,5041.28092
4.19339,4927.44632
4.23425,4785.44437
4.30071,4723.58278
4.35748,4714.88804
4.4119,4820.72718
4.47175,4495.14494
4.52645,4587.79733
4.58694,4408.10722
4.64396,4397.91905
4.70187,4334.92471
4.7525,4236.69196
4.81169,4135.75031
4.86656,4194.39068
4.92266,4063.24558
4.97709,4047.22301
5.03686,3966.05269
5.09837,4018.25513
5.14178,3986.75826
5.19481,3814.45455
5.24933,3805.72503
5.30876,3885.60232
5.37082,3859.69166
5.42483,3734.3324
5.4676,3692.0842
5.52913,3656.76938
5.57379,3516.8107
5.63824,3527.91754
5.69759,3546.20971
5.75575,3378.16844
5.80886,3365.43522
5.86636,3416.08084
5.91998,3312.66003
5.9788,3271.27659
6.03514,3274.96376
6.08585,3178.9266
6.15097,3384.22691
6.18445,3266.46156
6.25284,3227.02772
6.30599,3045.39771
6.36458,3093.50432
6.41893,3136.32025
6.47271,3143.08137
6.51223,3077.08545
6.58123,3056.86985
6.6055,3190.72416
6.61227,3232.53975
6.60593,3193.73704
6.60489,3127.58056
6.60051,3149.15665
6.60128,3098.27721
6.60084,3170.1348
6.60292,2999.11498
6.63555,3151.37395
6.63204,3016.9182
6.62769,3041.18601
6.62623,3132.67181
