Sensor, Timestamp, Value
LoadCell, 2024-05-03 08:54:46.692444, None
DMM, 2024-05-03 08:54:46.692444, 32172693.4
LoadCell, 2024-05-03 08:54:47.389477, 0.00068
DMM, 2024-05-03 08:54:47.389477, 36878925.7
LoadCell, 2024-05-03 08:54:47.406024, None
DMM, 2024-05-03 08:54:47.406024, 39433642.1
LoadCell, 2024-05-03 08:54:47.425521, None
DMM, 2024-05-03 08:54:47.425521, 43861054.1
LoadCell, 2024-05-03 08:54:47.445566, None
DMM, 2024-05-03 08:54:47.445566, 49528748.7
LoadCell, 2024-05-03 08:54:47.466352, None
DMM, 2024-05-03 08:54:47.466352, 54859471.9
LoadCell, 2024-05-03 08:54:47.485299, 0.00065
DMM, 2024-05-03 08:54:47.485299, 60036136.2
LoadCell, 2024-05-03 08:54:47.505931, None
DMM, 2024-05-03 08:54:47.505931, 63737787.7
LoadCell, 2024-05-03 08:54:47.526385, None
DMM, 2024-05-03 08:54:47.526385, 64199676.5
LoadCell, 2024-05-03 08:54:47.548348, None
DMM, 2024-05-03 08:54:47.548348, 63202849.2
LoadCell, 2024-05-03 08:54:47.566232, None
DMM, 2024-05-03 08:54:47.566232, 66229089.8
LoadCell, 2024-05-03 08:54:47.585866, 0.00072
DMM, 2024-05-03 08:54:47.585866, 71538912.9
LoadCell, 2024-05-03 08:54:47.605366, None
DMM, 2024-05-03 08:54:47.605366, 76043345.8
LoadCell, 2024-05-03 08:54:47.627405, None
DMM, 2024-05-03 08:54:47.627405, 74947368.7
LoadCell, 2024-05-03 08:54:47.645672, None
DMM, 2024-05-03 08:54:47.645672, 69532977.6
LoadCell, 2024-05-03 08:54:47.665604, None
DMM, 2024-05-03 08:54:47.665604, 64496859.2
LoadCell, 2024-05-03 08:54:47.686296, 0.00074
DMM, 2024-05-03 08:54:47.686296, 61969173.2
LoadCell, 2024-05-03 08:54:47.705171, None
DMM, 2024-05-03 08:54:47.705171, 63634545.5
LoadCell, 2024-05-03 08:54:47.725671, None
DMM, 2024-05-03 08:54:47.725671, 66977528.7
LoadCell, 2024-05-03 08:54:47.745585, None
DMM, 2024-05-03 08:54:47.745585, 69992926.5
LoadCell, 2024-05-03 08:54:47.766413, None
DMM, 2024-05-03 08:54:47.766413, 71293856.4
LoadCell, 2024-05-03 08:54:47.785164, 0.00064
DMM, 2024-05-03 08:54:47.785164, 73371311.0
LoadCell, 2024-05-03 08:54:47.805732, None
DMM, 2024-05-03 08:54:47.805732, 77767739.9
LoadCell, 2024-05-03 08:54:47.825878, None
DMM, 2024-05-03 08:54:47.825878, 80680175.2
LoadCell, 2024-05-03 08:54:47.845496, None
DMM, 2024-05-03 08:54:47.845496, 81418319.7
LoadCell, 2024-05-03 08:54:47.866073, None
DMM, 2024-05-03 08:54:47.866073, 79978498.6
LoadCell, 2024-05-03 08:54:47.886366, 0.0008
DMM, 2024-05-03 08:54:47.886366, 77836007.6
LoadCell, 2024-05-03 08:54:47.905352, None
DMM, 2024-05-03 08:54:47.905352, 76605161.1
LoadCell, 2024-05-03 08:54:47.925859, None
DMM, 2024-05-03 08:54:47.925859, 74201641.7
