Sensor, Timestamp, Value
LoadCell, 2024-05-06 09:37:34.192073, None
DMM, 2024-05-06 09:37:34.192073, 41377604.5
LoadCell, 2024-05-06 09:37:35.043271, 0.0001
DMM, 2024-05-06 09:37:35.043271, 40957333.1
LoadCell, 2024-05-06 09:37:35.076920, None
DMM, 2024-05-06 09:37:35.076920, 40663632.1
LoadCell, 2024-05-06 09:37:35.103028, None
DMM, 2024-05-06 09:37:35.103028, 40569047.3
LoadCell, 2024-05-06 09:37:35.123606, None
DMM, 2024-05-06 09:37:35.123606, 40544663.6
LoadCell, 2024-05-06 09:37:35.140624, None
DMM, 2024-05-06 09:37:35.140624, 40461707.5
LoadCell, 2024-05-06 09:37:35.163517, 0.0
DMM, 2024-05-06 09:37:35.163517, 40495268.2
LoadCell, 2024-05-06 09:37:35.183835, None
DMM, 2024-05-06 09:37:35.183835, 40611051.8
LoadCell, 2024-05-06 09:37:35.196568, None
DMM, 2024-05-06 09:37:35.196568, 40740755.4
LoadCell, 2024-05-06 09:37:35.223877, None
DMM, 2024-05-06 09:37:35.223877, 41372394.5
LoadCell, 2024-05-06 09:37:35.243716, None
DMM, 2024-05-06 09:37:35.243716, 42135352.7
LoadCell, 2024-05-06 09:37:35.266402, 0.0001
DMM, 2024-05-06 09:37:35.266402, 42908617.7
LoadCell, 2024-05-06 09:37:35.281356, None
DMM, 2024-05-06 09:37:35.281356, 43779019.9
LoadCell, 2024-05-06 09:37:35.303610, None
DMM, 2024-05-06 09:37:35.303610, 44408248.9
LoadCell, 2024-05-06 09:37:35.324502, None
DMM, 2024-05-06 09:37:35.324502, 44454856.3
LoadCell, 2024-05-06 09:37:35.344661, None
DMM, 2024-05-06 09:37:35.344661, 43854074.1
LoadCell, 2024-05-06 09:37:35.361666, 0.0
DMM, 2024-05-06 09:37:35.361666, 43657657.0
LoadCell, 2024-05-06 09:37:35.384218, None
DMM, 2024-05-06 09:37:35.384218, 44401294.5
LoadCell, 2024-05-06 09:37:35.404175, None
DMM, 2024-05-06 09:37:35.404175, 44892732.4
LoadCell, 2024-05-06 09:37:35.424048, None
