Sensor, Timestamp, Value
LoadCell, 2024-05-03 08:19:17.477408, None
DMM, 2024-05-03 08:19:17.477408, 9.9e+37
LoadCell, 2024-05-03 08:19:18.181055, 1e-05
DMM, 2024-05-03 08:19:18.181055, 9.9e+37
LoadCell, 2024-05-03 08:19:18.203982, None
DMM, 2024-05-03 08:19:18.203982, 9.9e+37
LoadCell, 2024-05-03 08:19:18.223262, None
DMM, 2024-05-03 08:19:18.223262, 9.9e+37
LoadCell, 2024-05-03 08:19:18.242614, None
DMM, 2024-05-03 08:19:18.242614, 9.9e+37
LoadCell, 2024-05-03 08:19:18.262548, None
DMM, 2024-05-03 08:19:18.262548, 9.9e+37
LoadCell, 2024-05-03 08:19:18.282481, 3e-05
DMM, 2024-05-03 08:19:18.282481, 9.9e+37
LoadCell, 2024-05-03 08:19:18.303060, None
DMM, 2024-05-03 08:19:18.303060, 9.9e+37
LoadCell, 2024-05-03 08:19:18.322988, None
DMM, 2024-05-03 08:19:18.322988, 9.9e+37
LoadCell, 2024-05-03 08:19:18.345534, None
DMM, 2024-05-03 08:19:18.345534, 9.9e+37
LoadCell, 2024-05-03 08:19:18.363476, None
DMM, 2024-05-03 08:19:18.363476, 9.9e+37
LoadCell, 2024-05-03 08:19:18.382413, 3e-05
DMM, 2024-05-03 08:19:18.382413, 9.9e+37
LoadCell, 2024-05-03 08:19:18.403342, None
DMM, 2024-05-03 08:19:18.403342, 9.9e+37
LoadCell, 2024-05-03 08:19:18.425270, None
DMM, 2024-05-03 08:19:18.425270, 9.9e+37
LoadCell, 2024-05-03 08:19:18.442211, None
DMM, 2024-05-03 08:19:18.442211, 9.9e+37
LoadCell, 2024-05-03 08:19:18.463141, None
DMM, 2024-05-03 08:19:18.463141, 9.9e+37
LoadCell, 2024-05-03 08:19:18.490694, 3e-05
DMM, 2024-05-03 08:19:18.490694, 9.9e+37
LoadCell, 2024-05-03 08:19:18.523590, None
DMM, 2024-05-03 08:19:18.523590, 9.9e+37
LoadCell, 2024-05-03 08:19:18.542518, None
DMM, 2024-05-03 08:19:18.542518, 9.9e+37
LoadCell, 2024-05-03 08:19:18.566291, None
DMM, 2024-05-03 08:19:18.566291, 9.9e+37
LoadCell, 2024-05-03 08:19:18.582243, None
DMM, 2024-05-03 08:19:18.582243, 9.9e+37
LoadCell, 2024-05-03 08:19:18.604173, 3e-05
