Sensor, Timestamp, Value
LoadCell, 2024-05-03 08:29:15.240096, None
DMM, 2024-05-03 08:29:15.240096, 97921884.0
LoadCell, 2024-05-03 08:29:15.948666, 0.00033
DMM, 2024-05-03 08:29:15.948666, 95571743.3
LoadCell, 2024-05-03 08:29:15.967296, None
DMM, 2024-05-03 08:29:15.967296, 95322329.5
LoadCell, 2024-05-03 08:29:15.985221, None
DMM, 2024-05-03 08:29:15.985221, 95891110.0
LoadCell, 2024-05-03 08:29:16.006151, None
DMM, 2024-05-03 08:29:16.006151, 96834603.6
LoadCell, 2024-05-03 08:29:16.025272, None
DMM, 2024-05-03 08:29:16.025272, 97537346.9
LoadCell, 2024-05-03 08:29:16.046160, 0.0004
DMM, 2024-05-03 08:29:16.046160, 97618490.2
LoadCell, 2024-05-03 08:29:16.066485, None
DMM, 2024-05-03 08:29:16.066485, 97742945.2
LoadCell, 2024-05-03 08:29:16.086185, None
DMM, 2024-05-03 08:29:16.086185, 96839978.3
LoadCell, 2024-05-03 08:29:16.107452, None
DMM, 2024-05-03 08:29:16.107452, 96092604.7
LoadCell, 2024-05-03 08:29:16.126110, None
DMM, 2024-05-03 08:29:16.126110, 94385002.7
LoadCell, 2024-05-03 08:29:16.146531, 0.00031
DMM, 2024-05-03 08:29:16.146531, 91598868.1
LoadCell, 2024-05-03 08:29:16.166200, None
DMM, 2024-05-03 08:29:16.166200, 86807851.8
LoadCell, 2024-05-03 08:29:16.187137, None
DMM, 2024-05-03 08:29:16.187137, 82699851.2
LoadCell, 2024-05-03 08:29:16.206136, None
DMM, 2024-05-03 08:29:16.206136, 80971376.9
LoadCell, 2024-05-03 08:29:16.225081, None
DMM, 2024-05-03 08:29:16.225081, 80538792.9
LoadCell, 2024-05-03 08:29:16.246018, 0.0003
DMM, 2024-05-03 08:29:16.246018, 81325338.0
LoadCell, 2024-05-03 08:29:16.266277, None
DMM, 2024-05-03 08:29:16.266277, 82904265.8
LoadCell, 2024-05-03 08:29:16.286201, None
DMM, 2024-05-03 08:29:16.286201, 83656310.0
LoadCell, 2024-05-03 08:29:16.306452, None
DMM, 2024-05-03 08:29:16.306452, 83364781.2
LoadCell, 2024-05-03 08:29:16.328047, None
DMM, 2024-05-03 08:29:16.328047, 83109603.6
LoadCell, 2024-05-03 08:29:16.346239, 0.0004
DMM, 2024-05-03 08:29:16.346239, 83173241.3
LoadCell, 2024-05-03 08:29:16.368165, None
DMM, 2024-05-03 08:29:16.368165, 83302814.2
LoadCell, 2024-05-03 08:29:16.386154, None
DMM, 2024-05-03 08:29:16.386154, 83774268.2
LoadCell, 2024-05-03 08:29:16.405511, None
DMM, 2024-05-03 08:29:16.405511, 84388055.0
LoadCell, 2024-05-03 08:29:16.425641, None
DMM, 2024-05-03 08:29:16.425641, 84806830.2
LoadCell, 2024-05-03 08:29:16.446187, 0.00028
DMM, 2024-05-03 08:29:16.446187, 83047467.7
LoadCell, 2024-05-03 08:29:16.465930, None
DMM, 2024-05-03 08:29:16.465930, 81953759.2
LoadCell, 2024-05-03 08:29:16.486222, None
DMM, 2024-05-03 08:29:16.486222, 82432247.2
LoadCell, 2024-05-03 08:29:16.506026, None
DMM, 2024-05-03 08:29:16.506026, 83442430.5
LoadCell, 2024-05-03 08:29:16.526198, None
DMM, 2024-05-03 08:29:16.526198, 84059950.8
LoadCell, 2024-05-03 08:29:16.547594, 0.00036
DMM, 2024-05-03 08:29:16.547594, 83253859.6
LoadCell, 2024-05-03 08:29:16.566448, None
DMM, 2024-05-03 08:29:16.566448, 81747614.4
LoadCell, 2024-05-03 08:29:16.586093, None
DMM, 2024-05-03 08:29:16.586093, 80134740.1
LoadCell, 2024-05-03 08:29:16.606105, None
DMM, 2024-05-03 08:29:16.606105, 79150011.9
LoadCell, 2024-05-03 08:29:16.626429, None
DMM, 2024-05-03 08:29:16.626429, 78740644.5
LoadCell, 2024-05-03 08:29:16.645667, 0.00032
DMM, 2024-05-03 08:29:16.645667, 79677017.7
LoadCell, 2024-05-03 08:29:16.665469, None
DMM, 2024-05-03 08:29:16.665469, 81051628.8
LoadCell, 2024-05-03 08:29:16.686169, None
DMM, 2024-05-03 08:29:16.686169, 81254264.5
LoadCell, 2024-05-03 08:29:16.706114, None
DMM, 2024-05-03 08:29:16.706114, 81191302.9
LoadCell, 2024-05-03 08:29:16.726359, None
DMM, 2024-05-03 08:29:16.726359, 81136895.1
LoadCell, 2024-05-03 08:29:16.746462, 0.00033
DMM, 2024-05-03 08:29:16.746462, 81208356.8
LoadCell, 2024-05-03 08:29:16.766438, None
DMM, 2024-05-03 08:29:16.766438, 80746212.8
LoadCell, 2024-05-03 08:29:16.785299, None
DMM, 2024-05-03 08:29:16.785299, 81090471.4
LoadCell, 2024-05-03 08:29:16.806522, None
DMM, 2024-05-03 08:29:16.806522, 81854091.6
LoadCell, 2024-05-03 08:29:16.826247, None
DMM, 2024-05-03 08:29:16.826247, 82124440.2
LoadCell, 2024-05-03 08:29:16.847509, 0.00037
DMM, 2024-05-03 08:29:16.847509, 82159496.3
LoadCell, 2024-05-03 08:29:16.866349, None
DMM, 2024-05-03 08:29:16.866349, 82000946.3
LoadCell, 2024-05-03 08:29:16.885284, None
DMM, 2024-05-03 08:29:16.885284, 80922926.1
LoadCell, 2024-05-03 08:29:16.905957, None
DMM, 2024-05-03 08:29:16.905957, 80485157.1
LoadCell, 2024-05-03 08:29:16.926119, None
DMM, 2024-05-03 08:29:16.926119, 80680062.8
LoadCell, 2024-05-03 08:29:16.946065, 0.00044
DMM, 2024-05-03 08:29:16.946065, 81194814.4
LoadCell, 2024-05-03 08:29:16.966400, None
DMM, 2024-05-03 08:29:16.966400, 81388715.7
LoadCell, 2024-05-03 08:29:16.987183, None
DMM, 2024-05-03 08:29:16.987183, 80741105.5
LoadCell, 2024-05-03 08:29:17.006134, None
DMM, 2024-05-03 08:29:17.006134, 80271727.5
LoadCell, 2024-05-03 08:29:17.026391, None
DMM, 2024-05-03 08:29:17.026391, 80139528.0
LoadCell, 2024-05-03 08:29:17.046531, 0.00036
DMM, 2024-05-03 08:29:17.046531, 80037530.2
LoadCell, 2024-05-03 08:29:17.066417, None
DMM, 2024-05-03 08:29:17.066417, 80145286.1
LoadCell, 2024-05-03 08:29:17.086066, None
DMM, 2024-05-03 08:29:17.086066, 79889183.1
LoadCell, 2024-05-03 08:29:17.105340, None
DMM, 2024-05-03 08:29:17.105340, 79900175.3
LoadCell, 2024-05-03 08:29:17.125341, None
DMM, 2024-05-03 08:29:17.125341, 80341836.0
LoadCell, 2024-05-03 08:29:17.145346, 0.00036
DMM, 2024-05-03 08:29:17.145346, 80089589.4
LoadCell, 2024-05-03 08:29:17.166406, None
DMM, 2024-05-03 08:29:17.166406, 79713493.9
LoadCell, 2024-05-03 08:29:17.186062, None
DMM, 2024-05-03 08:29:17.186062, 79549473.2
LoadCell, 2024-05-03 08:29:17.207160, None
DMM, 2024-05-03 08:29:17.207160, 79571689.2
LoadCell, 2024-05-03 08:29:17.226092, None
DMM, 2024-05-03 08:29:17.226092, 79847926.8
LoadCell, 2024-05-03 08:29:17.246114, 0.00033
DMM, 2024-05-03 08:29:17.246114, 80364259.7
LoadCell, 2024-05-03 08:29:17.266450, None
DMM, 2024-05-03 08:29:17.266450, 81351096.0
LoadCell, 2024-05-03 08:29:17.286509, None
DMM, 2024-05-03 08:29:17.286509, 83360245.5
LoadCell, 2024-05-03 08:29:17.305433, None
DMM, 2024-05-03 08:29:17.305433, 85071183.4
LoadCell, 2024-05-03 08:29:17.325429, None
DMM, 2024-05-03 08:29:17.325429, 85203805.1
LoadCell, 2024-05-03 08:29:17.345672, 0.00037
DMM, 2024-05-03 08:29:17.345672, 83549564.3
LoadCell, 2024-05-03 08:29:17.366396, None
DMM, 2024-05-03 08:29:17.366396, 82114540.9
LoadCell, 2024-05-03 08:29:17.385983, None
DMM, 2024-05-03 08:29:17.385983, 81646127.4
LoadCell, 2024-05-03 08:29:17.405952, None
DMM, 2024-05-03 08:29:17.405952, 81176395.2
LoadCell, 2024-05-03 08:29:17.428507, None
DMM, 2024-05-03 08:29:17.428507, 78866958.6
LoadCell, 2024-05-03 08:29:17.446334, 0.00035
DMM, 2024-05-03 08:29:17.446334, 79051035.6
LoadCell, 2024-05-03 08:29:17.466102, None
DMM, 2024-05-03 08:29:17.466102, 81523850.3
LoadCell, 2024-05-03 08:29:17.486036, None
DMM, 2024-05-03 08:29:17.486036, 82675348.5
LoadCell, 2024-05-03 08:29:17.507449, None
DMM, 2024-05-03 08:29:17.507449, 81458519.5
LoadCell, 2024-05-03 08:29:17.525568, None
DMM, 2024-05-03 08:29:17.525568, 79850358.8
LoadCell, 2024-05-03 08:29:17.546160, 0.00042
DMM, 2024-05-03 08:29:17.546160, 78159946.9
LoadCell, 2024-05-03 08:29:17.565844, None
DMM, 2024-05-03 08:29:17.565844, 78810786.7
LoadCell, 2024-05-03 08:29:17.585748, None
DMM, 2024-05-03 08:29:17.585748, 80428592.7
LoadCell, 2024-05-03 08:29:17.606167, None
DMM, 2024-05-03 08:29:17.606167, 82523626.6
LoadCell, 2024-05-03 08:29:17.626093, None
DMM, 2024-05-03 08:29:17.626093, 84652784.2
LoadCell, 2024-05-03 08:29:17.647023, 0.00026
DMM, 2024-05-03 08:29:17.647023, 85602751.1
LoadCell, 2024-05-03 08:29:17.665959, None
DMM, 2024-05-03 08:29:17.665959, 87204952.3
LoadCell, 2024-05-03 08:29:17.686893, None
DMM, 2024-05-03 08:29:17.686893, 88056873.7
LoadCell, 2024-05-03 08:29:17.706635, None
DMM, 2024-05-03 08:29:17.706635, 88620419.4
LoadCell, 2024-05-03 08:29:17.727049, None
DMM, 2024-05-03 08:29:17.727049, 88661336.9
LoadCell, 2024-05-03 08:29:17.746072, 0.0003
DMM, 2024-05-03 08:29:17.746072, 88570631.0
LoadCell, 2024-05-03 08:29:17.766364, None
DMM, 2024-05-03 08:29:17.766364, 88585661.7
LoadCell, 2024-05-03 08:29:17.785417, None
DMM, 2024-05-03 08:29:17.785417, 88529306.0
LoadCell, 2024-05-03 08:29:17.805428, None
DMM, 2024-05-03 08:29:17.805428, 88323009.8
LoadCell, 2024-05-03 08:29:17.826167, None
DMM, 2024-05-03 08:29:17.826167, 87384989.9
LoadCell, 2024-05-03 08:29:17.846250, 0.00039
DMM, 2024-05-03 08:29:17.846250, 86749443.8
LoadCell, 2024-05-03 08:29:17.868293, None
DMM, 2024-05-03 08:29:17.868293, 86239592.1
LoadCell, 2024-05-03 08:29:17.886155, None
DMM, 2024-05-03 08:29:17.886155, 85681929.1
LoadCell, 2024-05-03 08:29:17.905527, None
DMM, 2024-05-03 08:29:17.905527, 85610551.3
LoadCell, 2024-05-03 08:29:17.925798, None
DMM, 2024-05-03 08:29:17.925798, 86301526.3
LoadCell, 2024-05-03 08:29:17.945918, 0.00036
DMM, 2024-05-03 08:29:17.945918, 87686807.9
LoadCell, 2024-05-03 08:29:17.966262, None
DMM, 2024-05-03 08:29:17.966262, 88050500.8
LoadCell, 2024-05-03 08:29:17.985314, None
DMM, 2024-05-03 08:29:17.985314, 87048526.3
LoadCell, 2024-05-03 08:29:18.005481, None
DMM, 2024-05-03 08:29:18.005481, 87214373.0
LoadCell, 2024-05-03 08:29:18.025639, None
DMM, 2024-05-03 08:29:18.025639, 87798255.0
LoadCell, 2024-05-03 08:29:18.045997, 0.00036
DMM, 2024-05-03 08:29:18.045997, 87709694.1
LoadCell, 2024-05-03 08:29:18.066344, None
DMM, 2024-05-03 08:29:18.066344, 86670788.7
LoadCell, 2024-05-03 08:29:18.087998, None
DMM, 2024-05-03 08:29:18.087998, 85577989.0
LoadCell, 2024-05-03 08:29:18.105404, None
DMM, 2024-05-03 08:29:18.105404, 85682284.7
LoadCell, 2024-05-03 08:29:18.126470, None
DMM, 2024-05-03 08:29:18.126470, 84835779.2
LoadCell, 2024-05-03 08:29:18.145635, 0.00033
DMM, 2024-05-03 08:29:18.145635, 80332639.3
LoadCell, 2024-05-03 08:29:18.167492, None
DMM, 2024-05-03 08:29:18.167492, 78099067.7
LoadCell, 2024-05-03 08:29:18.186221, None
DMM, 2024-05-03 08:29:18.186221, 78459262.3
LoadCell, 2024-05-03 08:29:18.205586, None
DMM, 2024-05-03 08:29:18.205586, 79385459.6
LoadCell, 2024-05-03 08:29:18.225792, None
DMM, 2024-05-03 08:29:18.225792, 81360106.1
LoadCell, 2024-05-03 08:29:18.246367, 0.00033
DMM, 2024-05-03 08:29:18.246367, 82730718.6
LoadCell, 2024-05-03 08:29:18.267375, None
DMM, 2024-05-03 08:29:18.267375, 83268145.1
LoadCell, 2024-05-03 08:29:18.286091, None
DMM, 2024-05-03 08:29:18.286091, 83617504.7
LoadCell, 2024-05-03 08:29:18.309046, None
DMM, 2024-05-03 08:29:18.309046, 84345088.8
LoadCell, 2024-05-03 08:29:18.326091, None
DMM, 2024-05-03 08:29:18.326091, 85263672.3
