Force (lbf),Resistance (Ohms),Expected Resistance (Ohms),Percent Error (%)
6.61789,2969.2454,3069.51872,-3.27
6.63058,3050.08478,3064.31822,-0.46
6.61775,3100.36471,3069.5762,1
6.63555,3151.37395,3062.28657,2.91
6.61483,3205.67341,3070.77556,4.39
6.61295,3144.75423,3071.54828,2.38
6.61554,3204.06186,3070.48384,4.35
6.62405,3123.99154,3066.99194,1.86
6.63232,3160.1169,3063.60662,3.15
6.61325,3085.08442,3071.42494,0.44
6.64577,3124.15644,3058.11782,2.16
6.62494,3211.81981,3066.62724,4.73
6.62266,3079.47612,3067.56172,0.39
6.6229,3076.74623,3067.46333,0.3
6.64741,3049.10399,3057.44998,-0.27
6.63358,3141.73286,3063.09153,2.57
6.64416,3059.98675,3058.77374,0.04
6.63978,3223.08191,3060.55968,5.31
6.62825,3127.44128,3065.27168,2.03
6.63881,3163.5982,3060.9555,3.35
6.62243,3097.57534,3067.65602,0.98
6.63589,3273.48302,3062.14769,6.9
6.65449,3072.46008,3054.57046,0.59
6.64351,3032.91446,3059.03863,-0.85
6.62758,3119.452,3065.54596,1.76
6.63308,3116.9859,3063.29591,1.75
6.62168,3098.39058,3067.96357,0.99
6.61749,3169.54836,3069.68295,3.25
6.63058,3150.10757,3064.31822,2.8
6.63308,3036.21376,3063.29591,-0.88
6.6276,3121.69345,3065.53777,1.83
6.62145,3038.68177,3068.0579,-0.96
6.65784,3024.28275,3053.20998,-0.95
6.63367,2966.33892,3063.05475,-3.16
6.63816,2959.03012,3061.2208,-3.34
6.63408,3098.09009,3062.88719,1.15
6.64747,3156.09021,3057.42556,3.23
6.62497,3073.89588,3066.61495,0.24
6.61957,3149.97846,3068.82916,2.64
6.63844,3131.6412,3061.10651,2.3
6.62954,3076.76334,3064.74372,0.39
6.62948,3068.64049,3064.76827,0.13
6.62271,3020.39424,3067.54122,-1.54
6.62424,3081.87381,3066.91408,0.49
6.63215,2938.86947,3063.67613,-4.07
6.63126,2993.31023,3064.04008,-2.31
6.62494,3016.0602,3066.62724,-1.65
6.62486,2954.87869,3066.66002,-3.65
6.61143,2887.78955,3072.17333,-6
6.61959,2988.80583,3068.82096,-2.61
6.61901,3026.68522,3069.05898,-1.38
6.62092,2980.05746,3068.27529,-2.88
6.62148,2963.91804,3068.0456,-3.39
6.61511,2993.63153,3070.66051,-2.51
6.63422,2925.66685,3062.82997,-4.48
6.61926,3060.20656,3068.95638,-0.29
6.61918,2868.05643,3068.98921,-6.55
6.61318,3080.15339,3071.45372,0.28
6.61848,2881.54027,3069.27652,-6.12
6.61183,2981.21888,3072.00882,-2.96
6.61705,3112.97279,3069.86363,1.4
6.61985,3137.27974,3068.71427,2.23
6.61588,3017.29541,3070.34417,-1.73
6.61721,3158.2871,3069.79793,2.88
6.61189,3187.45829,3071.98414,3.76
6.61921,2918.51674,3068.9769,-4.9
6.62341,2881.50162,3067.25426,-6.06
6.61988,2917.07103,3068.70196,-4.94
6.61469,3189.55876,3070.83309,3.87
6.61499,3034.8563,3070.70982,-1.17
6.61387,3086.02268,3071.17009,0.48
6.61008,2984.2344,3072.7287,-2.88
6.61146,3043.02362,3072.16099,-0.95
6.61658,2954.08132,3070.05665,-3.78
6.61405,2984.21128,3071.0961,-2.83
6.62681,1766785.84,3065.86125,57527.72
6.61748,3079.56229,3069.68706,0.32
6.61005,3064.50419,3072.74105,-0.27
6.60983,3027.15045,3072.83157,-1.49
6.6173,3108.86243,3069.76097,1.27
6.60789,3079.52665,3073.63009,0.19
6.61051,3047.83719,3072.55178,-0.8
6.60696,2803.9163,3074.01305,-8.79
6.61227,2992.31987,3071.82787,-2.59
6.61319,2993.54706,3071.44961,-2.54
6.62202,2995.53052,3067.82414,-2.36
6.6183,3025.00099,3069.35041,-1.44
6.615,3085.09252,3070.70571,0.47
6.60974,3022.37267,3072.86861,-1.64
6.61553,3019.74913,3070.48795,-1.65
6.61438,2975.51141,3070.96048,-3.11
6.61889,2045125.6,3069.10823,66535.83
6.61227,3091.404,3071.82787,0.64
6.62737,2957.64592,3065.63194,-3.52
6.60711,3117.39766,3073.95127,1.41
6.60823,3061.31557,3073.49012,-0.4
6.61239,2943.47463,3071.77853,-4.18
6.6092,3031.69984,3073.09084,-1.35
6.63046,2938.48332,3064.36731,-4.11
6.6065,3068.4093,3074.2025,-0.19
