Force (lbf),Resistance (Ohms),Expected Resistance (Ohms),Percent Error (%)
8.5123,2798.62461,2615.97629,6.98
8.5147,2668.25825,2615.24406,2.03
8.5167,2504.02659,2614.63418,-4.23
8.523,2614.53807,2612.71493,0.07
8.5202,2609.22853,2613.56758,-0.17
8.5287,2637.23413,2610.9809,1.01
8.5222,2536.3941,2612.95849,-2.93
8.523,2672.6254,2612.71493,2.29
8.528,2643.60054,2611.19373,1.24
8.5175,2767.48206,2614.39031,5.86
8.5181,2646.95345,2614.20744,1.25
8.5208,2776.35721,2613.38482,6.24
8.5152,2677.49356,2615.09156,2.39
8.5152,2609.22647,2615.09156,-0.22
8.5142,2822.37826,2615.39657,7.91
8.5138,2503.84404,2615.5186,-4.27
8.5172,2549.26522,2614.48176,-2.49
8.5156,2727.9042,2614.96958,4.32
8.5155,2702.7062,2615.00007,3.35
8.5151,2669.7173,2615.12206,2.09
8.5159,2650.00437,2614.8781,1.34
8.5148,2666.35283,2615.21356,1.96
8.5166,2710.94853,2614.66467,3.68
8.5359,2594.82276,2608.79385,-0.54
8.517,2534.7004,2614.54272,-3.05
8.5176,2647.35106,2614.35983,1.26
8.5223,2586.06322,2612.92804,-1.03
8.5273,2741.10596,2611.40659,4.97
8.5194,2595.96572,2613.8113,-0.68
8.5327,2546.7878,2609.76542,-2.41
8.5166,2545.99247,2614.66467,-2.63
8.5195,2494.09023,2613.78083,-4.58
8.5188,2439.8959,2613.99412,-6.66
8.5174,2554.58476,2614.42079,-2.29
8.5164,2516.15582,2614.72564,-3.77
8.5165,2517.29832,2614.69516,-3.72
8.5173,2494.90369,2614.45127,-4.57
8.5168,2625.78734,2614.60369,0.43
8.5267,2508.01904,2611.58907,-3.97
8.5129,2638.35033,2615.79319,0.86
8.5103,2477.7279,2616.58679,-5.31
8.514,2465.25649,2615.45758,-5.74
8.5128,2722.68489,2615.82371,4.09
8.5122,2420.29801,2616.00681,-7.48
8.5147,2544.01313,2615.24406,-2.72
8.5133,2587.98071,2615.67114,-1.06
8.517,2572.61906,2614.54272,-1.6
8.5108,2467.31687,2616.43414,-5.7
8.5102,2385.66853,2616.61733,-8.83
8.5105,2645.72671,2616.52573,1.12
8.5097,2600.35576,2616.77,-0.63
8.5121,2484.14317,2616.03733,-5.04
8.5098,2508.67666,2616.73946,-4.13
8.5109,2560.95002,2616.40361,-2.12
8.5112,2460.35616,2616.31203,-5.96
8.5102,2500.8409,2616.61733,-4.42
8.5115,2524.73997,2616.22046,-3.5
8.5174,2463.47357,2614.42079,-5.77
8.5106,2571.34089,2616.4952,-1.73
8.514,2404.88535,2615.45758,-8.05
8.5178,2396.66119,2614.29887,-8.32
8.5149,2555.19116,2615.18306,-2.29
8.5151,2453.27792,2615.12206,-6.19
8.5166,2633.40845,2614.66467,0.72
8.5344,2498.42101,2609.24918,-4.25
8.5141,2580.50722,2615.42708,-1.34
8.5183,2539.87284,2614.14648,-2.84
8.519,2552.33785,2613.93317,-2.36
8.5152,2659.47216,2615.09156,1.7
8.5105,2518.60928,2616.52573,-3.74
8.5112,2594.6331,2616.31203,-0.83
8.5151,2554.549,2615.12206,-2.32
8.5144,2551.68647,2615.33556,-2.43
8.5188,2557.39221,2613.99412,-2.17
