Load (lbf),Resistance (Ohms)
4.0015,5630.58322
4.009,5597.55913
4.016,5617.91112
4.026,5586.75386
4.0298,5700.76782
4.036,5632.58469
4.0409,5411.13299
4.0424,5528.34331
4.0446,5591.64321
4.0489,5575.37682
4.0558,5539.42926
4.062,5549.1556
4.0659,5614.30738
4.0721,5558.35581
4.0753,5542.10055
4.0767,5483.23072
4.079,5573.61722
4.0827,5502.46208
4.0899,5518.7949
4.0961,5437.34579
4.1002,5508.85213
4.1041,5424.92345
4.1119,5279.12388
4.1163,5295.66756
4.1224,5444.93776
4.1301,5528.25045
4.1354,5355.25988
4.1428,5534.50553
4.1498,5470.67672
4.153,5354.66175
4.1578,5336.84719
4.1653,5426.52794
4.1696,5369.06932
4.177,5286.76654
4.1862,5398.69565
4.1944,5357.34192
4.2061,5232.5522
4.2172,5270.89728
4.2288,5383.04119
4.2393,5216.03046
4.244,5371.26155
4.2472,5263.75098
4.2513,5281.9893
4.2569,5260.86421
4.2599,5159.60189
4.264,5246.69215
4.2704,5274.11476
4.2749,5342.13204
4.279,5308.19508
4.2854,5346.92797
4.2919,5301.80646
4.3002,5218.66574
4.3099,5274.54148
4.3109,5218.20092
4.3116,5201.69622
4.3123,5280.7182
4.3136,5315.34814
4.3162,5128.8204
4.3198,5254.56603
4.3242,5092.17993
4.328,5108.57931
4.336,5085.17295
4.347,5147.18786
4.3611,5085.72246
4.3699,5205.14546
4.3778,5171.86723
4.3839,5098.86332
4.3891,5201.86404
4.3947,5256.09487
4.398,5240.16654
4.4008,5112.85775
4.408,5320.41213
4.418,5062.97844
4.4248,5083.68706
4.4308,5029.38698
4.4362,5118.80261
4.4418,5055.95767
4.4477,5073.10329
4.4514,5112.89492
4.4537,4972.35607
4.458,5124.3851
4.4598,5002.63163
4.4631,5024.61155
4.4659,5114.73081
4.47,5127.71231
4.4767,5005.2026
4.481,4978.65238
4.4844,5103.25981
4.4862,5159.0149
4.4906,4998.53237
4.4969,5141.32326
4.5026,5016.60701
4.5088,5079.63415
4.5159,4944.04659
4.5206,5068.21071
4.5267,4944.30314
4.5391,4990.41379
4.5468,4946.93535
4.5554,4939.13066
4.5601,5067.36762
4.5676,4895.70809
4.5755,4865.93469
4.5797,4897.96715
4.5834,5017.53139
4.5874,4894.33472
4.5926,5074.65832
4.5973,4925.82756
4.6039,4841.05913
4.612,4730.24396
4.6161,4888.05971
4.6235,4883.89018
4.6299,4762.11652
4.6343,4981.03184
4.6386,4906.29401
4.6446,4795.8542
4.6481,4827.18462
4.6546,4786.28679
4.6611,4813.50414
4.6678,4870.04315
4.674,4908.5915
4.6824,4879.48654
4.6873,4719.39277
4.6958,4780.68903
4.703,4846.13263
4.7088,4771.52969
4.7315,4796.99668
4.7341,4883.89365
4.7382,4606.63027
4.7413,4719.94685
4.7448,4829.5575
4.7492,4847.92219
4.7551,4655.32364
4.7588,4668.76158
4.7606,4743.42529
4.7637,4598.37247
4.7678,4761.45216
4.7693,4733.40813
4.7717,4637.04197
4.7759,4758.25274
4.787,4661.1086
4.7985,4607.2639
4.8067,4713.55591
4.8087,4649.4727
4.8135,4669.91344
4.818,4713.61416
4.825,4622.0148
4.8296,4640.60063
4.8333,4457.7871
4.8348,4734.64019
4.8366,4595.61198
4.8393,4661.56844
4.8427,4483.70198
4.8544,4629.08024
4.8739,4532.8855
4.8936,4566.97502
4.903,4515.93804
4.9111,4568.64185
4.9199,4438.01872
4.93,4578.94908
4.9577,4612.74204
4.9602,4400.39302
4.9612,4501.66841
4.9618,4387.23828
4.9628,4471.96301
4.9651,4533.53135
4.9669,4497.63608
4.9668,4540.0316
4.9666,4672.52911
4.9667,4595.34646
4.9669,4388.32812
4.9671,4466.81851
4.9675,4478.53308
4.9684,4487.76002
4.9695,4502.46435
4.9708,4453.16602
4.9721,4566.86685
4.9733,4530.91795
4.9746,4598.41041
4.9761,4454.6813
4.9771,4552.59139
4.9776,4520.76052
4.9783,4416.11266
4.9793,4449.81235
4.9819,4458.33552
4.9855,4486.98525
4.9907,4643.95386
4.9952,4444.60411
4.9974,4427.59084
5.0014,4497.5375
5.0076,4429.00556
5.0158,4497.99086
5.0229,4420.56456
5.0304,4452.78846
5.0362,4433.80463
5.0392,4410.78972
5.0421,4575.81858
5.0475,4412.85206
