Load (lbf),Resistance (Ohms)
4.0035,5073.69053
4.0116,5216.49164
4.017,5079.69785
4.0234,5172.58959
4.0279,5128.9526
4.0322,4991.25937
4.0375,5073.4146
4.0423,5047.13562
4.0474,5102.96599
4.054,5070.12345
4.058,4800.01666
4.0613,5061.74036
4.0667,5048.87297
4.0704,5106.70069
4.0711,5058.76727
4.0723,5022.15833
4.0749,5057.38847
4.0796,5035.72414
4.0849,5088.65381
4.0893,5024.64687
4.0941,5064.10765
4.099,5074.41415
4.1026,4989.44498
4.1087,5079.8798
4.1158,5014.78067
4.119,4941.23503
4.1229,4950.12438
4.1291,4901.02128
4.1326,4993.78619
4.1355,4880.014
4.1398,4974.01842
4.1446,5042.77833
4.1484,4863.08959
4.1526,4987.89404
4.1594,4826.03749
4.1647,4931.5699
4.1703,4784.98064
4.1772,4878.26568
4.183,4994.74783
4.1916,4848.04509
4.1976,4769.54335
4.205,4816.04873
4.2137,4869.0777
4.2226,4763.17628
4.2307,4747.37307
4.2383,4742.69883
4.25,4696.44929
4.2633,4761.19315
4.2741,4828.33034
4.2795,4818.47903
4.2872,4772.79677
4.2928,4851.98904
4.2983,4778.21423
4.3031,4842.4035
4.3073,4805.15197
4.3117,4719.57827
4.3166,4611.58857
4.3203,4813.6331
4.3235,4635.18902
4.328,4661.12954
4.3323,4569.99544
4.3342,4585.74248
4.3367,4520.05604
4.3398,4641.46833
4.3468,4636.04455
4.3503,4659.56228
4.3596,4714.58457
4.3697,4628.05801
4.3734,4718.23675
4.381,4767.24757
4.3903,4535.88913
4.3948,4655.21074
4.3977,4681.21439
4.4014,4604.58096
4.4125,4634.99954
4.4444,4679.08483
4.4631,4611.14589
4.4738,4608.63995
4.4828,4579.79956
4.4891,4486.53368
4.4917,4489.899
4.4956,4499.91124
4.4987,4579.82969
4.5022,4489.48553
4.5046,4452.6272
4.5064,4509.18308
4.507,4427.55187
4.5074,4555.55683
4.508,4595.507
4.5125,4618.45773
4.5185,4429.64958
4.5224,4454.98363
