Load (lbf),Resistance (Ohms)
0.001,5790692.12
0.001,5817378.86
0.001,5750963.4
0.001,5718496.76
0.001,5755670.22
0.0011,5783950.83
0.0012,5782707.29
0.0011,5748899.94
0.001,5782004.81
0.0011,5716034.16
0.0011,5662824.07
0.0011,5654830.07
0.0011,5808745.93
0.0011,5778648.1
0.0011,5799438.79
0.0012,5762271.18
0.0011,5712275.82
0.0012,5747906.17
0.0011,5768860.93
0.0012,5728181.35
0.0011,5736777.36
0.0012,5706989.47
0.0011,5703121.7
0.0011,5704639.64
0.0011,5621641.87
0.0011,5706895.93
0.0011,5731195.62
0.0011,5686557.55
0.0011,5689336.29
0.0012,5688658.95
0.0011,5717130.01
0.001,5794162.07
0.0011,5808051.83
0.0012,5856646.41
0.001,5814945.51
0.0011,5772487.15
0.0011,5771787.66
0.0012,5826959.43
0.001,5807101.02
0.001,5791613.14
0.0009,5783873.34
0.0008,5720275.59
0.0007,5683823.41
0.0005,5696498.27
0.0006,5615276.93
0.0003,5634562.0
0.0003,5624912.29
0.0003,5588670.18
0.0003,5613637.53
0.0005,5665731.44
0.0004,5638780.76
0.0005,5726862.97
0.0004,5816825.98
0.0,5855219.37
0.0,5876363.28
0.0001,5837540.23
0.0,5848351.36
0.0003,5904540.55
0.0002,5834554.36
0.0001,5810231.69
0.0,5813007.58
0.0001,5889959.87
0.0001,5832353.2
0.0002,5835486.58
0.0002,5818656.98
0.0004,5832457.36
0.0002,5823696.52
0.0,5808373.44
0.0003,5862780.76
0.0003,5800981.75
0.0004,5785033.37
0.0007,5820205.88
0.0008,5781924.55
0.0007,5811178.17
0.0008,5816746.79
0.0007,5778382.95
0.001,5872435.25
0.0008,5898696.68
0.0009,5914600.99
0.0008,5897378.28
0.001,5906979.82
0.0007,5913832.38
0.0009,5857041.18
0.0008,5899018.02
0.0009,5857993.81
0.0012,5746427.05
0.0012,5787232.17
0.0013,5782087.83
0.0015,5855573.99
0.0016,5911779.43
0.0016,5891796.85
0.0014,5910198.52
0.0014,5881285.23
0.0016,5938969.57
0.0019,5976280.66
0.0019,5992479.84
0.0021,6035041.08
0.0021,6093447.0
0.002,6041753.51
0.002,5980829.42
0.0024,4597916.77
0.0027,4567401.05
0.0053,6319465.41
0.0081,5595500.15
0.0192,646458.279
0.0516,34018.5653
0.366,2915564.21
0.6132,75061.5285
0.3432,414517.145
0.4255,91568.3688
0.3117,121860.331
0.4046,114535.739
0.4264,108233.35
0.4306,103731.365
0.439,102198.451
0.4428,98278.4791
0.4478,97249.0296
0.4529,93557.9219
0.4615,92383.7758
0.4648,91743.7417
0.4679,90776.5974
0.4729,89040.6223
0.4793,88608.2313
0.4845,87159.9196
0.4909,86667.8519
0.4967,85190.1564
0.4987,84165.5433
0.5052,83130.7479
0.5128,81296.4377
0.5183,80543.7572
0.5228,78956.7315
0.528,77455.0694
0.5353,76485.0909
0.5425,75697.8387
0.5474,73840.5353
0.5524,73675.8465
0.5587,73040.2589
0.5649,72545.0096
0.5702,71016.5683
0.5763,70213.0693
0.5817,68583.8472
0.5861,67506.0216
0.593,66564.5602
0.5988,66138.7349
0.6095,65481.5737
0.6123,63917.7024
0.6145,63640.2848
0.6161,62223.9916
0.622,61505.2835
0.6266,60799.8281
0.6295,60461.5568
0.6384,59020.004
0.6464,58769.3665
0.651,58112.5181
0.6551,57183.9408
0.6616,56074.1285
0.6684,55680.4277
0.672,54796.1112
0.6787,53500.8527
0.6856,52085.0914
0.6926,51763.2168
0.6981,50904.7166
0.7031,50063.5421
0.7075,48853.7477
0.714,48445.3365
0.7206,48251.9557
0.7257,47175.3617
0.7311,46740.0332
0.7389,46463.4976
0.7456,46264.9867
0.7486,45928.0614
0.753,45478.3522
0.7592,45071.6636
0.763,43940.5011
0.7692,42874.0759
0.7768,42234.7751
0.7831,42031.6549
0.7892,41753.9774
0.7942,41490.4021
0.7985,41294.6048
0.8043,40993.9056
0.8106,40370.6517
0.8148,40012.8033
0.8218,39712.5983
0.8299,39381.9775
0.8339,39341.9902
0.8372,39028.0082
0.8413,38698.4231
0.8484,38192.7537
0.8561,37844.6799
0.861,37277.5359
0.8662,36657.7073
0.8724,36355.2656
0.8774,36211.037
0.8822,35587.6554
0.8884,35307.6017
0.8953,34950.5801
0.9001,34751.458
0.9055,34366.5778
0.9116,33896.1818
0.9158,33496.4343
0.9233,33095.0283
0.9289,32594.6923
0.9338,32184.4648
0.9389,31685.6739
0.9462,31016.8108
0.9519,30768.9642
0.9563,30207.2122
0.963,29955.7876
0.9673,29698.5851
0.9745,29479.6686
0.9793,29354.6227
0.9823,29032.8072
0.9877,28837.0557
0.9958,28579.4112
1.0043,28540.506
1.0099,28283.3257
1.0145,27961.803
1.0223,27784.2872
1.0252,27396.2226
1.0317,27124.8142
1.0365,26993.4332
1.0443,26705.6373
1.049,26579.5389
1.055,26502.0688
1.0588,26068.6555
1.0653,25811.3769
1.0697,25599.3359
1.0782,25420.2734
1.0832,25272.218
1.0899,25182.361
1.096,24832.2494
1.1021,24934.1599
1.106,24800.6509
1.1117,24551.2701
1.1156,24206.5095
1.1224,24027.0152
1.1257,23681.6289
1.1353,23637.8692
1.1404,23294.999
1.1472,23199.6061
1.1506,22874.8256
1.1581,22752.4037
1.1626,22520.1116
1.1677,22435.9512
1.1711,22295.015
1.1768,22404.2415
1.1834,22117.4906
1.1901,22008.13
1.1946,22017.0298
1.1975,21955.502
1.2002,21341.4452
1.2204,21110.8132
1.2336,20980.8899
1.2348,20854.7495
1.2354,20911.7767
1.2368,20866.9417
1.2392,20737.2388
1.2403,20574.9931
1.2423,20492.0258
1.2459,20429.5568
1.2531,20584.17
1.2571,20375.0931
1.2657,20276.9729
1.2711,20079.4706
1.2793,19761.1528
1.2881,19519.5611
1.2952,19449.0649
1.3019,19467.2678
1.3054,19458.6212
1.3074,19309.9538
1.3138,19149.3075
1.3205,18973.5282
1.3248,18754.2407
1.3286,18692.4817
1.3327,18629.6879
1.3391,18622.6745
1.3413,18412.4172
1.3493,18271.0297
1.3584,18070.4319
1.3672,18055.7338
1.3705,17995.6639
1.3718,17886.3291
1.3768,17893.4726
1.3821,17788.5288
1.391,17654.3624
1.3964,17366.4104
1.4038,17539.9415
1.4082,17266.718
1.4141,17286.819
1.419,17158.2154
1.4328,17044.0543
1.4348,16702.3297
1.4395,16854.5269
1.4427,16710.4725
1.4463,16932.1151
1.4534,16635.3047
1.4576,16609.1255
1.4644,16651.3401
1.4702,16408.4946
1.4767,16509.5586
1.4835,16396.6735
1.4908,16405.418
1.4954,16277.502
1.5022,16163.3631
1.5057,16021.5561
1.509,16143.9268
1.5165,16056.5883
1.5201,15930.3309
1.5249,15901.4599
1.5313,16014.6185
1.5358,15855.1998
1.5451,15739.8839
1.5493,15671.282
1.5573,15533.7782
1.5627,15491.1142
1.5689,15638.8483
1.577,15483.2948
1.5852,15436.0816
1.5888,15377.3862
1.592,15347.9668
1.5946,15439.5506
1.597,15285.3154
1.6016,15107.9485
1.6093,15033.5672
1.6172,14919.2982
1.6276,14893.1533
1.6358,14858.8134
1.6387,14732.5292
1.6461,14790.7678
1.65,14666.1243
1.6539,14498.7355
1.6601,14709.6884
1.663,14524.0127
1.6677,14392.2682
1.6741,14344.6119
1.6765,14252.9036
1.6822,14209.573
1.6882,14303.5724
1.6934,14034.2173
1.7018,13944.0788
1.7082,14001.502
1.7151,14005.2656
1.7206,13899.1668
1.7272,13948.2066
1.7303,13830.749
1.7371,13688.824
1.7424,13595.0095
1.7512,13560.1986
1.758,13414.9435
1.7642,13394.0289
1.7666,13281.8514
1.7682,13400.3393
1.7727,13243.9971
1.7792,13279.4683
1.7839,13176.6349
1.7939,13143.4533
1.7996,12993.9496
1.8077,13018.761
1.8141,12906.8119
1.819,12859.9187
1.8219,12817.1385
1.8259,12805.3109
1.8332,12697.6574
1.8387,12839.9763
1.845,12637.1182
1.8483,12600.7583
1.8531,12555.0241
1.8576,12587.7274
1.8576,12470.2218
1.8581,12470.4469
1.862,12351.6232
1.8719,12302.8713
1.8823,12207.4147
1.894,12284.4055
1.9013,12058.0592
1.9084,12097.4402
1.9138,11973.215
1.9178,11998.7088
1.926,11966.6222
1.9314,11912.6089
1.9395,11795.6268
1.9412,11700.4439
1.9445,11674.8055
1.9495,11745.5832
1.9543,11668.6637
1.9586,11607.8291
1.9666,11671.7963
1.9728,11563.1284
1.9808,11626.561
1.9849,11405.3618
1.9928,11291.2167
1.9975,11422.1015
2.0041,11302.2832
2.0096,11315.0926
2.0165,11167.6718
2.023,11144.6408
2.0287,11178.8154
2.0337,11111.4442
2.0354,10927.2234
2.0389,10956.8442
