Load (lbf),Resistance (Ohms)
0.0044,1289784.93
0.0043,1288930.59
0.0043,1290899.72
0.0043,1288936.57
0.0043,1287468.0
0.0043,1286580.87
0.0044,1287364.68
0.0043,1287061.26
0.0043,1290113.51
0.0043,1288067.49
0.0044,1289260.37
0.0043,1292380.07
0.0043,1290927.99
0.0043,1287923.72
0.0043,1287503.07
0.0043,1287822.14
0.0043,1289112.83
0.0044,1286258.11
0.0043,1284442.95
0.0044,1286490.98
0.0043,1284281.99
0.0043,1290646.51
0.0043,1288819.0
0.0043,1283575.28
0.0043,1286567.08
0.0044,1288096.33
0.0044,1288743.61
0.0043,1288004.95
0.0043,1286503.5
0.0044,1288409.06
0.0044,1289599.86
0.0043,1287360.09
0.0043,1291048.71
0.0043,1286248.87
0.0044,1285081.04
0.0043,1284078.89
0.0043,1282833.15
0.0042,1278172.71
0.0041,1281665.92
0.0042,1281291.99
0.0042,1278647.98
0.0042,1280353.7
0.0042,1278544.37
0.0042,1282234.66
0.004,1282097.41
0.0042,1282479.31
0.0041,1282588.74
0.0041,1282984.97
0.0041,1276993.13
0.0041,1275105.38
0.0039,1279310.26
0.004,1277104.89
0.004,1274409.2
0.0039,1278306.3
0.0038,1269265.16
0.0037,1269988.6
0.0038,1270815.95
0.0038,1271278.92
0.0038,1267360.18
0.0037,1268839.49
0.0037,1266382.73
0.0036,1265833.5
0.0036,1266220.25
0.0036,1260698.13
0.0035,1264256.89
0.0034,1265511.68
0.0035,1262382.91
0.0033,1263003.51
0.0033,1263278.12
0.0033,1261407.62
0.0033,1260846.35
0.0033,1257281.28
0.0032,1253815.0
0.0031,1251466.8
0.0031,1237250.65
0.0025,1279749.53
0.0021,1133138.77
0.0017,1157421.75
0.0013,1248314.98
0.0008,1698739.4
0.0004,1275554.5
0.0002,1150610.5
0.0006,1261587.84
0.0013,1277710.09
0.0058,1641985.19
0.0108,2056065.27
0.0162,2346608.38
0.0221,2082167.59
0.0305,277162.693
0.232,283786.974
0.3402,252358.539
0.3367,229924.131
0.3516,236326.836
0.3596,225739.535
0.3676,221072.532
0.3683,208662.515
0.3721,205054.368
0.3806,213251.89
0.3869,204548.338
0.3917,207226.965
0.3986,204489.067
0.4045,198557.55
0.409,185044.076
0.4175,184660.489
0.4227,183603.884
0.4242,174395.262
0.4301,174157.814
0.4354,173314.919
0.4397,166748.72
0.4439,159105.071
0.4532,153332.377
0.4604,152880.276
0.463,151418.086
0.4676,149330.757
0.4743,142786.315
0.4841,135658.185
0.4888,134317.88
0.491,130590.787
0.4994,129716.822
0.5076,126237.587
0.5128,125277.948
0.515,124827.838
0.5192,125770.773
0.5222,124498.645
0.5253,123181.717
0.5336,120716.21
0.5429,119739.571
0.5504,119654.218
0.5526,118363.812
0.5586,116768.053
0.5623,115565.097
0.5705,113299.477
0.5786,113067.676
0.5815,110300.935
0.5873,107564.144
0.5927,106431.415
0.5982,104696.222
0.6052,103134.176
0.6087,102485.628
0.6165,101166.382
0.6196,97704.3778
0.6261,95670.7278
0.6331,93829.6916
0.6397,93511.1769
0.6452,93091.3712
0.6496,91592.077
0.6567,91847.6194
0.6608,90578.2466
0.668,89356.8109
0.673,87897.2501
0.679,87269.5421
0.6811,86718.4818
0.6872,85076.3817
0.6941,82190.9279
0.7078,81395.4492
0.7137,80324.2853
0.7162,79154.7867
0.7187,79445.9344
0.7195,79304.4731
0.7198,78879.9215
0.7213,78823.6317
0.727,78722.9415
0.7298,78411.6697
0.7312,77182.0732
0.738,75352.5436
0.7432,74555.3926
0.7489,73876.2514
0.7537,72134.5446
0.7631,69422.6155
0.7696,67364.9081
0.7776,66275.111
0.7841,65116.1755
0.7906,64657.1854
0.7956,64014.5235
0.7983,63562.0716
0.8016,63145.5694
0.8109,62426.1133
0.8186,61896.2452
0.8281,60675.0429
0.8381,60115.5849
0.8457,59742.4917
0.8459,59110.7632
0.8486,58469.661
0.8541,58178.2406
0.8564,58388.7653
0.858,57716.7586
0.8661,57519.4567
0.8728,56716.1874
0.8789,56251.1735
0.8809,54763.1753
0.8924,53335.231
0.8988,52966.4616
0.9038,52667.3154
0.9078,50961.6031
0.9172,50034.7329
0.9304,50049.9667
0.9341,49748.9825
0.9387,49026.3102
0.9409,48925.466
0.9428,48402.6146
0.9438,47517.1588
0.949,47261.0866
0.963,46674.3808
