Load (lbf),Resistance (Ohms)
0.0015,1895712.76
0.0016,1908070.32
0.0015,1918250.58
0.0015,1919580.3
0.0016,1918571.26
0.0016,1910890.03
0.0016,1915348.28
0.0015,1903111.12
0.0016,1911893.37
0.0015,1906542.15
0.0016,1908066.87
0.0016,1904821.05
0.0016,1920600.24
0.0017,1903907.02
0.0016,1878056.27
0.0016,1877550.02
0.0015,1876116.93
0.0017,1878248.62
0.0016,1879685.59
0.0016,1875532.7
0.0016,1899796.22
0.0016,1925215.06
0.0016,1921565.31
0.0016,1911399.96
0.0016,1931225.67
0.0016,1920442.38
0.0017,1919177.38
0.0017,1921067.5
0.0017,1916608.41
0.0016,1885410.85
0.0016,1890796.74
0.0016,1875012.9
0.0017,1874001.09
0.0017,1880174.14
0.0017,1878812.78
0.0017,1888969.22
0.0016,1881791.08
0.0017,1883211.86
0.0016,1878197.09
0.0016,1896417.32
0.0017,1891650.81
0.0017,1932387.16
0.0016,1943581.97
0.0017,1926939.01
0.0017,1939980.14
0.0017,1949462.19
0.0018,1948309.07
0.0017,1938602.46
0.0017,1950346.66
0.0017,1930990.09
0.0016,1919334.49
0.0017,1938808.91
0.0017,1932060.49
0.0016,1939609.43
0.0017,1927327.18
0.0017,1966678.35
0.0017,1964756.98
0.0018,1990043.23
0.0018,1986408.86
0.0017,1997189.16
0.0017,1996667.1
0.0017,2006382.04
0.0017,1986745.57
0.0018,1994034.25
0.0018,1977947.33
0.0017,1975060.39
0.0018,1980654.58
0.0017,1981965.12
0.0018,1976721.66
0.0017,1966848.55
0.0018,1951924.98
0.0017,1955537.01
0.0017,1957391.2
0.0017,1980140.87
0.0018,1964567.58
0.0017,1967414.61
0.0019,1976944.55
0.003,1984518.09
0.0029,1993498.94
0.003,1977227.25
0.0031,1980867.57
0.003,1995851.09
0.003,2011664.63
0.0031,1999294.3
0.003,1965354.68
0.003,1936288.23
0.0029,1905087.55
0.0029,1915577.05
0.003,1931124.12
0.003,1945704.51
0.003,1956672.31
0.003,1996300.58
0.0029,2004467.19
0.0029,1986768.72
0.0028,1992277.27
0.0025,2010558.16
0.0026,1998577.72
0.0021,2013372.56
0.0021,2008558.24
0.0012,2000293.59
0.0011,1998735.04
0.0013,2015758.72
0.0011,2005607.2
0.0012,2009263.22
0.0013,2005375.34
0.0021,2072838.06
0.0023,2090536.13
0.0021,2113542.62
0.0023,2132215.41
0.0021,2133883.18
0.0022,2126945.33
0.0021,2125873.11
0.0022,2122890.99
0.0021,2123503.57
0.002,2129618.68
0.002,2127474.0
0.0019,2114338.15
0.002,2101553.24
0.0021,2109495.13
0.0018,2112408.33
0.002,2118581.57
0.0019,2105465.62
0.0018,2110543.7
0.0019,2115957.46
0.002,2137425.03
0.0019,2110266.61
0.0019,2094981.27
0.0019,2106236.7
0.0019,2043509.53
0.0019,2013135.68
0.002,1987421.46
0.0019,1977431.8
0.002,1957626.69
0.002,1975784.56
0.0019,1957230.12
0.002,1968376.13
0.0019,1953233.0
