Load (lbf),Resistance (Ohms)
0.0028,1034682.57
0.0028,1035969.29
0.0028,1036468.07
0.0028,1037049.97
0.0028,1040664.68
0.0029,1040778.24
0.0028,1041033.86
0.0028,1040527.19
0.0029,1042575.68
0.0028,1041484.98
0.0029,1041820.87
0.0028,1043832.76
0.0028,1041836.86
0.0028,1046521.36
0.0028,1046646.98
0.0029,1037153.36
0.0028,1036629.33
0.0029,1039489.8
0.0028,1036052.78
0.0029,1038490.54
0.0029,1041530.34
0.0028,1043701.76
0.0028,1045153.62
0.0028,1041607.74
0.0029,1046577.91
0.0028,1045216.8
0.0029,1042068.29
0.0028,1039765.4
0.0028,1030810.23
0.0028,1042877.82
0.0028,1049398.54
0.0028,1048425.55
0.0027,1047663.38
0.0028,1047374.76
0.0028,1047024.18
0.0028,1039751.41
0.0029,1052343.85
0.0029,1052682.71
0.0028,1050774.85
0.0028,1054021.44
0.0027,1050806.24
0.0028,1048731.86
0.0028,1052440.48
0.0028,1054049.75
0.0028,1054948.32
0.0028,1055789.24
0.0028,1055121.81
0.0029,1052574.3
0.0028,1053000.93
0.0029,1032902.38
0.0028,1054052.85
0.0028,1054577.42
0.0027,1059078.13
0.0028,1062880.25
0.0028,1071188.15
0.0029,1072908.48
0.0028,1073445.62
0.0028,1074509.59
0.0028,1073500.33
0.0028,1075783.48
0.0028,1062635.99
0.0028,1066792.18
0.0027,1064447.54
0.0028,1064374.27
0.0027,1063599.1
0.0027,1062683.48
0.0028,1059870.75
0.0028,1051436.57
0.0027,1063433.49
0.0028,1064064.67
0.0028,1067087.25
0.0027,1064796.38
0.0028,1065144.22
0.0028,1067452.98
0.0027,1071217.03
0.0027,1064201.4
0.0027,1067656.65
0.0028,1074201.33
0.0027,1071555.47
0.0026,1069638.02
0.0028,1074856.04
0.0028,1071732.03
0.0028,1065632.77
0.0027,1066995.54
0.0029,1061663.98
0.0027,1062731.42
0.0027,1063490.38
0.0027,1064493.3
0.0026,1062710.92
0.0024,1059386.93
0.0025,1061769.41
0.0023,1057227.37
0.0021,1056338.61
0.0021,1055923.85
0.0019,1145606.07
0.0002,1155692.06
0.0027,1556928.29
0.0205,317381.34
0.6927,183783.332
0.625,267081.133
1.1584,737005.822
0.9845,245648.039
0.9948,73835.2876
1.157,52169.1275
1.3093,48711.1634
1.0848,43022.2516
1.1763,39088.2846
1.2549,36267.9373
1.3169,33735.9534
1.3793,32207.4455
1.427,29247.2811
1.5011,28883.7138
1.5576,27823.3773
1.5822,26451.3318
1.6404,25327.0288
1.7083,23776.3298
1.7617,22561.4664
1.8258,21565.7533
1.8821,20725.8473
1.9298,19998.1769
1.9953,18938.7866
2.0438,18135.7015
2.1034,17301.1101
2.1657,16840.8221
2.2113,16352.1343
2.2629,16005.449
2.3248,15529.8623
2.3842,15247.0699
2.4264,14795.2557
2.491,14490.254
2.5408,14173.0867
2.5945,13658.4871
2.6604,13459.3707
2.7124,13078.6039
2.7618,12824.6075
2.8237,12515.1308
2.8767,12080.6132
2.9344,11856.8334
3.0012,11703.9147
3.037,11293.1338
3.0994,11046.8477
3.1716,10830.7726
3.2105,10612.2109
3.2747,10502.1908
3.3309,10411.2329
3.3701,10342.8946
3.4215,9994.6932
3.4815,9931.04417
3.5468,9600.41637
3.5985,9420.17467
3.6483,9120.77023
3.7354,9032.66733
3.7628,8960.27785
3.8188,8689.93769
3.8722,8586.71452
3.9466,8449.40578
4.0155,8246.81995
4.064,8331.94853
4.0872,8066.43909
4.1417,7935.45953
4.1996,7765.64797
4.248,7657.58881
4.3164,7445.93706
4.3748,7357.43786
4.4324,7490.05145
4.4877,7219.61587
4.5399,7118.05508
4.5899,7137.94537
4.6519,6879.8607
4.7103,6791.39581
4.755,6603.86059
4.823,6660.17462
4.8751,6418.60373
4.9269,6279.05569
4.9714,6292.67395
5.0395,6138.97805
5.0996,6172.21493
5.1513,6079.55931
5.2095,5921.99809
5.2702,5871.99698
5.3151,5843.23464
5.3774,5853.23529
5.4286,5632.09751
5.4928,5714.14799
5.5428,5491.42744
5.5911,5427.89058
5.647,5601.26117
5.6963,5261.0089
5.781,5294.84022
5.8121,5209.27609
5.8547,5116.24224
5.9304,5241.4932
5.9796,5096.37135
6.0373,5118.4044
6.0867,4942.42266
6.1585,4935.6844
6.2243,4913.59799
6.2727,4847.08634
6.3131,4912.52464
6.371,4686.53303
6.4431,4687.37825
6.5081,4798.59107
6.5713,4629.39953
6.6021,4767.61266
6.6447,4594.02278
6.7031,4432.70151
6.761,4334.87352
6.819,4364.31023
6.8958,4331.09531
6.9309,4271.87411
6.9955,4252.52859
7.0434,4331.22497
7.1125,4154.13479
7.1462,4193.01759
7.195,4106.18633
7.2741,4199.24485
7.3192,4023.96163
7.3851,3975.02292
7.4318,3897.82921
7.4808,3829.29716
7.5386,3825.86487
7.5926,3797.13278
7.6572,3747.30489
7.7167,3786.33314
7.7966,3864.89952
7.8312,3746.97936
7.8781,3745.01681
7.9184,3713.64718
8.0018,3551.34299
8.0592,3605.04423
8.0853,3601.55669
8.1849,3456.52047
8.2322,3544.4353
8.2862,3514.62484
8.3209,3489.14356
8.3641,3382.10433
8.4184,3466.56381
8.488,3481.25918
8.5084,3451.84746
8.5245,3444.1435
8.524,3477.91218
8.5231,3290.40421
8.5208,3243.53013
8.518,3351.46971
8.5156,3461.58512
8.5136,3341.16845
8.5119,3338.78201
8.5104,3396.55965
8.5089,884607.246
0.1434,1071581.3
0.0017,1530441.78
0.002,1640050.32
0.0021,1418682.45
0.0021,1758881.27
0.0022,1826843.97
