Sensor, Timestamp, Value
LoadCell, 2024-05-10 16:57:16.563359, None
DMM, 2024-05-10 16:57:16.563359, 4014562.26
LoadCell, 2024-05-10 16:57:17.246026, 0.0012
DMM, 2024-05-10 16:57:17.246026, 4083371.91
LoadCell, 2024-05-10 16:57:17.288483, None
DMM, 2024-05-10 16:57:17.288483, 4063394.1
LoadCell, 2024-05-10 16:57:17.305671, None
DMM, 2024-05-10 16:57:17.305671, 4051775.9
LoadCell, 2024-05-10 16:57:17.324522, None
DMM, 2024-05-10 16:57:17.324522, 4063317.45
LoadCell, 2024-05-10 16:57:17.347801, None
DMM, 2024-05-10 16:57:17.347801, 4075135.32
LoadCell, 2024-05-10 16:57:17.368049, 0.0012
DMM, 2024-05-10 16:57:17.368049, 4095088.56
LoadCell, 2024-05-10 16:57:17.386586, None
DMM, 2024-05-10 16:57:17.386586, 4113058.63
LoadCell, 2024-05-10 16:57:17.403108, None
DMM, 2024-05-10 16:57:17.403108, 4093478.45
LoadCell, 2024-05-10 16:57:17.430858, None
DMM, 2024-05-10 16:57:17.430858, 4097109.25
LoadCell, 2024-05-10 16:57:17.448625, None
DMM, 2024-05-10 16:57:17.448625, 4122647.08
LoadCell, 2024-05-10 16:57:17.467896, 0.0012
DMM, 2024-05-10 16:57:17.467896, 4150825.93
LoadCell, 2024-05-10 16:57:17.486130, None
DMM, 2024-05-10 16:57:17.486130, 4134281.21
LoadCell, 2024-05-10 16:57:17.502400, None
DMM, 2024-05-10 16:57:17.502400, 4098609.27
LoadCell, 2024-05-10 16:57:17.524627, None
DMM, 2024-05-10 16:57:17.524627, 4097456.78
LoadCell, 2024-05-10 16:57:17.547844, None
DMM, 2024-05-10 16:57:17.547844, 4108567.37
LoadCell, 2024-05-10 16:57:17.567326, 0.0012
DMM, 2024-05-10 16:57:17.567326, 4101487.16
LoadCell, 2024-05-10 16:57:17.586433, None
DMM, 2024-05-10 16:57:17.586433, 4062820.68
LoadCell, 2024-05-10 16:57:17.602876, None
DMM, 2024-05-10 16:57:17.602876, 4081929.78
LoadCell, 2024-05-10 16:57:17.619952, None
DMM, 2024-05-10 16:57:17.619952, 4093054.12
LoadCell, 2024-05-10 16:57:17.651190, None
DMM, 2024-05-10 16:57:17.651190, 4070134.04
LoadCell, 2024-05-10 16:57:17.667474, 0.0012
DMM, 2024-05-10 16:57:17.667474, 4097428.01
LoadCell, 2024-05-10 16:57:17.686343, None
DMM, 2024-05-10 16:57:17.686343, 4112988.22
LoadCell, 2024-05-10 16:57:17.704783, None
DMM, 2024-05-10 16:57:17.704783, 4114544.92
LoadCell, 2024-05-10 16:57:17.719725, None
DMM, 2024-05-10 16:57:17.719725, 4116616.24
LoadCell, 2024-05-10 16:57:17.748253, None
DMM, 2024-05-10 16:57:17.748253, 4132899.58
LoadCell, 2024-05-10 16:57:17.767766, 0.0013
DMM, 2024-05-10 16:57:17.767766, 4132197.87
LoadCell, 2024-05-10 16:57:17.787303, None
DMM, 2024-05-10 16:57:17.787303, 4129978.25
LoadCell, 2024-05-10 16:57:17.803947, None
DMM, 2024-05-10 16:57:17.803947, 4127809.22
LoadCell, 2024-05-10 16:57:17.820659, None
DMM, 2024-05-10 16:57:17.820659, 4167922.8
LoadCell, 2024-05-10 16:57:17.847926, None
DMM, 2024-05-10 16:57:17.847926, 4197689.2
LoadCell, 2024-05-10 16:57:17.868825, 0.0012
DMM, 2024-05-10 16:57:17.868825, 4200737.26
LoadCell, 2024-05-10 16:57:17.886067, None
DMM, 2024-05-10 16:57:17.886067, 4194612.08
LoadCell, 2024-05-10 16:57:17.902682, None
DMM, 2024-05-10 16:57:17.902682, 4200993.33
LoadCell, 2024-05-10 16:57:17.926766, None
DMM, 2024-05-10 16:57:17.926766, 4224415.35
LoadCell, 2024-05-10 16:57:17.947970, None
DMM, 2024-05-10 16:57:17.947970, 4227893.06
LoadCell, 2024-05-10 16:57:17.967816, 0.0012
DMM, 2024-05-10 16:57:17.967816, 4227562.65
LoadCell, 2024-05-10 16:57:17.987255, None
DMM, 2024-05-10 16:57:17.987255, 4235785.37
LoadCell, 2024-05-10 16:57:18.002772, None
DMM, 2024-05-10 16:57:18.002772, 4231781.77
LoadCell, 2024-05-10 16:57:18.014023, None
DMM, 2024-05-10 16:57:18.014023, 4228512.73
LoadCell, 2024-05-10 16:57:18.047603, None
DMM, 2024-05-10 16:57:18.047603, 4204152.81
LoadCell, 2024-05-10 16:57:18.064358, 0.0012
DMM, 2024-05-10 16:57:18.064358, 4185965.59
LoadCell, 2024-05-10 16:57:18.086423, None
DMM, 2024-05-10 16:57:18.086423, 4187748.72
LoadCell, 2024-05-10 16:57:18.102084, None
DMM, 2024-05-10 16:57:18.102084, 4159879.3
LoadCell, 2024-05-10 16:57:18.119728, None
DMM, 2024-05-10 16:57:18.119728, 4113229.7
LoadCell, 2024-05-10 16:57:18.148823, None
DMM, 2024-05-10 16:57:18.148823, 4031083.17
LoadCell, 2024-05-10 16:57:18.167719, 0.0012
DMM, 2024-05-10 16:57:18.167719, 4031653.82
LoadCell, 2024-05-10 16:57:18.187825, None
DMM, 2024-05-10 16:57:18.187825, 4010199.38
LoadCell, 2024-05-10 16:57:18.202947, None
DMM, 2024-05-10 16:57:18.202947, 4034274.72
LoadCell, 2024-05-10 16:57:18.223153, None
DMM, 2024-05-10 16:57:18.223153, 4047102.19
LoadCell, 2024-05-10 16:57:18.249283, None
DMM, 2024-05-10 16:57:18.249283, 4030726.04
LoadCell, 2024-05-10 16:57:18.267637, 0.0012
DMM, 2024-05-10 16:57:18.267637, 4024778.01
LoadCell, 2024-05-10 16:57:18.286315, None
DMM, 2024-05-10 16:57:18.286315, 3999400.63
