Sensor, Timestamp, Value
LoadCell, 2024-05-06 20:45:02.805724, None
DMM, 2024-05-06 20:45:02.805724, 2433794.95
LoadCell, 2024-05-06 20:45:03.492747, 0.0
DMM, 2024-05-06 20:45:03.492747, 2423389.46
LoadCell, 2024-05-06 20:45:03.509852, None
DMM, 2024-05-06 20:45:03.509852, 2420616.72
LoadCell, 2024-05-06 20:45:03.530563, None
DMM, 2024-05-06 20:45:03.530563, 2420806.03
LoadCell, 2024-05-06 20:45:03.550174, None
DMM, 2024-05-06 20:45:03.550174, 2419700.49
LoadCell, 2024-05-06 20:45:03.573337, None
DMM, 2024-05-06 20:45:03.573337, 2424001.21
LoadCell, 2024-05-06 20:45:03.590319, 0.0001
DMM, 2024-05-06 20:45:03.590319, 2434112.84
LoadCell, 2024-05-06 20:45:03.610982, None
DMM, 2024-05-06 20:45:03.610982, 2437661.41
LoadCell, 2024-05-06 20:45:03.630458, None
DMM, 2024-05-06 20:45:03.630458, 2435533.08
LoadCell, 2024-05-06 20:45:03.644310, None
DMM, 2024-05-06 20:45:03.644310, 2428056.75
LoadCell, 2024-05-06 20:45:03.672826, None
DMM, 2024-05-06 20:45:03.672826, 2430910.32
LoadCell, 2024-05-06 20:45:03.690898, 0.0
DMM, 2024-05-06 20:45:03.690898, 2433846.09
LoadCell, 2024-05-06 20:45:03.710053, None
DMM, 2024-05-06 20:45:03.710053, 2434367.45
LoadCell, 2024-05-06 20:45:03.730735, None
DMM, 2024-05-06 20:45:03.730735, 2435883.35
LoadCell, 2024-05-06 20:45:03.750328, None
DMM, 2024-05-06 20:45:03.750328, 2437011.22
LoadCell, 2024-05-06 20:45:03.770970, None
DMM, 2024-05-06 20:45:03.770970, 2441303.77
LoadCell, 2024-05-06 20:45:03.792530, 0.0
DMM, 2024-05-06 20:45:03.792530, 2440945.5
LoadCell, 2024-05-06 20:45:03.810086, None
DMM, 2024-05-06 20:45:03.810086, 2431903.47
LoadCell, 2024-05-06 20:45:03.830466, None
DMM, 2024-05-06 20:45:03.830466, 2433477.19
LoadCell, 2024-05-06 20:45:03.850226, None
DMM, 2024-05-06 20:45:03.850226, 2426797.47
LoadCell, 2024-05-06 20:45:03.870531, None
DMM, 2024-05-06 20:45:03.870531, 2417656.87
LoadCell, 2024-05-06 20:45:03.892187, 0.0001
DMM, 2024-05-06 20:45:03.892187, 2416734.52
LoadCell, 2024-05-06 20:45:03.910694, None
DMM, 2024-05-06 20:45:03.910694, 2417145.9
LoadCell, 2024-05-06 20:45:03.930969, None
DMM, 2024-05-06 20:45:03.930969, 2391771.1
LoadCell, 2024-05-06 20:45:03.945155, None
DMM, 2024-05-06 20:45:03.945155, 2198480.2
LoadCell, 2024-05-06 20:45:03.970441, None
DMM, 2024-05-06 20:45:03.970441, 2351575.74
LoadCell, 2024-05-06 20:45:03.991186, 0.0001
DMM, 2024-05-06 20:45:03.991186, 2475129.6
LoadCell, 2024-05-06 20:45:04.012216, None
DMM, 2024-05-06 20:45:04.012216, 2446649.53
LoadCell, 2024-05-06 20:45:04.030146, None
DMM, 2024-05-06 20:45:04.030146, 2446686.11
LoadCell, 2024-05-06 20:45:04.049145, None
DMM, 2024-05-06 20:45:04.049145, 2426044.49
LoadCell, 2024-05-06 20:45:04.064715, None
DMM, 2024-05-06 20:45:04.064715, 2403245.38
LoadCell, 2024-05-06 20:45:04.091187, 0.0
DMM, 2024-05-06 20:45:04.091187, 2429186.16
LoadCell, 2024-05-06 20:45:04.112896, None
DMM, 2024-05-06 20:45:04.112896, 2428778.34
LoadCell, 2024-05-06 20:45:04.130590, None
DMM, 2024-05-06 20:45:04.130590, 2398014.27
LoadCell, 2024-05-06 20:45:04.150641, None
DMM, 2024-05-06 20:45:04.150641, 2353638.95
LoadCell, 2024-05-06 20:45:04.170385, None
DMM, 2024-05-06 20:45:04.170385, 2322284.74
LoadCell, 2024-05-06 20:45:04.190861, 0.0
DMM, 2024-05-06 20:45:04.190861, 2338199.75
LoadCell, 2024-05-06 20:45:04.209856, None
DMM, 2024-05-06 20:45:04.209856, 2343560.61
LoadCell, 2024-05-06 20:45:04.222493, None
DMM, 2024-05-06 20:45:04.222493, 2317002.83
LoadCell, 2024-05-06 20:45:04.250510, None
DMM, 2024-05-06 20:45:04.250510, 2305704.21
LoadCell, 2024-05-06 20:45:04.262025, None
DMM, 2024-05-06 20:45:04.262025, 2276768.19
LoadCell, 2024-05-06 20:45:04.290146, 0.0
DMM, 2024-05-06 20:45:04.290146, 2320060.34
LoadCell, 2024-05-06 20:45:04.309727, None
DMM, 2024-05-06 20:45:04.309727, 2312161.94
LoadCell, 2024-05-06 20:45:04.332072, None
DMM, 2024-05-06 20:45:04.332072, 2258739.57
LoadCell, 2024-05-06 20:45:04.350532, None
DMM, 2024-05-06 20:45:04.350532, 2238778.98
LoadCell, 2024-05-06 20:45:04.370572, None
DMM, 2024-05-06 20:45:04.370572, 2243238.89
LoadCell, 2024-05-06 20:45:04.390612, 0.0
DMM, 2024-05-06 20:45:04.390612, 2262106.82
LoadCell, 2024-05-06 20:45:04.410894, None
DMM, 2024-05-06 20:45:04.410894, 2244158.0
LoadCell, 2024-05-06 20:45:04.430526, None
DMM, 2024-05-06 20:45:04.430526, 2158606.2
LoadCell, 2024-05-06 20:45:04.444404, None
DMM, 2024-05-06 20:45:04.444404, 2052895.81
LoadCell, 2024-05-06 20:45:04.470717, None
DMM, 2024-05-06 20:45:04.470717, 2041691.55
LoadCell, 2024-05-06 20:45:04.491327, 0.0001
DMM, 2024-05-06 20:45:04.491327, 2028526.25
LoadCell, 2024-05-06 20:45:04.510344, None
DMM, 2024-05-06 20:45:04.510344, 2035990.6
LoadCell, 2024-05-06 20:45:04.530122, None
DMM, 2024-05-06 20:45:04.530122, 2048948.44
LoadCell, 2024-05-06 20:45:04.539504, None
DMM, 2024-05-06 20:45:04.539504, 2061132.66
LoadCell, 2024-05-06 20:45:04.570973, None
DMM, 2024-05-06 20:45:04.570973, 2097899.35
LoadCell, 2024-05-06 20:45:04.590354, 0.0001
DMM, 2024-05-06 20:45:04.590354, 2131808.49
LoadCell, 2024-05-06 20:45:04.610891, None
DMM, 2024-05-06 20:45:04.610891, 2096799.96
LoadCell, 2024-05-06 20:45:04.623270, None
DMM, 2024-05-06 20:45:04.623270, 2066096.98
LoadCell, 2024-05-06 20:45:04.650274, None
DMM, 2024-05-06 20:45:04.650274, 2081353.12
LoadCell, 2024-05-06 20:45:04.673195, None
DMM, 2024-05-06 20:45:04.673195, 2078403.77
LoadCell, 2024-05-06 20:45:04.689846, 0.0001
DMM, 2024-05-06 20:45:04.689846, 2074751.3
LoadCell, 2024-05-06 20:45:04.709810, None
DMM, 2024-05-06 20:45:04.709810, 2087890.11
LoadCell, 2024-05-06 20:45:04.726665, None
DMM, 2024-05-06 20:45:04.726665, 2088472.75
LoadCell, 2024-05-06 20:45:04.750248, None
DMM, 2024-05-06 20:45:04.750248, 2082669.19
LoadCell, 2024-05-06 20:45:04.772844, None
DMM, 2024-05-06 20:45:04.772844, 2061616.43
LoadCell, 2024-05-06 20:45:04.790702, 0.0001
DMM, 2024-05-06 20:45:04.790702, 2043225.11
LoadCell, 2024-05-06 20:45:04.810932, None
DMM, 2024-05-06 20:45:04.810932, 2033509.77
LoadCell, 2024-05-06 20:45:04.830298, None
DMM, 2024-05-06 20:45:04.830298, 2030177.37
LoadCell, 2024-05-06 20:45:04.850544, None
DMM, 2024-05-06 20:45:04.850544, 2060757.65
LoadCell, 2024-05-06 20:45:04.861970, None
DMM, 2024-05-06 20:45:04.861970, 2129629.38
LoadCell, 2024-05-06 20:45:04.891850, 0.0
DMM, 2024-05-06 20:45:04.891850, 2156584.98
LoadCell, 2024-05-06 20:45:04.910220, None
DMM, 2024-05-06 20:45:04.910220, 2188184.73
LoadCell, 2024-05-06 20:45:04.930085, None
DMM, 2024-05-06 20:45:04.930085, 2215661.22
LoadCell, 2024-05-06 20:45:04.944268, None
DMM, 2024-05-06 20:45:04.944268, 2224102.83
LoadCell, 2024-05-06 20:45:04.960959, None
DMM, 2024-05-06 20:45:04.960959, 2219180.28
LoadCell, 2024-05-06 20:45:04.992186, 0.0
DMM, 2024-05-06 20:45:04.992186, 2152315.46
LoadCell, 2024-05-06 20:45:05.009838, None
DMM, 2024-05-06 20:45:05.009838, 2146074.15
LoadCell, 2024-05-06 20:45:05.030098, None
DMM, 2024-05-06 20:45:05.030098, 2158270.22
LoadCell, 2024-05-06 20:45:05.044292, None
DMM, 2024-05-06 20:45:05.044292, 2132433.18
LoadCell, 2024-05-06 20:45:05.060944, None
DMM, 2024-05-06 20:45:05.060944, 2115498.57
LoadCell, 2024-05-06 20:45:05.090489, 0.0
DMM, 2024-05-06 20:45:05.090489, 2178565.13
LoadCell, 2024-05-06 20:45:05.112740, None
DMM, 2024-05-06 20:45:05.112740, 2215190.91
LoadCell, 2024-05-06 20:45:05.129968, None
DMM, 2024-05-06 20:45:05.129968, 2200705.09
LoadCell, 2024-05-06 20:45:05.144203, None
DMM, 2024-05-06 20:45:05.144203, 2226783.88
LoadCell, 2024-05-06 20:45:05.160778, None
DMM, 2024-05-06 20:45:05.160778, 2226524.29
LoadCell, 2024-05-06 20:45:05.190563, 0.0001
DMM, 2024-05-06 20:45:05.190563, 2220790.69
LoadCell, 2024-05-06 20:45:05.211588, None
DMM, 2024-05-06 20:45:05.211588, 2191243.48
LoadCell, 2024-05-06 20:45:05.230022, None
DMM, 2024-05-06 20:45:05.230022, 2166650.05
LoadCell, 2024-05-06 20:45:05.244820, None
DMM, 2024-05-06 20:45:05.244820, 2172226.7
LoadCell, 2024-05-06 20:45:05.261959, None
DMM, 2024-05-06 20:45:05.261959, 2129383.78
LoadCell, 2024-05-06 20:45:05.290870, 0.0
DMM, 2024-05-06 20:45:05.290870, 1967600.25
LoadCell, 2024-05-06 20:45:05.309675, None
DMM, 2024-05-06 20:45:05.309675, 1888541.39
LoadCell, 2024-05-06 20:45:05.332445, None
DMM, 2024-05-06 20:45:05.332445, 1868739.86
LoadCell, 2024-05-06 20:45:05.344383, None
DMM, 2024-05-06 20:45:05.344383, 1873389.69
LoadCell, 2024-05-06 20:45:05.370247, None
DMM, 2024-05-06 20:45:05.370247, 1918016.15
LoadCell, 2024-05-06 20:45:05.391346, 0.0001
DMM, 2024-05-06 20:45:05.391346, 1967600.92
LoadCell, 2024-05-06 20:45:05.410063, None
DMM, 2024-05-06 20:45:05.410063, 1948044.08
LoadCell, 2024-05-06 20:45:05.431791, None
DMM, 2024-05-06 20:45:05.431791, 1966324.8
LoadCell, 2024-05-06 20:45:05.444317, None
DMM, 2024-05-06 20:45:05.444317, 1963890.47
LoadCell, 2024-05-06 20:45:05.470582, None
DMM, 2024-05-06 20:45:05.470582, 1941776.78
LoadCell, 2024-05-06 20:45:05.491458, 0.0001
DMM, 2024-05-06 20:45:05.491458, 1973238.94
LoadCell, 2024-05-06 20:45:05.511341, None
DMM, 2024-05-06 20:45:05.511341, 1962490.65
LoadCell, 2024-05-06 20:45:05.530155, None
DMM, 2024-05-06 20:45:05.530155, 1902724.45
LoadCell, 2024-05-06 20:45:05.544062, None
DMM, 2024-05-06 20:45:05.544062, 1863180.45
LoadCell, 2024-05-06 20:45:05.555503, None
DMM, 2024-05-06 20:45:05.555503, 1878988.31
LoadCell, 2024-05-06 20:45:05.591030, 0.0
DMM, 2024-05-06 20:45:05.591030, 1948971.64
LoadCell, 2024-05-06 20:45:05.609719, None
DMM, 2024-05-06 20:45:05.609719, 1986361.51
LoadCell, 2024-05-06 20:45:05.630044, None
DMM, 2024-05-06 20:45:05.630044, 2006708.1
LoadCell, 2024-05-06 20:45:05.644231, None
DMM, 2024-05-06 20:45:05.644231, 2017830.66
LoadCell, 2024-05-06 20:45:05.670897, None
DMM, 2024-05-06 20:45:05.670897, 2034532.45
LoadCell, 2024-05-06 20:45:05.690568, 0.0
DMM, 2024-05-06 20:45:05.690568, 2040482.6
LoadCell, 2024-05-06 20:45:05.709922, None
DMM, 2024-05-06 20:45:05.709922, 2045161.78
LoadCell, 2024-05-06 20:45:05.730504, None
DMM, 2024-05-06 20:45:05.730504, 2047551.23
LoadCell, 2024-05-06 20:45:05.743874, None
DMM, 2024-05-06 20:45:05.743874, 2057788.1
LoadCell, 2024-05-06 20:45:05.772401, None
DMM, 2024-05-06 20:45:05.772401, 2036581.24
LoadCell, 2024-05-06 20:45:05.790434, 0.0001
DMM, 2024-05-06 20:45:05.790434, 2013343.54
