Force (lbf),Resistance (Ohms),Expected Resistance (Ohms),Percent Error (%)
8.5386,3214.28236,3055.48652,5.2
8.5172,3370.66988,3063.85228,10.01
8.5333,3243.0655,3057.55433,6.07
8.525,3084.70516,3060.79799,0.78
8.5341,3202.27963,3057.24203,4.74
8.5164,3359.84676,3064.16587,9.65
8.5228,3159.1096,3061.65887,3.18
8.5278,3278.00418,3059.70301,7.13
8.5348,3310.33202,3056.96883,8.29
8.5246,3264.17089,3060.95448,6.64
8.5234,3164.46253,3061.42404,3.37
8.5265,3238.54437,3060.2113,5.83
8.5172,3163.09742,3063.85228,3.24
8.5214,3070.17431,3062.20694,0.26
8.5161,3023.96813,3064.28348,-1.32
8.5183,3082.72563,3063.42119,0.63
8.5184,2978.96329,3063.38201,-2.76
8.5229,3170.81222,3061.61973,3.57
8.5238,3128.8373,3061.2675,2.21
8.5309,3091.26971,3058.49158,1.07
8.5253,3106.44419,3060.68064,1.5
8.5373,3147.06911,3055.99347,2.98
8.5328,2955.01425,3057.74954,-3.36
8.5271,3206.59764,3059.97668,4.79
8.5215,3145.45429,3062.16778,2.72
8.5292,3137.82606,3059.1558,2.57
8.5355,2970.10106,3056.69567,-2.83
8.5334,3115.49977,3057.51529,1.9
8.5348,3107.89777,3056.96883,1.67
8.5499,2931.07824,3051.08674,-3.93
8.5476,3172.8104,3051.98128,3.96
8.5338,3337.79542,3057.35914,9.17
8.5404,3051.12717,3054.78485,-0.12
8.5258,2924.69331,3060.48506,-4.44
8.5263,3124.66128,3060.28951,2.1
8.5227,2979.45034,3061.69801,-2.69
8.5231,2989.69486,3061.54145,-2.35
8.5258,3034.1145,3060.48506,-0.86
8.5364,2970.45822,3056.34453,-2.81
8.5387,3059.39135,3055.44753,0.13
8.5328,2944.25413,3057.74954,-3.71
8.5281,3008.05851,3059.58573,-1.68
8.5375,3021.82101,3055.91547,-1.12
8.5339,2899.721,3057.3201,-5.15
8.5297,2951.69926,3058.96041,-3.51
8.5299,2951.08962,3058.88226,-3.52
8.5273,2859.7682,3059.89849,-6.54
8.5459,2922.35431,3052.64279,-4.27
8.5501,2948.06144,3051.00897,-3.37
8.5422,2930.66242,3054.0835,-4.04
8.5259,2935.82449,3060.44595,-4.07
8.5221,2900.70611,3061.93288,-5.27
8.5264,2797.28376,3060.25041,-8.59
8.5208,3069.99985,3062.44188,0.25
8.5349,2923.3003,3056.9298,-4.37
8.5269,2913.8773,3060.05489,-4.78
8.5368,3069.95131,3056.18849,0.45
8.5384,2870.90846,3055.5645,-6.04
8.5286,2895.83491,3059.39029,-5.35
8.5291,2908.31702,3059.19488,-4.93
8.5292,2929.84252,3059.1558,-4.23
8.5247,2796.5349,3060.91536,-8.64
8.5286,2787.08238,3059.39029,-8.9
8.5244,2999.8737,3061.03273,-2.0
8.5257,3020.73871,3060.52418,-1.3
8.5284,3082.66501,3059.46847,0.76
8.5385,2855.92821,3055.52551,-6.53
8.5327,3028.9386,3057.78859,-0.94
8.532,3013.02111,3058.06194,-1.47
8.536,3040.59303,3056.50058,-0.52
8.5198,2941.06461,3062.83353,-3.98
8.5291,2970.43704,3059.19488,-2.9
8.537,2697.87326,3056.11048,-11.72
8.5306,2944.29701,3058.60877,-3.74
8.5465,2876.80785,3052.40929,-5.75
8.5225,2746.35923,3061.77629,-10.3
8.5484,2832.85881,3051.67008,-7.17
8.5236,2949.00706,3061.34577,-3.67
8.5111,2877.2851,3066.24496,-6.16
8.5264,2832.67626,3060.25041,-7.44
8.5135,2810.57122,3065.30315,-8.31
8.525,2792.74675,3060.79799,-8.76
8.5191,2896.54304,3063.10775,-5.44
8.5138,2822.26298,3065.18546,-7.93
8.5226,2873.02104,3061.73715,-6.16
8.5137,2919.25148,3065.22469,-4.76
8.5153,2898.4044,3064.59715,-5.42
8.522,2902.32261,3061.97203,-5.21
8.5237,2868.38956,3061.30663,-6.3
8.5187,2888.79722,3063.26446,-5.7
8.5157,2846.37499,3064.44031,-7.12
8.5232,2810.36204,3061.50231,-8.2
8.5176,3001.22084,3063.6955,-2.04
8.524,2825.78363,3061.18924,-7.69
8.5222,2988.94633,3061.89373,-2.38
8.5235,2824.05101,3061.3849,-7.75
8.5295,2826.21542,3059.03856,-7.61
8.5256,2999.98154,3060.56329,-1.98
8.5253,2933.65265,3060.68064,-4.15
8.5186,3048.97281,3063.30364,-0.47
8.5176,2935.66502,3063.6955,-4.18
8.5164,2931.9732,3064.16587,-4.31
8.5095,3041.43656,3066.87314,-0.83
8.5241,2839.0032,3061.15011,-7.26
8.5184,3014.98564,3063.38201,-1.58
8.5153,2964.68774,3064.59715,-3.26
8.5205,2741.84372,3062.55937,-10.47
8.5181,2999.6521,3063.49956,-2.08
8.5079,3032.43939,3067.50157,-1.14
8.5095,2954.92045,3066.87314,-3.65
8.5098,2856.641,3066.75534,-6.85
8.5141,2916.75063,3065.06778,-4.84
8.5113,2909.34415,3066.16645,-5.11
8.5159,2912.30447,3064.36189,-4.96
8.5129,3020.21785,3065.53855,-1.48
8.5147,2942.11503,3064.83245,-4.0
8.5169,2748.66921,3063.96987,-10.29
8.5147,2714.36229,3064.83245,-11.44
8.5095,2954.40991,3066.87314,-3.67
8.5175,2904.16731,3063.7347,-5.21
8.5144,2900.47259,3064.95011,-5.37
8.5138,2887.66505,3065.18546,-5.79
8.5139,2866.95509,3065.14623,-6.47
8.513,2936.46746,3065.49931,-4.21
8.5109,2859.73304,3066.32347,-6.74
8.5135,2843.61795,3065.30315,-7.23
8.5103,2851.50053,3066.55902,-7.01
8.5185,2970.87948,3063.34282,-3.02
8.5156,2804.74426,3064.47952,-8.48
8.517,2840.93492,3063.93067,-7.28
8.522,2811.25612,3061.97203,-8.19
8.5181,2831.13113,3063.49956,-7.59
8.52,2915.49584,3062.7552,-4.81
8.5205,2851.44784,3062.55937,-6.89
8.5202,2900.5941,3062.67686,-5.29
8.5165,2933.62812,3064.12667,-4.26
