Load (lbf),Resistance (Ohms)
4.004,4883.05854
4.0068,4997.91636
4.011,4808.73808
4.0134,4833.35205
4.0178,4806.07149
4.0239,4823.41483
4.0303,4805.94206
4.0375,4774.33448
4.0458,4836.74741
4.0532,4704.09394
4.0575,4788.30697
4.0628,4819.04561
4.07,4794.31259
4.0754,4789.03312
4.0801,4717.5668
4.0881,4705.38162
4.0918,4764.44948
4.0951,4774.97605
4.099,4743.03685
4.1034,4634.59578
4.1101,4809.44301
4.1179,4656.69798
4.1283,4694.63997
4.1349,4676.38179
4.1429,4717.27104
4.1458,4542.6196
4.151,4690.77887
4.1544,4655.87825
4.1573,4611.28522
4.1618,4537.87679
4.1654,4624.61189
4.1723,4642.8811
4.1796,4566.22642
4.186,4593.56942
4.191,4589.87196
4.1978,4490.60195
4.2041,4574.69396
4.208,4598.49486
4.2146,4463.14305
4.221,4383.36415
4.2313,4468.32306
4.2378,4536.38188
4.2426,4512.80494
4.2476,4438.27625
4.2522,4471.47995
4.2558,4544.69915
4.2616,4537.79562
4.2641,4520.41056
4.2682,4296.41139
4.2729,4635.09486
4.2782,4447.16986
4.285,4488.51681
4.2866,4593.68945
4.2889,4657.31356
4.2963,4403.27001
4.3,4377.3459
4.3045,4414.38096
4.3098,4517.52896
4.3156,4389.3427
4.3192,4563.72522
4.3233,4632.71948
4.3259,4493.49406
4.3276,4546.81681
4.3297,4352.22034
4.3344,4360.05614
4.339,4272.50547
4.3457,4424.08273
4.3529,4320.77717
4.3601,4343.33108
4.3687,4312.15613
4.3745,4446.56479
4.3848,4425.67409
4.3949,4396.74483
4.4038,4351.93299
4.41,4314.35887
4.418,4293.09267
4.4244,4338.98349
4.4301,4273.77055
4.4361,4238.81499
4.4417,4227.33897
4.4501,4305.78281
4.4535,4289.51711
4.4579,4161.89019
4.4615,4267.45274
4.4664,4391.72328
4.4725,4313.00795
4.4812,4209.17622
4.4902,4210.10339
4.5027,4213.12126
4.5155,4124.05728
4.5342,4143.14978
4.5429,4159.85007
4.5469,4024.87381
4.5537,4148.57277
4.5569,4129.12538
4.5612,4150.29368
4.5642,4136.89833
4.5672,4288.76828
4.571,4103.39659
4.5733,4125.40691
4.5752,3938.58273
4.5787,4161.90859
4.5825,4039.98532
4.5846,4168.98094
4.5882,4025.60049
4.5924,4132.73083
4.5941,4156.79502
4.5977,4210.78964
4.6043,4024.82703
4.6104,4125.52068
4.6179,4027.35576
4.6257,3931.06731
4.6317,4059.58871
4.6385,4084.1039
4.6421,3914.47084
4.6477,3949.77075
4.6534,3938.59643
4.6632,4009.04598
4.6651,4118.9232
4.6661,3935.02503
4.6706,3974.14729
4.6825,3816.97932
4.6896,3933.50131
4.6974,3888.20322
4.7056,3924.38091
4.7092,4023.07794
4.7138,3847.84618
4.7199,3856.2429
4.7248,3944.933
4.7311,3871.51145
