Load (lbf),Resistance (Ohms)
0.0018,332516.837
0.002,275427.902
0.002,250891.087
0.0022,245869.067
0.0025,246147.795
0.0027,237057.32
0.0028,223692.456
0.003,222383.882
0.0033,218351.685
0.0035,215089.987
0.0039,213152.662
0.0039,205662.641
0.0042,215066.899
0.0043,209430.901
0.0047,203735.944
0.0064,202274.69
0.0082,197855.441
0.0104,195361.148
0.0127,196558.097
0.0156,196250.381
0.0185,191799.408
0.0218,191537.233
0.0257,192181.497
0.0512,189122.17
0.1775,185662.279
0.3083,180114.072
0.3392,178584.907
0.3487,177215.703
0.3565,177106.98
0.3636,178796.959
0.3684,177046.943
0.376,176200.431
0.3808,175574.332
0.3864,175772.348
0.3925,173176.865
0.3966,174091.326
0.403,171797.407
0.4089,169136.952
0.4151,166630.426
0.4186,166970.396
0.427,168558.332
0.4307,167375.444
0.4366,165832.748
0.4433,166082.547
0.4472,163485.838
0.4503,162107.871
0.456,158205.53
0.4626,158777.339
0.4671,153993.314
0.4736,151440.508
0.478,148652.68
0.4843,141961.386
0.4912,139258.568
0.494,137233.629
0.501,135615.992
0.507,135309.026
0.5129,133919.993
0.518,126897.623
0.5251,122708.645
0.5306,121775.001
0.5364,118709.65
0.5409,115631.912
0.5467,115440.414
0.5518,112858.104
0.5593,110787.338
0.5657,109605.499
0.5697,107616.213
0.575,105639.722
0.5805,102552.859
0.5859,101692.747
0.5917,100618.388
0.5978,99371.6878
0.6027,96803.9346
0.6093,95419.257
0.6143,94148.9739
0.6199,92681.8665
0.6253,89608.068
0.6327,87333.5996
0.637,85889.9492
0.642,83767.707
0.6466,83051.4734
0.6538,82935.0573
0.6596,82110.3861
0.6649,81363.3932
0.6706,80460.5238
0.6795,79759.5466
0.6825,79295.6397
0.6874,78900.0429
0.6926,78408.8194
0.6991,77583.313
0.7056,77318.6122
0.7106,76160.4837
0.7159,75487.8472
0.7227,74813.397
0.7277,73812.057
0.7329,72749.308
0.7384,71997.069
0.7448,71408.0831
0.7498,70947.9607
0.7556,70027.3554
0.7616,68949.6457
0.7678,67553.2088
0.7729,66757.3818
0.7778,65797.7067
0.7831,64752.6961
0.7875,64015.1476
0.793,62285.2166
0.801,61322.5221
0.8076,60011.3282
0.8134,59406.8155
0.8204,58852.5401
0.8252,58064.3162
0.8297,57913.4345
0.8346,57425.2273
0.8393,56576.5609
0.846,55875.2076
0.8511,55304.0726
0.8561,54906.8539
0.8616,53797.1971
0.8712,53234.21
0.8737,52894.1635
0.8785,52557.5795
0.8858,52101.452
0.8906,51604.1876
0.8958,51042.5523
0.9044,50329.8908
0.909,49750.3127
0.9144,49258.4354
0.9194,48831.1143
0.9249,47742.4967
0.9305,46977.5473
0.9366,46352.018
0.9416,46008.5327
0.9476,45618.2982
0.9522,44650.111
0.9585,44522.0065
0.964,43700.4825
0.9699,43290.7477
0.9761,42308.0187
0.9807,41987.9907
0.9867,41620.782
0.9932,41239.6528
0.9989,40640.5193
1.004,40221.1735
1.01,40223.042
1.0159,39834.4436
1.0198,39328.3001
1.0254,38653.0763
1.0306,38018.359
1.0363,37622.3744
1.0423,37435.2625
1.0486,36977.465
1.0537,36324.8882
1.0661,36149.6936
1.0687,35971.6711
1.0698,35633.4304
1.0744,35456.5126
1.0792,34569.7119
1.0865,34248.8953
1.0915,34086.745
1.0974,33825.5098
1.1012,33478.8642
1.107,33048.4716
1.1103,32646.7127
1.1169,32127.6932
1.1237,31767.207
1.1288,31377.2019
1.1345,31179.1375
1.1418,30893.9645
1.1469,30664.9506
1.1532,30182.051
1.1572,29883.357
1.165,29735.6323
1.1688,29396.1295
1.1753,29408.2455
1.1778,28939.4275
1.1869,28518.3192
1.1931,28356.9857
1.1997,27997.0505
1.2039,27542.5892
1.2146,27369.3085
1.2169,27222.9708
1.2219,26973.1983
1.2252,26657.7908
1.23,26459.0733
1.238,26223.803
1.2422,25828.1737
1.2478,25587.2506
1.2523,25582.299
1.2576,25471.1702
1.2632,25184.1815
1.2701,24954.5619
1.2746,24788.6698
1.282,24463.4974
1.2881,24301.3894
1.299,24281.5522
1.3017,24104.3465
1.305,23842.196
1.3126,23710.7866
1.3167,23317.5288
1.3245,23258.0466
1.3293,23013.5466
1.3358,22792.2433
1.3404,22663.6838
1.3461,22744.2019
1.3521,22380.5416
1.3585,22334.726
1.3603,22164.7699
1.3673,21918.9196
1.3749,21695.8679
1.3773,21461.5742
1.3857,21467.5462
1.393,21305.3826
1.3951,20878.7147
1.4013,20577.7549
1.41,20415.775
1.4151,20293.1058
1.4181,20065.7409
1.4228,19827.2577
1.4278,19632.2966
1.4326,19320.1775
1.4395,19318.9533
1.4471,19195.2045
1.4509,18763.7597
1.4607,18520.6743
1.4675,18463.4193
1.4702,18303.1941
1.4755,18132.0005
1.4809,18177.2991
1.4852,17979.7777
1.4907,17787.0382
1.4995,17485.7778
1.5039,17425.0356
1.5102,17173.3412
1.5152,17162.2005
1.5202,16935.5112
1.525,16806.8433
1.5302,16626.8337
1.5364,16672.3431
1.5428,16517.2027
1.5506,16459.5431
1.5544,16253.8087
1.5593,16121.6897
1.5645,16141.5627
1.571,15911.1839
1.5741,15744.0585
1.5844,15668.8117
1.5891,15573.2145
1.5959,15312.3927
1.6017,15046.4009
1.6106,15207.3839
1.613,15015.3031
1.6164,14714.8881
1.6222,14898.999
1.627,14661.7051
1.6333,14593.1983
1.6395,14540.959
1.645,14706.8917
1.6518,14451.1029
1.6547,14334.2311
1.6634,14057.1309
1.6683,14105.8598
1.6719,13977.8048
1.6768,13970.8793
1.6831,13938.0277
1.6905,13789.1177
1.6958,13820.7077
1.7024,13639.0234
1.7063,13650.034
1.7128,13545.8318
1.7194,13604.3051
1.7241,13470.7065
1.728,13149.58
1.7332,13185.8914
1.7414,13079.6551
1.7464,12934.3459
1.752,13007.1809
1.7578,12970.2039
1.7643,12871.9813
1.7696,12772.7843
1.776,12716.4383
1.7824,12696.7319
1.7859,12494.9584
1.7933,12420.3487
1.8,12407.228
1.8062,12485.1567
1.8118,12319.9917
1.8157,12186.1703
1.8307,12255.932
1.8323,12186.6151
1.8315,12195.1046
1.8324,11977.496
1.8398,12011.9529
1.8436,12022.8812
1.8498,11868.6636
1.8545,11896.9532
1.8596,11833.5017
1.8682,11764.2759
1.874,11796.9168
1.879,11703.9047
1.8827,11836.7547
1.8878,11816.7645
1.8988,11607.7495
1.9045,11614.8521
1.9106,11547.2405
1.9143,11403.4572
1.9196,11516.8181
1.9283,11419.4992
1.9339,11167.32
1.9381,11308.2107
1.9448,11307.5784
1.9527,11129.0224
1.959,11058.76
1.9683,11130.0499
1.9722,10952.9488
1.9746,10994.3677
1.9816,11050.1567
1.9885,10919.7315
1.9945,10734.0773
1.9977,10894.1016
2.0033,10761.7208
2.0086,10778.9046
2.0194,10680.1749
2.0222,10710.3985
2.0262,10678.4474
2.0336,10508.9355
2.0376,10593.3515
2.0456,10476.7094
2.05,10467.5074
2.053,10456.1392
2.0612,10447.832
2.0696,10397.7403
2.0735,10366.0355
2.0791,10441.1329
2.0841,10320.8522
2.0912,10284.4525
2.0959,10310.5437
2.101,10036.3744
2.1083,10192.1314
2.1156,10141.5788
2.1192,10087.2043
2.1218,10015.8919
2.1291,9969.98281
2.1345,10032.603
2.1414,9903.89334
2.1484,9913.8227
2.1529,10002.6722
2.1574,9950.34246
2.1637,9870.33978
2.1709,9812.62004
2.1764,9788.4022
2.1808,9635.98298
2.1848,9772.16699
2.1931,9738.79838
2.202,9598.56138
2.2046,9487.06055
2.2064,9564.36921
2.2089,9527.18053
2.2149,9563.25916
2.2254,9642.73416
2.2346,9547.25927
2.2388,9368.20623
2.242,9414.77844
2.2463,9371.42265
2.2489,9314.50303
2.2529,9363.04606
2.2556,9285.30339
2.2605,9188.74444
2.2674,9164.30359
2.2781,9030.35974
2.2863,9164.15263
2.293,9089.07403
2.2998,8878.50831
2.306,8968.63607
2.3122,8935.35819
2.32,8946.9768
2.3245,9000.28855
2.3299,8980.88334
2.3335,8931.09817
2.3343,8886.0424
2.3376,8914.83818
2.3411,8929.84951
2.3438,8921.02461
2.349,8934.42244
2.3576,8820.67579
2.3698,8707.85255
2.3785,8757.02698
2.3869,8778.18454
2.3974,8693.30845
2.4019,8636.41108
2.4043,8648.51077
2.4043,8699.26889
2.4054,8565.82209
2.4079,8725.48778
2.4093,8733.63761
2.4107,8439.15591
2.412,8499.71971
2.4141,8440.13353
2.4165,8415.7112
2.4228,8483.83707
2.4298,8450.76547
2.4392,8364.89602
2.4461,8473.50289
2.4504,8369.06876
2.4554,8270.05982
2.4591,8372.14475
2.4647,8301.39043
2.4728,8345.80199
2.4768,8410.19227
2.4822,8169.66844
2.4861,8029.51411
2.4886,8174.19467
2.496,8134.73526
2.5032,8004.54482
2.5205,8065.01139
2.5269,8083.87047
2.532,7995.90919
2.5357,7980.53677
2.5416,7887.95171
2.5476,7978.44131
2.5514,7884.76218
2.5588,7727.74315
2.5675,7886.99972
2.5733,7986.77845
2.5759,7951.229
2.5814,7921.74954
2.5852,7711.15608
2.5878,7905.11881
2.59,7949.60565
2.5972,7788.69748
2.6025,7789.88878
2.6083,7648.9078
2.6126,7721.97608
2.6143,7525.12015
2.6189,7655.2094
2.6244,7657.785
2.632,7617.86472
2.6379,7619.90666
2.6435,7575.87218
2.6487,7603.42463
2.6559,7466.67111
2.6615,7534.58549
2.667,7575.71179
2.6724,7459.15959
2.6782,7461.00839
2.6856,7458.97551
2.6942,7401.90085
2.7003,7345.18817
2.7063,7459.10225
2.7099,7287.58945
2.7158,7385.2087
2.7195,7242.77085
2.7247,7319.06286
2.7317,7331.39767
2.7358,7255.81878
2.742,7243.23299
2.7483,7162.13508
2.7553,7205.02424
2.7624,7173.94754
2.7674,7055.51958
2.7711,7130.75005
2.7777,7122.24078
2.783,7102.80346
2.7883,7081.7907
2.7938,7114.16439
2.7969,7137.57679
2.8022,7044.15129
2.8057,7026.92218
2.8111,7237.83818
2.818,7042.66607
2.8269,7076.8659
2.8319,6950.36709
2.8389,6932.24335
2.8458,6838.50579
2.8513,7060.85308
2.8568,6924.25502
2.8599,6838.27354
2.8645,6937.65227
2.8678,6741.57014
2.873,6822.77363
2.8773,6796.58683
2.8834,6757.39599
2.8918,6774.11227
2.8992,6838.58266
2.9048,6821.50294
2.9138,6647.8954
2.9202,6915.06321
2.9246,6836.4162
2.9299,6643.38942
2.9361,6783.16792
2.9401,6651.45192
2.9458,6748.31262
2.949,6629.05713
2.9574,6602.50725
2.9657,6624.33741
2.9809,6520.57775
2.9843,6559.35496
2.9865,6640.12641
2.992,6442.37497
2.9961,6349.59704
3.0027,6479.40474
3.0086,6417.96235
3.0128,6599.21175
3.017,6417.82812
3.0234,6346.70954
3.0314,6304.0353
3.0408,6274.98047
3.0469,6182.524
3.0521,6225.92194
3.0577,6324.19418
3.0625,6302.35691
3.0683,6236.17009
3.0705,6244.18157
3.0761,6348.26976
3.0799,6216.34106
3.0849,6236.80647
3.0892,6164.62668
3.0954,6173.45253
3.0997,6182.30691
3.1065,6167.40585
3.1111,6302.05622
3.1155,6243.66038
3.1205,6280.88335
3.127,6209.94629
3.1315,5966.48101
3.1352,6200.99849
3.1413,6126.21306
3.1484,6203.38502
3.1546,5924.91527
3.1603,5900.35073
3.167,5944.84968
3.1731,5935.73204
3.1785,6000.01352
3.1846,5986.77162
3.1894,5972.59907
3.1934,5903.28483
3.2003,6004.25704
3.2043,5823.34173
3.2123,6049.08154
3.2213,5842.84882
3.2263,5812.10775
3.2337,5903.94446
3.2404,5797.74834
