Load (lbf),Resistance (Ohms)
0.0011,3133426.33
0.0012,3164947.09
0.0012,3110722.82
0.0011,3050528.67
0.0012,3002269.36
0.0011,2941730.54
0.0012,2943515.15
0.0011,2940743.75
0.0012,2871790.49
0.0011,2915767.29
0.0012,2878721.16
0.0012,2743345.86
0.0011,2814224.52
0.0012,2789298.58
0.0011,2636892.6
0.0012,2383622.24
0.0012,2343913.94
0.0012,2328415.39
0.0012,2291683.3
0.0011,2308906.93
0.0011,2313457.67
0.0012,2286315.01
0.0012,2302288.6
0.0012,2298238.19
0.0012,2327953.11
0.0012,2354352.73
0.0012,2321085.05
0.0012,2302372.92
0.0011,2261812.25
0.0012,2266384.48
0.0012,2293919.82
0.0012,2271565.51
0.0013,2290779.88
0.0011,2272961.21
0.0011,2246911.19
0.001,2227137.67
0.0011,2224624.89
0.0012,2208388.27
0.0011,2201573.54
0.0012,2209385.58
0.0012,2217043.92
0.0011,2235087.28
0.001,2180251.1
0.001,2385942.76
0.0009,2378644.77
0.0009,2119510.26
0.0006,3311128.99
0.0003,2093846.0
0.0001,3338397.32
0.0007,4153398.05
0.0013,5042682.54
0.0021,5167719.99
0.0031,4617967.24
0.0083,3335906.4
0.0217,222169.358
0.2662,85160.2716
0.8476,68306.2905
0.9648,58440.2076
1.0285,53370.2834
1.0873,47981.6545
1.1445,44737.8382
1.1993,40991.0225
1.2565,36687.7677
1.3096,32815.603
1.3698,30233.1083
1.42,27221.5157
1.4818,24936.9407
1.5375,23521.3513
1.5896,21984.0652
1.6479,20730.1551
1.7037,19834.6928
1.7652,18592.9841
1.817,17537.6533
1.8736,16609.4014
1.9306,15702.2156
1.9953,15125.1063
2.0504,14408.6647
2.1149,13952.2976
2.1693,13601.3418
2.2259,13075.9982
2.2793,12775.0374
2.3345,12339.3113
2.3899,11993.3365
2.4482,11726.0314
2.4987,11564.2776
2.5604,11306.8763
2.6141,10828.4918
2.6686,10529.4274
2.7319,10324.9145
2.7758,9871.18087
2.8369,9709.20423
2.8854,9432.46098
2.941,9129.74877
3.0041,8693.65346
3.0542,8786.04589
3.1163,8551.54571
3.1621,8252.65902
3.2149,7964.84324
3.2794,7848.49592
3.331,7656.25487
3.3875,7383.56134
3.4457,7374.01891
3.5001,7065.43049
3.5546,7096.31625
3.611,6915.82119
3.6658,6687.92779
3.729,6544.46801
3.7648,6426.09648
3.8414,6183.65753
3.8858,6053.14352
3.9608,6023.10237
3.9931,5926.94249
4.0476,5753.41527
4.101,5662.9268
4.1593,5669.34692
4.217,5740.60777
4.2546,5522.97477
4.2599,5567.0684
4.2589,5471.1005
4.2585,5520.81444
4.2573,5538.21244
4.2563,5725.25249
4.2546,5420.90393
4.2533,5521.06908
4.2518,5425.31719
4.2506,5529.8265
4.2493,5578.19381
4.2483,5566.45337
4.2472,3106222.59
0.0179,1891662.52
0.0012,1655171.97
0.0014,1617253.28
0.0013,2527092.66
0.0014,3206371.74
0.0014,3155673.46
0.0014,2350204.17
0.0015,3071350.56
0.0015,3762712.72
0.0014,4103765.13
0.0014,5174982.02
0.0015,1999809.26
0.0014,2131457.73
0.0014,2635752.56
0.0014,3149443.15
0.0013,3270838.93
0.0012,4106126.28
0.0012,4394214.1
0.0014,3984689.83
0.0011,3478212.14
0.0012,3845829.85
0.0012,3725066.66
0.0011,3356718.39
0.001,3413356.94
0.001,2731182.86
0.001,2934503.25
0.001,2841450.98
0.0009,3063770.45
0.0008,3397402.02
0.0008,3433921.86
0.0008,2527290.19
0.0007,2628433.64
0.0007,2850892.65
0.0006,2154841.21
0.0002,4703327.52
0.0,3811655.04
0.0003,4252504.29
0.0006,2660535.77
0.001,4413219.76
0.0014,4281509.98
0.0022,4096067.24
0.0026,4986801.19
0.0035,5176417.9
0.0067,3520799.3
0.0136,3058980.05
0.0223,1874721.68
0.0602,50920.8346
1.0035,10177.2657
2.4616,9054.82649
3.1818,8925.57934
3.1691,8552.57255
3.2734,8283.2932
3.3074,8083.74318
3.369,7781.65596
3.4304,7729.8522
3.4795,7173.93234
3.5452,7014.77503
3.5939,6974.65772
3.6478,6774.56739
3.7047,6744.42057
3.7664,6583.13623
3.8178,6284.69569
3.8738,6261.65623
3.9393,6095.93171
3.9843,5869.77927
4.0359,5864.35707
4.0928,5778.35843
4.1483,5689.19995
4.1999,5632.10311
4.2518,5628.90444
4.2642,5658.02558
4.2628,5474.54057
4.2604,5618.93639
4.259,5595.2285
4.2578,5592.78336
4.257,5515.81217
4.2566,5625.45475
4.2568,5483.47223
4.2569,5583.6919
4.2571,5396.89517
4.2569,5456.84903
4.2568,5467.97739
4.2567,3308327.85
0.3055,1686834.14
0.0011,1919662.48
0.0014,1568716.48
0.0014,2155800.84
0.0015,2295785.26
0.0015,3977326.77
0.0015,2722691.49
0.0015,3131944.37
0.0015,4685877.57
0.0015,3094410.92
0.0015,3943698.76
0.0015,2918912.61
0.0015,3084360.07
0.0013,2634139.77
0.0013,4317670.16
0.0012,5003190.28
0.0012,3308999.56
0.001,3223544.33
0.001,4712640.43
0.001,4142174.47
0.0009,3190620.33
0.001,2712328.56
0.0008,3038475.86
0.0007,2781764.48
0.0007,3533636.04
0.0003,4087538.04
0.0,3851700.51
0.0004,2973285.33
0.001,2707738.19
0.0014,3168019.23
0.0021,3223696.38
0.0029,3876818.71
0.0037,4206887.29
0.0094,4630725.12
0.0183,7496049.57
0.03,95212.5105
0.6877,20395.133
1.7157,13978.2288
2.2466,12991.2232
2.376,12462.6717
2.4427,11971.922
2.4842,11530.9933
2.5502,11224.2304
2.6226,10908.9781
2.6739,10639.9435
2.7175,10379.1215
2.7692,10088.687
2.8219,9717.59304
2.8787,9401.76845
2.935,9236.35791
2.9897,8765.41878
3.059,8648.87348
3.0959,8524.62483
3.1533,8328.73728
3.2104,8099.76355
3.2691,7829.86686
3.322,7533.06142
3.3776,7383.3859
3.432,7413.23697
3.4898,6989.78309
3.5409,6943.91489
3.5977,6768.96678
3.6543,6760.80822
3.7153,6472.15886
3.7504,6289.15914
3.8335,6331.26103
3.8781,6106.30488
3.9517,6083.50318
3.9889,5932.06547
4.0544,5806.4802
4.1068,5680.71787
4.1596,5624.92366
4.2191,5432.29275
4.2572,5492.75718
4.2623,5523.324
4.2616,5517.24391
4.2588,5524.72788
4.2564,5398.49558
4.2545,5558.15151
4.2529,5438.65184
4.2518,5346.27932
4.2513,5391.02567
4.2514,5554.68997
4.253,5464.6165
4.2544,5429.43489
4.2541,5321.82893
4.2542,5494.63312
4.2544,5517.04623
4.2548,5435.18234
4.255,5392.84144
4.2553,5453.18511
4.2555,5444.57867
4.2558,5312.64292
4.256,5340.93088
4.2555,5446.37106
4.2551,5283.64899
4.2545,5337.7472
4.2541,638594.929
3.0405,2453623.05
0.0004,1742018.06
0.0014,1710700.91
0.0013,1677400.35
0.0015,2104493.08
0.0013,2213871.04
0.0014,3368945.16
0.0014,3649280.73
0.0015,2845490.48
0.0015,3226358.4
0.0015,4774863.29
0.0014,2556267.29
0.0015,2672023.94
0.0014,2541597.71
0.0014,2667500.31
0.0014,2292749.73
0.0013,2401378.44
0.0012,2589869.99
0.0012,2874535.84
0.0012,3858829.63
0.001,5225282.95
0.001,4265166.18
0.001,4130306.54
0.001,4285683.99
0.0007,5866815.74
0.0009,4470842.0
0.0008,5138160.74
0.0006,4940374.82
0.0007,5021337.92
0.0006,4725125.3
0.0003,2791519.3
0.0001,3251471.1
0.0002,2843068.72
0.0006,2189216.26
0.001,3519976.44
0.0015,3150448.55
0.0022,3094607.42
0.0028,4412508.13
0.0035,3531158.9
0.0086,4516143.01
0.0168,5902642.45
0.0265,257428.892
0.3921,21804.7062
1.5738,10980.3268
2.6216,10733.9162
2.7618,10444.1813
2.7649,9960.47848
2.8594,9601.04716
2.926,9319.77905
2.9877,9050.87842
3.0335,8828.93662
3.0816,8369.8281
3.1464,8103.1573
3.2091,8039.03564
3.2537,7946.34775
3.2925,7639.57919
3.3535,7379.44013
3.417,7278.3618
3.4669,7160.76714
3.5258,6788.88463
3.5854,6697.29869
3.6312,6581.59446
3.6822,6514.6152
3.7446,6313.45445
3.8011,6214.0383
3.8567,6091.01668
3.9286,5831.15382
3.9757,5807.94385
4.0314,5603.90177
4.0829,5685.0734
4.1353,5441.62386
4.1905,5504.65866
4.2442,5495.10367
4.2632,5379.02382
4.2618,5297.19044
4.2594,5237.54117
4.2575,5360.39372
4.2556,5309.90065
4.2543,5362.33462
4.253,5306.32857
4.2518,5344.71222
4.2508,5358.02123
4.2497,5314.26881
4.2488,3068761.33
0.0404,2025078.26
0.0012,1443502.12
0.0014,1628300.59
0.0015,1754339.49
0.0015,2455062.21
0.0016,2624584.93
0.0015,2850216.72
0.0015,3310885.6
0.0016,2805910.44
0.0016,2486362.39
0.0015,2817241.31
0.0015,3121384.48
0.0015,2912090.63
0.0014,2862553.91
0.0014,4318926.26
0.0012,2658792.19
0.0011,2796601.9
0.0011,3176613.01
0.001,6939561.7
0.0009,8750600.09
0.001,6630707.66
0.001,3892178.12
0.0008,3816914.71
0.0007,4015760.58
0.0005,11474126.7
0.0001,3025524.46
0.0002,3770597.47
0.0007,3466948.27
0.0012,4754519.1
0.0018,3035827.77
0.0025,4685846.53
0.0033,3178625.38
0.0072,5841966.22
0.0153,5476827.07
0.0254,290296.49
0.3341,24858.9968
1.5313,13344.9262
2.3374,11996.505
2.487,11579.0426
2.5535,11243.0615
2.607,10923.1869
2.6547,10552.3586
2.7141,10283.5745
2.775,9991.15595
2.8276,9440.05696
2.8818,9217.33459
2.9405,8973.44881
2.9926,8624.7092
3.0483,8398.90168
3.1007,8183.36868
3.1574,7912.95523
3.2173,7815.27095
3.2699,7629.48229
3.3249,7326.35979
3.3872,7124.34118
3.438,6924.70399
3.4922,6676.05633
3.5528,6743.82449
3.604,6546.69035
3.664,6392.65211
3.7097,6215.78544
3.7691,6203.81139
3.829,6043.62179
3.887,5791.89911
3.9451,5729.46976
3.9888,5527.6392
4.0563,5603.52158
4.0961,5419.55768
4.163,5201.39263
4.2155,5374.34669
4.2538,5241.69056
4.2635,5344.76156
4.2606,5360.82269
4.2581,5321.82717
4.256,5237.26386
4.2544,5343.44694
4.2534,5351.06672
4.2525,5279.67731
4.2516,5075.3893
4.2507,5205.21742
4.2498,5246.61594
4.2488,5125.6994
4.2479,5114.0798
4.2467,2831071.58
0.0024,1623701.45
0.0014,1420937.09
0.0015,1801695.6
0.0015,1559364.02
0.0016,2442556.19
0.0016,2718429.51
0.0015,2158547.15
0.0016,3819460.38
0.0015,3118775.16
0.0015,3143306.72
0.0017,3706261.34
0.0015,5558033.12
0.0014,4889671.8
0.0014,4397138.13
0.0014,3230717.34
0.0013,4092055.74
0.0012,5135670.78
0.0013,3580993.47
0.0011,3020016.94
0.0011,2654800.62
0.001,2862595.02
0.001,4431995.17
0.0009,5052848.18
0.0008,4829518.93
0.0008,5131700.47
0.0009,4908061.85
0.0004,4218837.07
0.0,3313762.0
0.0002,3198086.75
0.0008,3273647.27
0.0012,6719112.94
0.0017,3591056.74
0.0024,5986375.02
0.0032,2624648.17
0.0066,5412417.08
0.0142,2477075.63
0.0239,385253.138
0.1675,31329.671
1.3404,12124.0461
2.5353,10980.5759
2.7413,10613.1596
2.7262,10340.7225
2.8289,9772.3166
2.8974,9233.25514
2.9518,8981.69581
3.0099,8903.55703
3.0528,8616.55061
3.1166,8343.90362
3.167,8013.5507
3.2276,7928.02586
3.2716,7656.87245
3.335,7435.62732
3.3947,7181.53862
3.4453,7002.83457
3.504,7030.38347
3.5598,6798.00576
3.6135,6670.84173
3.6664,6564.10566
3.7207,6246.18904
3.7788,6181.56349
3.8385,6095.29204
3.8932,5912.03986
3.9479,6061.29904
4.0065,5737.9501
4.0615,5583.92977
4.1175,5458.80277
4.1701,5495.63567
4.2262,5606.45135
4.2643,5325.62401
4.2612,5403.815
4.2581,5269.97952
4.2552,5359.39054
4.2532,5393.56402
4.2517,5231.30926
4.2514,5368.27455
4.2525,5412.68868
4.2561,5316.20169
4.2562,5382.4607
4.2567,5365.80616
4.2567,5348.64574
4.2567,5341.10027
4.2569,5287.03223
4.2571,5443.36232
4.2572,5377.80105
4.2572,5317.94536
4.2569,5288.95161
4.2571,5258.39266
4.2571,228278.857
3.3655,2133759.13
0.0006,2459373.15
0.0016,1725511.82
0.0015,1516774.61
0.0016,1792232.0
0.0017,2760335.81
0.0016,2367462.63
0.0016,2139986.37
0.0017,2547038.91
0.0017,3189991.04
0.0017,3072827.86
0.0018,3921304.3
0.0016,3609064.82
0.0016,3572553.99
0.0016,3189843.18
0.0017,2778683.98
0.0015,2917706.04
0.0015,3339025.95
0.0015,3226759.41
0.0014,2858932.96
0.0015,4599213.88
0.0014,2883116.62
0.0014,2651678.97
0.0012,3907793.6
0.0012,4203806.73
