Load (lbf),Resistance (Ohms)
0.0001,4458271.4
0.0,4466934.53
0.0,4450413.94
0.0,4556068.1
0.0,4434588.48
0.0,4303343.72
0.0,4219792.89
0.0,4705918.21
0.0,4257480.26
0.0,4404496.83
0.0001,4209866.39
0.0,4265214.92
0.0001,4213796.86
0.0,4139252.01
0.0,4255225.44
0.0,4217361.97
0.0,4457757.98
0.0,4859190.83
0.0,4877499.52
0.0001,4861717.98
0.0,4908301.48
0.0,4718002.31
0.0,4680505.33
0.0,4657626.79
0.0,4708041.67
0.0,4686881.61
0.0,4787324.87
0.0,4669312.57
0.0001,4643486.97
0.0,4590461.1
0.0,4423031.21
0.0,4520670.4
0.0,4595213.02
0.0,4528780.35
0.0,4568247.64
0.0,4679529.89
0.0,4702295.71
0.0,4730860.05
0.0,4640076.88
0.0,4656127.19
0.0001,4642983.45
0.0,4679476.56
0.0,4663453.42
0.0001,4610901.46
0.0,4663779.31
0.0,4623568.93
0.0001,4621719.45
0.0001,4745656.39
0.0002,4637911.78
0.0003,4664388.75
0.0003,4644641.25
0.0005,4712858.0
0.0007,4234523.08
0.0015,4507659.53
0.0024,2849796.93
0.0036,6900977.7
0.0054,6591313.7
0.0156,4057533.54
0.0355,105464.711
0.7687,83579.8279
0.9168,69721.3478
0.9788,61650.3948
1.0368,53759.9911
1.0968,47803.6003
1.154,43766.6082
1.2048,38734.193
1.2647,34403.5661
1.3178,31480.6282
1.3776,28829.1969
1.4304,26125.0637
1.4882,23560.8961
1.5441,21940.6194
1.5998,20412.4219
1.6519,18945.1046
1.7183,17941.6407
1.7776,16965.6987
1.8342,15765.9594
1.8887,14907.3349
1.9512,14366.3459
1.9995,13615.4051
2.0572,13075.4417
2.1061,12120.0589
2.1992,12018.382
2.1969,11451.9196
2.2813,11147.6822
2.3245,10969.3528
2.3822,10328.2856
2.4378,10083.8439
2.4941,9727.53451
2.5537,9379.45749
2.61,9280.347
2.66,9016.30464
2.7196,8592.27782
2.7747,8428.55699
2.8302,8168.87835
2.8856,7998.55038
2.9414,7751.1422
