Load (lbf),Resistance (Ohms)
0.0006,4632872.36
0.0007,4638133.6
0.0006,4631365.43
0.0007,4628226.83
0.0007,4628147.38
0.0007,4617070.72
0.0006,4643813.56
0.0007,4628016.41
0.0006,4634156.63
0.0007,4634917.96
0.0006,4657084.63
0.0006,4617758.76
0.0006,4637959.68
0.0007,4656030.91
0.0006,4658625.95
0.0006,4657819.95
0.0006,4640093.03
0.0006,4625017.83
0.0007,4637042.39
0.0005,4668451.08
0.0005,4651186.43
0.0007,4647663.37
0.0007,4647595.75
0.0006,4628048.51
0.0006,4624515.23
0.0006,4610539.06
0.0007,4647830.94
0.0007,4726021.17
0.0007,4652578.35
0.0005,4658442.75
0.0006,4645299.1
0.0007,4637827.76
0.0006,4631247.14
0.0006,4643534.58
0.0007,4633015.42
0.0006,4625280.6
0.0007,4601885.08
0.0006,4556905.34
0.0006,4562556.29
0.0007,4567554.87
0.0007,4578771.48
0.0006,4547253.04
0.0006,4555664.24
0.0007,4527222.88
0.0005,4540936.7
0.0007,4560778.03
0.0006,4582369.81
0.0006,4620571.99
0.0007,4614564.9
0.0008,4590718.08
0.0007,4597971.56
0.0007,4558257.09
0.0007,4597083.35
0.0007,4573344.43
0.0007,4545051.03
0.0006,4556139.47
0.0007,4563595.46
0.0007,4522473.05
0.0008,4510188.02
0.0008,4507386.06
0.0009,4537168.18
0.001,4528614.45
0.001,4529930.83
0.001,4487972.3
0.0011,4533688.72
0.001,4498223.89
0.0009,4497567.24
0.001,4530570.19
0.0011,4516124.96
0.0011,4506164.76
0.0011,4498746.39
0.0012,4506066.73
0.0011,4523517.65
0.0012,4488274.25
0.0011,4518062.82
0.0011,4535568.85
0.0013,4465139.39
0.0013,4360090.29
0.0014,4120683.29
0.0017,6897717.21
0.0018,2925820.82
0.002,4447686.73
0.0021,5163934.91
0.0022,5748964.75
0.0024,2595271.89
0.0025,2821031.45
0.0026,3416062.14
0.0028,3636749.94
0.003,5761511.72
0.0031,10543315.3
0.0033,6724592.3
0.0035,4130120.15
0.0037,15349329.9
0.0037,9321231.21
0.0039,9798845.27
0.0041,13301158.5
0.0043,48353250.6
0.0046,15421032.1
0.0047,33629185.2
0.0052,67825556.6
0.006,13074738.3
0.0076,92288143.1
0.0094,24016748.5
0.0124,9423065.43
0.0165,4648944.48
0.0207,6337322.73
0.0245,3206991.84
0.0299,1924408.7
0.0758,333095.435
0.3238,303416.671
0.3548,296466.826
0.3636,269954.447
0.3705,286643.372
0.3762,261136.703
0.3829,265656.069
0.3895,262876.97
0.3943,255952.81
0.4011,247251.706
0.4056,247583.17
0.4118,232868.365
0.4167,232842.783
0.422,230680.377
0.4279,224596.966
0.4344,223860.922
0.4388,217489.423
0.4463,213102.081
0.4482,208671.352
0.4536,202868.843
0.4575,200085.445
0.4622,197127.094
0.468,196636.074
0.4736,192718.982
0.48,192592.79
0.4847,187240.372
0.4914,183889.386
0.4965,181868.402
0.5048,181560.248
0.5084,180706.237
0.5136,178194.324
0.5202,174497.673
0.5255,170548.562
0.5317,168573.981
0.5364,166217.478
0.5429,165741.231
0.5478,163434.642
0.5533,162062.603
0.5585,158312.702
0.5645,154361.05
0.5692,151802.414
0.5735,150312.881
0.5823,148516.356
0.587,146695.887
0.5932,145216.334
0.5989,141730.943
0.6041,138721.372
0.61,135324.629
0.6158,131666.944
0.6211,130250.687
0.627,123791.193
0.6342,119304.889
0.6382,116345.081
0.6476,116046.869
0.6498,116481.735
0.6547,114459.887
0.6597,110895.295
0.6655,109015.423
0.6719,108626.07
0.6779,107145.179
0.683,105400.908
0.6878,100991.94
0.6951,100259.137
0.7004,97821.8446
0.7061,95795.0086
0.7103,94256.7817
0.7167,93631.0852
0.7232,92724.6945
0.7289,92421.1837
0.7332,90279.8472
0.74,89968.393
0.7443,88638.442
0.7521,86558.1366
0.7566,85964.3981
0.7621,84740.9335
0.7681,83975.0619
0.7737,83204.9661
0.779,82657.1758
0.7845,81629.2303
0.7904,81300.6137
0.7952,80928.8052
0.8003,79131.0856
0.8073,78446.8442
0.8122,77696.9997
0.8186,76455.7929
0.824,75744.4676
0.8313,74448.6
0.835,74095.7394
0.843,73421.1026
0.8479,72183.8254
0.8518,70768.8634
0.856,70198.1499
0.8622,68865.5346
0.8674,67282.6367
0.8733,66685.5986
0.8792,65936.882
0.8855,65159.3312
0.8934,64425.6999
0.9,63608.0491
0.9057,63370.6086
0.9093,62953.3596
0.9151,62888.2023
0.9188,62160.194
0.926,61656.6485
0.9357,61503.0553
0.9354,60829.1257
0.9399,60134.0585
0.9479,59382.2069
0.9524,58117.2588
0.9601,58396.6426
0.9652,58208.3942
0.9695,56723.8854
0.9741,56519.3285
0.9815,56163.0565
0.9862,56319.7205
0.9896,55943.4902
0.9932,55249.4867
1.0025,55288.6108
1.0067,54284.02
1.0136,53663.6227
1.0175,52005.8443
1.0241,51465.3632
1.032,51109.9687
1.0342,50573.6735
1.0403,49712.9913
1.0477,49065.3716
1.0529,48718.4787
1.0572,47930.3163
1.063,47162.3998
1.0691,46354.513
1.0749,45782.6241
1.08,44632.5945
1.0846,44316.3738
1.0892,43475.9221
1.0993,43041.3662
1.1046,42687.9958
1.1112,41825.801
1.1162,41196.8044
1.1216,40470.5489
1.1276,39358.962
1.1329,38802.2008
1.14,38050.8969
1.1444,37929.1001
1.149,37637.0816
1.1554,37201.3835
1.1605,36637.2485
1.1671,36384.6455
1.1704,35973.0853
1.1765,35427.3842
1.1827,35015.8645
1.1878,34573.1335
1.1954,34355.4074
1.1996,33949.6707
1.2026,33160.9403
1.2098,32426.1983
1.2177,32156.2887
1.2217,31880.1014
1.2264,31593.477
1.2365,31524.0662
1.2404,31117.2137
1.2454,31051.719
1.2517,30434.2978
1.2563,30424.7522
1.2617,29795.0566
1.2664,29500.5797
1.272,29394.63
1.2761,29175.1153
1.2823,29003.3344
1.2876,28650.5723
1.2947,28382.1326
1.3026,28213.7158
1.3083,28069.4654
1.3121,27613.8711
1.3171,27051.3444
1.3238,26761.0697
1.3291,26488.5055
1.3334,25983.9477
1.3421,25802.1947
1.3468,25414.3297
1.3535,25289.4608
1.3574,24945.5589
1.3652,24755.885
1.3708,24687.8419
1.3738,24191.7536
1.3795,23972.7649
1.3855,24067.0451
1.3889,23878.3683
1.4,23494.4678
1.403,23258.4823
1.4081,23164.2239
1.4173,22722.3098
1.4216,22326.1846
1.4279,22016.0991
1.4333,21769.4892
1.4422,21486.5754
1.4464,21183.9258
1.4511,21220.2163
1.4573,20938.9644
1.4619,20667.8435
1.4694,20565.4281
1.4738,20444.852
1.4778,20348.038
1.4836,19929.1439
1.4915,19830.5566
1.494,19590.4537
1.5004,19415.8927
1.5055,19057.0541
1.5137,18996.2895
1.5191,18939.1192
1.5252,18817.1248
1.5325,18800.7696
1.5377,18533.1516
1.5424,18349.4633
1.5468,18042.8468
1.5536,17979.7237
1.56,17986.858
1.5653,17796.8101
1.5707,17619.9736
1.5794,17558.4386
1.5831,17581.6145
1.5897,17253.8814
1.5955,17172.3426
1.6013,17175.9677
1.6097,17257.1125
1.6107,17225.3338
1.6146,17088.4031
1.6206,17025.4878
1.6258,17076.8902
1.6315,16989.4824
1.6383,16664.6118
1.6448,16556.8413
1.6526,16542.1312
1.6556,16413.9429
1.661,16385.0024
1.6661,16206.9248
1.672,16115.7392
1.6803,16211.5805
1.6834,16031.5442
1.6901,15903.2182
1.6954,15841.5999
1.7031,15861.4828
1.7078,15884.9685
1.7131,15716.4341
1.7169,15520.5361
1.7223,15579.2706
1.7269,15462.5564
1.7311,15413.8744
1.7378,15357.5015
1.7467,15223.4263
1.753,15115.3952
1.7601,15026.3386
1.7644,14940.651
1.7689,14893.4481
1.7737,14794.1179
1.7831,14693.5085
1.7876,14554.2866
1.7927,14639.6675
1.7976,14470.7421
1.805,14439.0437
1.8071,14282.8966
1.8111,14453.3715
1.819,14193.9325
1.8259,14127.8836
1.8334,13843.4544
1.8418,13996.7828
1.8455,13724.2835
1.8477,13742.489
1.8492,13858.4514
1.8509,13861.6997
1.8536,13714.424
1.8567,13674.7949
1.8589,13479.3887
1.8658,13443.1196
1.8799,13419.9793
1.8879,13365.1256
1.8946,13307.2236
1.8989,13104.4433
1.9037,13068.2206
1.9087,13152.7911
1.9132,12964.4552
1.9193,13000.6786
1.9284,13016.8726
1.937,12808.1553
1.9453,12737.8886
1.9506,12613.6686
1.9528,12697.5865
1.9576,12666.9041
1.9604,12573.8752
1.9649,12659.8717
1.9697,12453.5166
1.9762,12546.7219
1.9824,12477.4407
1.9903,12295.5821
1.9954,12151.7719
2.0063,12183.8428
2.0148,12096.1786
2.0192,12167.4152
2.0228,12101.1283
2.0253,11937.6422
2.0272,11726.281
2.031,11835.4322
2.0338,11901.2562
2.0389,11975.7825
2.0412,11680.6285
2.047,11866.6558
2.0529,11728.1544
2.058,11668.0278
2.0639,11454.2876
2.0698,11556.5953
2.0758,11439.5471
2.0819,11316.446
2.0879,11296.8443
2.093,11191.1901
2.1017,11245.8595
2.1091,11288.2976
2.1188,11079.7736
2.1248,11134.182
2.1305,10958.319
2.1342,11155.84
2.1378,11070.7168
2.1402,10967.6127
2.1472,11000.5241
2.1535,10814.0502
2.1561,10963.6026
2.1606,10690.2845
2.1681,10665.7791
2.173,10768.6427
2.1776,10550.781
2.1828,10634.2846
2.1854,10498.1535
2.1922,10589.846
2.2002,10501.2516
2.2074,10520.0687
2.2128,10448.6699
2.2174,10404.2839
2.2227,10356.733
2.2282,10356.4505
2.2358,10317.0317
2.2418,10293.9588
2.2478,10225.3511
2.2539,10217.7424
2.2582,10310.8856
2.2613,10133.472
2.2666,10033.969
2.2746,10127.8703
2.2842,9822.24196
2.29,9983.58742
2.295,9986.09937
2.2993,9968.78259
2.3033,9824.17923
2.3061,9999.03518
2.3143,9904.46991
2.3217,9769.35982
2.3282,9648.93965
2.3319,9801.05741
2.3371,9659.73852
2.3449,9778.13127
2.35,9606.88295
2.3563,9651.79572
2.3649,9742.62057
2.3711,9551.60208
2.3746,9714.57836
2.3799,9607.49208
2.385,9399.56872
2.3937,9602.51774
2.4039,9392.23371
2.4091,9476.3834
2.4152,9446.23136
2.4196,9300.10107
2.4248,9389.74471
2.431,9373.79031
2.437,9370.20783
2.4394,9273.06361
2.4433,9226.22287
2.4463,9326.51463
2.45,9135.18185
2.4566,9224.375
2.4628,9195.70717
2.4681,9260.14002
2.4714,9114.0121
2.4792,9205.81711
2.486,9184.678
2.4931,9026.9203
2.498,9244.01421
2.5008,8954.24414
2.5061,9103.50928
2.5142,8909.48584
2.5236,8829.02971
2.5272,8869.36226
2.5316,8930.86498
2.5355,8844.38775
2.543,8841.44592
2.5502,8752.91115
2.5564,8805.48738
2.5614,8712.74933
2.5675,8743.41256
2.5734,8695.86254
2.5774,8671.00427
2.581,8642.90683
2.5877,8439.90777
2.5958,8600.50992
2.6031,8454.68241
2.61,8549.99713
2.6158,8440.67496
2.622,8561.72041
2.6283,8408.159
2.6301,8465.40269
2.634,8378.20316
2.6365,8475.82799
2.6389,8444.35687
2.6456,8374.32142
2.6536,8356.86806
2.6626,8228.00627
2.6716,8328.16025
2.6784,8319.87693
