Load (lbf),Resistance (Ohms)
0.0029,3342880.47
0.0029,3338682.66
0.003,3349363.87
0.003,3346589.89
0.003,3344041.31
0.0029,3354859.22
0.003,3343282.43
0.003,3366582.52
0.003,3380092.94
0.003,3381841.16
0.0029,3356699.52
0.0029,3363618.99
0.003,3370888.69
0.003,3396126.99
0.003,3375923.6
0.0029,3379597.27
0.003,3387273.98
0.0029,3395650.13
0.003,3385774.6
0.0029,3377265.25
0.0029,3379309.58
0.003,3392201.22
0.0029,3393402.22
0.0029,3387726.33
0.0029,3420315.8
0.0029,3430290.56
0.0029,3423694.44
0.0029,3421393.3
0.003,3424287.51
0.0028,3412870.53
0.0029,3401822.45
0.003,3391910.07
0.003,3369065.19
0.003,3418051.43
0.0029,3400772.88
0.0029,3382140.86
0.0029,3411286.68
0.003,3389548.2
0.0029,3384424.96
0.0029,3380447.09
0.0029,3386097.46
0.0029,3382899.76
0.0029,3389516.25
0.0029,3437806.04
0.0029,3433575.65
0.003,3428127.35
0.0028,3435424.17
0.0028,3441394.12
0.0029,3416888.73
0.0029,3403485.03
0.0028,3400071.09
0.0029,3411441.76
0.0029,3419433.99
0.0028,3423099.29
0.0028,3419486.18
0.0029,3429651.4
0.0029,3420320.4
0.0029,3424530.34
0.0029,3416748.74
0.0028,3433081.02
0.0028,3436309.84
0.0027,3410580.31
0.0027,3321564.51
0.0026,3329448.2
0.0027,3311251.42
0.0026,3375325.35
0.0026,3338595.25
0.0025,3325467.85
0.0024,3017601.35
0.0023,2860436.36
0.0021,2867050.44
0.0019,2892270.18
0.0018,2752404.24
0.0017,2779395.99
0.0015,2769934.62
0.0014,2665253.04
0.0013,4013165.85
0.0011,7230922.51
0.0009,11785468.2
0.0007,3239909.34
0.0006,7306199.2
0.0008,5309204.17
0.0006,4720260.68
0.0003,5511305.74
0.0002,7659874.66
0.0001,10378522.2
0.0,18348772.6
0.0001,57292362.3
0.0003,34353798.0
0.0004,10625602.1
0.0006,29761648.6
0.0009,20673855.6
0.0011,3475008.1
0.0013,7890944.15
0.0016,9930873.75
0.0022,8968491.35
0.0031,10113998.3
0.004,41453138.5
0.0052,17939310.6
0.0064,29546083.1
0.008,5913624.37
0.0094,8786998.15
0.0113,5667412.19
0.0136,3655090.29
0.0159,5112302.44
0.0183,8855508.27
0.0212,6463175.39
0.0237,8596972.91
0.0281,1736700.59
0.0719,367167.205
0.2739,306471.967
0.332,294942.736
0.3451,280748.849
0.3502,270026.785
0.3577,259491.86
0.3621,244348.675
0.3709,243095.841
0.3772,228986.021
0.383,227348.778
0.3891,208866.127
0.393,208026.269
0.3993,203406.866
0.4052,201324.936
0.411,199360.878
0.4171,193976.453
0.4233,191846.704
0.4278,187325.782
0.4333,188396.856
0.4398,183743.956
0.4451,176682.15
0.4508,172665.999
0.4572,167615.754
0.4621,163811.844
0.4679,161457.451
0.4729,160030.363
0.4783,158044.55
0.4843,156376.98
0.4896,154292.404
0.4952,151646.471
0.5014,148678.695
0.5072,146943.629
0.5137,143321.478
0.5163,138504.665
0.5253,137565.362
0.5277,136448.569
0.5352,135323.152
0.5362,132728.509
0.5421,129813.837
0.5478,128685.609
0.5526,127595.262
0.5574,123987.997
0.5642,118921.263
0.5729,118222.81
0.5782,118222.85
0.5834,115601.68
0.5893,115013.731
0.5922,114716.058
