Load (lbf),Resistance (Ohms)
0.0023,4090190.54
0.0023,4033454.63
0.0024,4073892.14
0.0025,4076520.34
0.0024,4103370.63
0.0023,4045524.77
0.0024,3958647.32
0.0024,3911591.26
0.0024,3843791.56
0.0024,3875377.69
0.0023,3879123.6
0.0024,3957638.28
0.0024,4739575.76
0.0024,4666404.78
0.0023,4249133.31
0.0024,3918730.29
0.0024,3505717.62
0.0024,4138538.15
0.0024,4466627.86
0.0024,3804083.0
0.0024,3434421.61
0.0024,3896004.38
0.0024,6457298.56
0.0023,5356285.73
0.0024,4916673.5
0.0025,4298919.89
0.0024,3979560.73
0.0024,4648814.05
0.0024,5312520.14
0.0024,4576518.25
0.0023,4089600.33
0.0021,4622205.66
0.002,4196236.72
0.0019,4323782.48
0.0019,3818605.66
0.0017,4643447.54
0.0016,2406803.38
0.0012,3421128.33
0.0011,4267686.77
0.0008,4761259.94
0.0004,5216222.38
0.0001,5434832.12
0.0015,3770091.43
0.0035,4912361.56
0.0057,5396552.27
0.0082,5086207.89
0.0114,7248491.16
0.0148,5251195.79
0.0188,2975789.56
0.0277,529864.966
0.1682,291462.448
0.3965,221362.032
0.4544,187496.818
0.4786,178160.561
0.503,165720.548
0.5263,167628.149
0.5369,154109.286
0.5549,148760.557
0.5735,136214.993
0.5952,122462.563
0.6142,113963.076
0.6337,106986.503
0.6521,105219.869
0.668,99053.8497
0.6804,92178.3296
0.7091,88718.291
0.7294,86750.6362
0.7465,82748.1475
0.7655,78627.1112
0.7837,75361.3971
0.8022,71109.5763
0.8228,68547.4357
0.8438,64873.1297
0.8614,63489.8546
0.8802,60785.754
0.8977,56100.9585
0.9233,54250.6263
0.9331,51986.9494
0.9544,48848.4891
0.9743,46362.8509
0.995,43159.7408
1.0139,41765.0445
1.0325,40159.8347
1.0508,38882.7466
1.0699,38099.706
1.086,37168.7481
1.1082,36012.6736
1.1282,35174.8969
1.1446,34265.7255
1.163,33590.0463
1.1816,32433.5102
1.2041,31923.8057
1.2217,30789.7961
1.2405,29859.4156
1.2586,28828.0497
1.2766,28045.2431
1.2961,27341.016
1.3201,26957.2667
1.3326,26100.1541
1.3519,25557.6802
1.3735,24654.2655
1.3917,23637.4221
1.4105,22984.6431
1.4295,22563.6413
1.446,21902.4078
1.466,21480.9844
1.4785,20430.1031
1.5085,20074.4028
1.5242,19558.3451
1.5423,19169.5436
1.5611,18845.0956
1.5777,18536.651
1.6023,18045.2157
1.6211,17803.2229
1.6403,17437.2448
1.6585,16932.6205
1.6694,16439.9317
1.6989,16409.3159
1.7235,16242.4394
1.7269,16020.4106
1.7482,15561.6458
1.7726,15175.1597
1.7877,14901.0675
1.8055,14732.2603
1.8281,14573.8615
1.8474,14399.491
1.8662,14169.3907
1.8874,14071.1325
1.9044,13744.5402
1.9119,13532.7192
1.9449,12972.2442
1.9842,13119.2429
1.9811,12832.9378
1.9913,12768.8845
2.0128,12707.2026
2.0302,12507.9279
2.0484,12360.274
2.0662,12081.2375
2.0885,11972.6677
2.1086,11717.7619
2.1285,11685.1528
2.1463,11582.3417
2.1658,11349.235
2.1834,11213.3477
2.2044,11081.8221
2.211,11083.5639
2.2428,10785.7204
2.2792,10703.3388
2.2777,10774.2532
2.291,10642.1458
2.3128,10348.5317
2.3297,10324.8697
2.3542,10127.4514
2.3731,10027.3695
2.3951,9815.09022
2.4209,9858.20642
2.4372,9550.87123
2.4611,9539.26243
2.4773,9417.00561
2.4964,9374.11545
2.5209,9171.68547
2.5374,9009.32215
2.5572,9006.60831
2.5772,8911.37614
2.5954,8818.602
2.6139,8550.02509
2.6342,8639.1439
2.6537,8581.63898
2.6732,8450.47226
2.6837,8464.12776
2.7085,8304.75075
2.7312,8423.80323
2.7508,8442.48705
2.7586,8321.72792
2.7639,8009.64477
2.8215,7902.71713
2.8307,7995.76392
2.8338,7971.75019
2.8504,7828.38263
2.8758,7836.03227
2.8877,7623.52673
2.9271,7406.97727
2.9919,7293.09581
2.9846,7595.32147
2.9797,7522.34086
2.9762,7512.06509
2.9739,7435.09831
2.9931,7358.6359
3.0253,7462.54565
3.0476,7330.75021
3.0694,7130.06574
3.0941,7118.35942
3.1135,7136.80638
3.1315,7090.41017
3.151,7200.37981
3.1715,7118.66364
3.1887,7001.92718
3.2072,6829.93174
3.2322,6758.74843
3.2582,6826.28568
3.2671,6683.90447
3.2832,6619.66637
3.3034,6619.13139
3.3245,6499.62451
3.3403,6412.66939
3.3583,6597.01431
3.3825,6381.53219
3.404,6417.50358
3.4228,6164.52575
3.441,6388.37717
3.4614,6247.81735
3.4794,6129.68971
3.4986,6171.86225
3.5156,5971.29269
3.5358,6088.22891
3.552,6023.36326
3.5728,6029.11332
3.5963,6000.19876
3.6119,5914.61331
3.6347,5812.17663
3.6542,5867.27753
3.6706,5710.06158
3.6866,5863.11609
3.7065,5712.5174
3.7309,5679.54901
3.7469,5702.82301
3.7641,5649.03849
3.7868,5559.0206
3.8046,5459.65161
3.8192,5447.65235
3.8431,5533.41745
