Sensor, Timestamp, Value
LoadCell, 2024-05-14 12:53:35.835105, None
DMM, 2024-05-14 12:53:35.835105, 2529233.74
LoadCell, 2024-05-14 12:53:36.526685, 0.0
DMM, 2024-05-14 12:53:36.526685, 2519513.7
LoadCell, 2024-05-14 12:53:36.561282, None
DMM, 2024-05-14 12:53:36.561282, 2526246.2
LoadCell, 2024-05-14 12:53:36.585283, None
DMM, 2024-05-14 12:53:36.585283, 2531134.61
LoadCell, 2024-05-14 12:53:36.601036, None
DMM, 2024-05-14 12:53:36.601036, 2524434.98
LoadCell, 2024-05-14 12:53:36.619703, None
DMM, 2024-05-14 12:53:36.619703, 2522969.16
LoadCell, 2024-05-14 12:53:36.645155, 0.0
DMM, 2024-05-14 12:53:36.645155, 2520720.93
LoadCell, 2024-05-14 12:53:36.665252, None
DMM, 2024-05-14 12:53:36.665252, 2525360.9
LoadCell, 2024-05-14 12:53:36.684421, None
DMM, 2024-05-14 12:53:36.684421, 2535825.2
LoadCell, 2024-05-14 12:53:36.700992, None
DMM, 2024-05-14 12:53:36.700992, 2529097.13
LoadCell, 2024-05-14 12:53:36.722792, None
DMM, 2024-05-14 12:53:36.722792, 2523726.47
LoadCell, 2024-05-14 12:53:36.744851, 0.0
DMM, 2024-05-14 12:53:36.744851, 2521557.81
LoadCell, 2024-05-14 12:53:36.765471, None
DMM, 2024-05-14 12:53:36.765471, 2522983.6
LoadCell, 2024-05-14 12:53:36.784039, None
DMM, 2024-05-14 12:53:36.784039, 2532616.6
LoadCell, 2024-05-14 12:53:36.800417, None
DMM, 2024-05-14 12:53:36.800417, 2522321.43
LoadCell, 2024-05-14 12:53:36.816575, None
DMM, 2024-05-14 12:53:36.816575, 2506184.85
LoadCell, 2024-05-14 12:53:36.845306, 0.0
DMM, 2024-05-14 12:53:36.845306, 2504738.75
LoadCell, 2024-05-14 12:53:36.864856, None
DMM, 2024-05-14 12:53:36.864856, 2503512.01
LoadCell, 2024-05-14 12:53:36.882452, None
DMM, 2024-05-14 12:53:36.882452, 2510788.7
LoadCell, 2024-05-14 12:53:36.899645, None
DMM, 2024-05-14 12:53:36.899645, 2504465.08
LoadCell, 2024-05-14 12:53:36.927676, None
DMM, 2024-05-14 12:53:36.927676, 2497682.97
LoadCell, 2024-05-14 12:53:36.944664, 0.0
DMM, 2024-05-14 12:53:36.944664, 2504413.26
LoadCell, 2024-05-14 12:53:36.965140, None
DMM, 2024-05-14 12:53:36.965140, 2513544.97
LoadCell, 2024-05-14 12:53:36.984153, None
DMM, 2024-05-14 12:53:36.984153, 2519625.66
LoadCell, 2024-05-14 12:53:37.001524, None
DMM, 2024-05-14 12:53:37.001524, 2509864.91
LoadCell, 2024-05-14 12:53:37.019869, None
DMM, 2024-05-14 12:53:37.019869, 2498671.74
LoadCell, 2024-05-14 12:53:37.045791, 0.0
DMM, 2024-05-14 12:53:37.045791, 2502687.5
LoadCell, 2024-05-14 12:53:37.064933, None
DMM, 2024-05-14 12:53:37.064933, 2514604.0
LoadCell, 2024-05-14 12:53:37.084133, None
DMM, 2024-05-14 12:53:37.084133, 2522608.94
LoadCell, 2024-05-14 12:53:37.100878, None
DMM, 2024-05-14 12:53:37.100878, 2512526.37
LoadCell, 2024-05-14 12:53:37.114571, None
DMM, 2024-05-14 12:53:37.114571, 2500698.33
LoadCell, 2024-05-14 12:53:37.146239, 0.0001
DMM, 2024-05-14 12:53:37.146239, 2503348.96
LoadCell, 2024-05-14 12:53:37.165447, None
DMM, 2024-05-14 12:53:37.165447, 2508178.73
LoadCell, 2024-05-14 12:53:37.183070, None
DMM, 2024-05-14 12:53:37.183070, 2516999.43
LoadCell, 2024-05-14 12:53:37.199567, None
DMM, 2024-05-14 12:53:37.199567, 2515755.37
LoadCell, 2024-05-14 12:53:37.227650, None
DMM, 2024-05-14 12:53:37.227650, 2507376.19
LoadCell, 2024-05-14 12:53:37.245359, 0.0
DMM, 2024-05-14 12:53:37.245359, 2494740.41
