Sensor, Timestamp, Value
LoadCell, 2024-05-14 15:38:28.364017, None
DMM, 2024-05-14 15:38:28.364017, 3509009.82
LoadCell, 2024-05-14 15:38:28.988495, 0.0002
DMM, 2024-05-14 15:38:28.988495, 3512589.73
LoadCell, 2024-05-14 15:38:29.009047, None
DMM, 2024-05-14 15:38:29.009047, 3516045.37
LoadCell, 2024-05-14 15:38:29.027878, None
DMM, 2024-05-14 15:38:29.027878, 3522042.8
LoadCell, 2024-05-14 15:38:29.047702, None
DMM, 2024-05-14 15:38:29.047702, 3528803.44
LoadCell, 2024-05-14 15:38:29.067491, None
DMM, 2024-05-14 15:38:29.067491, 3532171.78
LoadCell, 2024-05-14 15:38:29.087375, 0.0002
DMM, 2024-05-14 15:38:29.087375, 3525338.61
LoadCell, 2024-05-14 15:38:29.104632, None
DMM, 2024-05-14 15:38:29.104632, 3524020.22
LoadCell, 2024-05-14 15:38:29.129501, None
DMM, 2024-05-14 15:38:29.129501, 3528856.03
LoadCell, 2024-05-14 15:38:29.147891, None
DMM, 2024-05-14 15:38:29.147891, 3538105.91
LoadCell, 2024-05-14 15:38:29.167288, None
DMM, 2024-05-14 15:38:29.167288, 3534989.48
LoadCell, 2024-05-14 15:38:29.183833, 0.0002
DMM, 2024-05-14 15:38:29.183833, 3520455.05
LoadCell, 2024-05-14 15:38:29.199455, None
DMM, 2024-05-14 15:38:29.199455, 3519731.32
LoadCell, 2024-05-14 15:38:29.230095, None
DMM, 2024-05-14 15:38:29.230095, 3533237.28
LoadCell, 2024-05-14 15:38:29.248032, None
DMM, 2024-05-14 15:38:29.248032, 3543616.03
LoadCell, 2024-05-14 15:38:29.267448, None
DMM, 2024-05-14 15:38:29.267448, 3526630.31
LoadCell, 2024-05-14 15:38:29.284180, 0.0001
DMM, 2024-05-14 15:38:29.284180, 3511510.58
LoadCell, 2024-05-14 15:38:29.300669, None
DMM, 2024-05-14 15:38:29.300669, 3515093.67
LoadCell, 2024-05-14 15:38:29.328129, None
DMM, 2024-05-14 15:38:29.328129, 3516944.52
LoadCell, 2024-05-14 15:38:29.349851, None
DMM, 2024-05-14 15:38:29.349851, 3526786.63
LoadCell, 2024-05-14 15:38:29.367441, None
DMM, 2024-05-14 15:38:29.367441, 3525136.54
LoadCell, 2024-05-14 15:38:29.378361, 0.0002
DMM, 2024-05-14 15:38:29.378361, 3517753.17
LoadCell, 2024-05-14 15:38:29.401483, None
DMM, 2024-05-14 15:38:29.401483, 3517354.72
LoadCell, 2024-05-14 15:38:29.428063, None
DMM, 2024-05-14 15:38:29.428063, 3528548.79
LoadCell, 2024-05-14 15:38:29.450190, None
DMM, 2024-05-14 15:38:29.450190, 3538281.8
LoadCell, 2024-05-14 15:38:29.468346, None
DMM, 2024-05-14 15:38:29.468346, 3532844.96
LoadCell, 2024-05-14 15:38:29.483222, 0.0003
DMM, 2024-05-14 15:38:29.483222, 3516458.43
LoadCell, 2024-05-14 15:38:29.497465, None
DMM, 2024-05-14 15:38:29.497465, 3509755.34
LoadCell, 2024-05-14 15:38:29.528133, None
DMM, 2024-05-14 15:38:29.528133, 3506275.48
LoadCell, 2024-05-14 15:38:29.547899, None
DMM, 2024-05-14 15:38:29.547899, 3516761.54
LoadCell, 2024-05-14 15:38:29.568548, None
DMM, 2024-05-14 15:38:29.568548, 3518412.18
