Sensor, Timestamp, Value
LoadCell, 2024-05-15 15:45:26.880908, None
DMM, 2024-05-15 15:45:26.880908, 4627690.64
LoadCell, 2024-05-15 15:45:27.511153, 0.0001
DMM, 2024-05-15 15:45:27.511153, 4458271.4
LoadCell, 2024-05-15 15:45:27.536668, None
DMM, 2024-05-15 15:45:27.536668, 4470216.92
LoadCell, 2024-05-15 15:45:27.555199, None
DMM, 2024-05-15 15:45:27.555199, 4490980.98
LoadCell, 2024-05-15 15:45:27.576743, None
DMM, 2024-05-15 15:45:27.576743, 4484260.59
LoadCell, 2024-05-15 15:45:27.596603, None
DMM, 2024-05-15 15:45:27.596603, 4483790.35
LoadCell, 2024-05-15 15:45:27.616784, 0.0
DMM, 2024-05-15 15:45:27.616784, 4466934.53
LoadCell, 2024-05-15 15:45:27.636482, None
DMM, 2024-05-15 15:45:27.636482, 4445256.81
LoadCell, 2024-05-15 15:45:27.657067, None
DMM, 2024-05-15 15:45:27.657067, 4432772.24
LoadCell, 2024-05-15 15:45:27.671927, None
DMM, 2024-05-15 15:45:27.671927, 4413573.5
LoadCell, 2024-05-15 15:45:27.696093, None
DMM, 2024-05-15 15:45:27.696093, 4429296.16
LoadCell, 2024-05-15 15:45:27.717020, 0.0
DMM, 2024-05-15 15:45:27.717020, 4450413.94
LoadCell, 2024-05-15 15:45:27.736365, None
DMM, 2024-05-15 15:45:27.736365, 4446846.07
LoadCell, 2024-05-15 15:45:27.754861, None
DMM, 2024-05-15 15:45:27.754861, 4528082.44
LoadCell, 2024-05-15 15:45:27.771887, None
DMM, 2024-05-15 15:45:27.771887, 4559631.84
LoadCell, 2024-05-15 15:45:27.797010, None
DMM, 2024-05-15 15:45:27.797010, 4597082.1
LoadCell, 2024-05-15 15:45:27.816983, 0.0
DMM, 2024-05-15 15:45:27.816983, 4556068.1
LoadCell, 2024-05-15 15:45:27.836836, None
DMM, 2024-05-15 15:45:27.836836, 4438343.22
