Sensor, Timestamp, Value
LoadCell, 2024-05-15 16:15:21.138202, None
DMM, 2024-05-15 16:15:21.138202, 4617311.9
LoadCell, 2024-05-15 16:15:21.756903, 0.0006
DMM, 2024-05-15 16:15:21.756903, 4632872.36
LoadCell, 2024-05-15 16:15:21.785428, None
DMM, 2024-05-15 16:15:21.785428, 4645900.66
LoadCell, 2024-05-15 16:15:21.806437, None
DMM, 2024-05-15 16:15:21.806437, 4649921.54
LoadCell, 2024-05-15 16:15:21.824751, None
DMM, 2024-05-15 16:15:21.824751, 4632540.83
LoadCell, 2024-05-15 16:15:21.844422, None
DMM, 2024-05-15 16:15:21.844422, 4638845.32
LoadCell, 2024-05-15 16:15:21.862187, 0.0007
DMM, 2024-05-15 16:15:21.862187, 4638133.6
LoadCell, 2024-05-15 16:15:21.880372, None
DMM, 2024-05-15 16:15:21.880372, 4637612.84
LoadCell, 2024-05-15 16:15:21.906583, None
DMM, 2024-05-15 16:15:21.906583, 4626263.03
LoadCell, 2024-05-15 16:15:21.925385, None
DMM, 2024-05-15 16:15:21.925385, 4621782.08
LoadCell, 2024-05-15 16:15:21.944924, None
DMM, 2024-05-15 16:15:21.944924, 4636496.05
LoadCell, 2024-05-15 16:15:21.961615, 0.0006
DMM, 2024-05-15 16:15:21.961615, 4631365.43
LoadCell, 2024-05-15 16:15:21.978235, None
DMM, 2024-05-15 16:15:21.978235, 4633020.96
LoadCell, 2024-05-15 16:15:22.006304, None
DMM, 2024-05-15 16:15:22.006304, 4628934.25
LoadCell, 2024-05-15 16:15:22.024630, None
DMM, 2024-05-15 16:15:22.024630, 4634317.13
LoadCell, 2024-05-15 16:15:22.043845, None
DMM, 2024-05-15 16:15:22.043845, 4631768.03
LoadCell, 2024-05-15 16:15:22.061480, 0.0007
DMM, 2024-05-15 16:15:22.061480, 4628226.83
LoadCell, 2024-05-15 16:15:22.077962, None
DMM, 2024-05-15 16:15:22.077962, 4638629.1
LoadCell, 2024-05-15 16:15:22.104843, None
DMM, 2024-05-15 16:15:22.104843, 4641284.04
LoadCell, 2024-05-15 16:15:22.126132, None
DMM, 2024-05-15 16:15:22.126132, 4625210.1
LoadCell, 2024-05-15 16:15:22.144741, None
DMM, 2024-05-15 16:15:22.144741, 4619231.5
LoadCell, 2024-05-15 16:15:22.161860, 0.0007
DMM, 2024-05-15 16:15:22.161860, 4628147.38
LoadCell, 2024-05-15 16:15:22.179279, None
DMM, 2024-05-15 16:15:22.179279, 4641552.59
LoadCell, 2024-05-15 16:15:22.204282, None
DMM, 2024-05-15 16:15:22.204282, 4640382.92
LoadCell, 2024-05-15 16:15:22.226420, None
DMM, 2024-05-15 16:15:22.226420, 4615288.25
LoadCell, 2024-05-15 16:15:22.244383, None
DMM, 2024-05-15 16:15:22.244383, 4606866.55
LoadCell, 2024-05-15 16:15:22.264248, 0.0007
DMM, 2024-05-15 16:15:22.264248, 4617070.72
LoadCell, 2024-05-15 16:15:22.280328, None
DMM, 2024-05-15 16:15:22.280328, 4642737.17
LoadCell, 2024-05-15 16:15:22.304379, None
DMM, 2024-05-15 16:15:22.304379, 4645001.76
LoadCell, 2024-05-15 16:15:22.324971, None
DMM, 2024-05-15 16:15:22.324971, 4634810.6
LoadCell, 2024-05-15 16:15:22.344951, None
DMM, 2024-05-15 16:15:22.344951, 4639176.11
LoadCell, 2024-05-15 16:15:22.360837, 0.0006
DMM, 2024-05-15 16:15:22.360837, 4643813.56
LoadCell, 2024-05-15 16:15:22.382339, None
DMM, 2024-05-15 16:15:22.382339, 4659279.79
LoadCell, 2024-05-15 16:15:22.404272, None
DMM, 2024-05-15 16:15:22.404272, 4664487.11
LoadCell, 2024-05-15 16:15:22.425089, None
DMM, 2024-05-15 16:15:22.425089, 4639833.83
LoadCell, 2024-05-15 16:15:22.445356, None
DMM, 2024-05-15 16:15:22.445356, 4627358.0
LoadCell, 2024-05-15 16:15:22.461974, 0.0007
DMM, 2024-05-15 16:15:22.461974, 4628016.41
LoadCell, 2024-05-15 16:15:22.472580, None
DMM, 2024-05-15 16:15:22.472580, 4638123.04
LoadCell, 2024-05-15 16:15:22.504329, None
DMM, 2024-05-15 16:15:22.504329, 4639035.51
LoadCell, 2024-05-15 16:15:22.524667, None
DMM, 2024-05-15 16:15:22.524667, 4628054.7
LoadCell, 2024-05-15 16:15:22.544474, None
DMM, 2024-05-15 16:15:22.544474, 4621351.94
LoadCell, 2024-05-15 16:15:22.561566, 0.0006
DMM, 2024-05-15 16:15:22.561566, 4634156.63
LoadCell, 2024-05-15 16:15:22.578319, None
DMM, 2024-05-15 16:15:22.578319, 4648850.5
LoadCell, 2024-05-15 16:15:22.604310, None
DMM, 2024-05-15 16:15:22.604310, 4657840.39
LoadCell, 2024-05-15 16:15:22.624734, None
DMM, 2024-05-15 16:15:22.624734, 4656318.58
LoadCell, 2024-05-15 16:15:22.644250, None
DMM, 2024-05-15 16:15:22.644250, 4647351.58
LoadCell, 2024-05-15 16:15:22.661061, 0.0007
DMM, 2024-05-15 16:15:22.661061, 4634917.96
LoadCell, 2024-05-15 16:15:22.678230, None
DMM, 2024-05-15 16:15:22.678230, 4644763.42
LoadCell, 2024-05-15 16:15:22.704426, None
DMM, 2024-05-15 16:15:22.704426, 4654327.57
LoadCell, 2024-05-15 16:15:22.725069, None
DMM, 2024-05-15 16:15:22.725069, 4648423.86
LoadCell, 2024-05-15 16:15:22.744895, None
DMM, 2024-05-15 16:15:22.744895, 4649228.73
LoadCell, 2024-05-15 16:15:22.761565, 0.0006
DMM, 2024-05-15 16:15:22.761565, 4657084.63
LoadCell, 2024-05-15 16:15:22.779295, None
DMM, 2024-05-15 16:15:22.779295, 4661291.36
LoadCell, 2024-05-15 16:15:22.804289, None
DMM, 2024-05-15 16:15:22.804289, 4655545.58
LoadCell, 2024-05-15 16:15:22.824797, None
DMM, 2024-05-15 16:15:22.824797, 4622214.0
LoadCell, 2024-05-15 16:15:22.844279, None
DMM, 2024-05-15 16:15:22.844279, 4607660.42
LoadCell, 2024-05-15 16:15:22.861139, 0.0006
DMM, 2024-05-15 16:15:22.861139, 4617758.76
LoadCell, 2024-05-15 16:15:22.876494, None
DMM, 2024-05-15 16:15:22.876494, 4622632.93
LoadCell, 2024-05-15 16:15:22.891765, None
DMM, 2024-05-15 16:15:22.891765, 4638555.51
LoadCell, 2024-05-15 16:15:22.925360, None
DMM, 2024-05-15 16:15:22.925360, 4626700.49
LoadCell, 2024-05-15 16:15:22.944910, None
DMM, 2024-05-15 16:15:22.944910, 4619880.26
LoadCell, 2024-05-15 16:15:22.963359, 0.0006
DMM, 2024-05-15 16:15:22.963359, 4637959.68
LoadCell, 2024-05-15 16:15:22.978021, None
DMM, 2024-05-15 16:15:22.978021, 4659832.88
LoadCell, 2024-05-15 16:15:23.007207, None
DMM, 2024-05-15 16:15:23.007207, 4669082.38
LoadCell, 2024-05-15 16:15:23.024901, None
DMM, 2024-05-15 16:15:23.024901, 4653747.98
LoadCell, 2024-05-15 16:15:23.044029, None
DMM, 2024-05-15 16:15:23.044029, 4653791.77
LoadCell, 2024-05-15 16:15:23.061702, 0.0007
DMM, 2024-05-15 16:15:23.061702, 4656030.91
LoadCell, 2024-05-15 16:15:23.078148, None
DMM, 2024-05-15 16:15:23.078148, 4654572.05
LoadCell, 2024-05-15 16:15:23.105634, None
DMM, 2024-05-15 16:15:23.105634, 4669617.03
LoadCell, 2024-05-15 16:15:23.124408, None
DMM, 2024-05-15 16:15:23.124408, 4656838.62
LoadCell, 2024-05-15 16:15:23.144038, None
DMM, 2024-05-15 16:15:23.144038, 4652291.01
LoadCell, 2024-05-15 16:15:23.161426, 0.0006
DMM, 2024-05-15 16:15:23.161426, 4658625.95
LoadCell, 2024-05-15 16:15:23.178153, None
DMM, 2024-05-15 16:15:23.178153, 4668752.79
LoadCell, 2024-05-15 16:15:23.204274, None
DMM, 2024-05-15 16:15:23.204274, 4677038.62
LoadCell, 2024-05-15 16:15:23.226014, None
DMM, 2024-05-15 16:15:23.226014, 4665287.14
LoadCell, 2024-05-15 16:15:23.243868, None
DMM, 2024-05-15 16:15:23.243868, 4657559.94
LoadCell, 2024-05-15 16:15:23.261233, 0.0006
DMM, 2024-05-15 16:15:23.261233, 4657819.95
LoadCell, 2024-05-15 16:15:23.277074, None
DMM, 2024-05-15 16:15:23.277074, 4662570.39
LoadCell, 2024-05-15 16:15:23.304852, None
DMM, 2024-05-15 16:15:23.304852, 4666972.96
