Sensor, Timestamp, Value
LoadCell, 2024-05-15 14:04:41.519183, None
DMM, 2024-05-15 14:04:41.519183,3347298.36
LoadCell, 2024-05-15 14:04:42.150834,0.0029
DMM, 2024-05-15 14:04:42.150834,3342880.47
LoadCell, 2024-05-15 14:04:42.174372, None
DMM, 2024-05-15 14:04:42.174372,3337320.08
LoadCell, 2024-05-15 14:04:42.185365, None
DMM, 2024-05-15 14:04:42.185365,3324975.38
LoadCell, 2024-05-15 14:04:42.212717, None
DMM, 2024-05-15 14:04:42.212717,3323955.27
LoadCell, 2024-05-15 14:04:42.233180, None
DMM, 2024-05-15 14:04:42.233180,3326799.2
LoadCell, 2024-05-15 14:04:42.253165,0.0029
DMM, 2024-05-15 14:04:42.253165,3338682.66
LoadCell, 2024-05-15 14:04:42.272697, None
DMM, 2024-05-15 14:04:42.272697,3345377.31
LoadCell, 2024-05-15 14:04:42.283245, None
DMM, 2024-05-15 14:04:42.283245,3345638.89
LoadCell, 2024-05-15 14:04:42.312633, None
DMM, 2024-05-15 14:04:42.312633,3348134.38
LoadCell, 2024-05-15 14:04:42.333266, None
DMM, 2024-05-15 14:04:42.333266,3343294.58
LoadCell, 2024-05-15 14:04:42.352568,0.003
DMM, 2024-05-15 14:04:42.352568,3349363.87
LoadCell, 2024-05-15 14:04:42.369818, None
DMM, 2024-05-15 14:04:42.369818,3348255.72
LoadCell, 2024-05-15 14:04:42.386248, None
DMM, 2024-05-15 14:04:42.386248,3342592.43
LoadCell, 2024-05-15 14:04:42.412858, None
DMM, 2024-05-15 14:04:42.412858,3351419.2
LoadCell, 2024-05-15 14:04:42.433258, None
DMM, 2024-05-15 14:04:42.433258,3348591.72
LoadCell, 2024-05-15 14:04:42.453206,0.003
DMM, 2024-05-15 14:04:42.453206,3346589.89
LoadCell, 2024-05-15 14:04:42.470615, None
DMM, 2024-05-15 14:04:42.470615,3347942.16
LoadCell, 2024-05-15 14:04:42.486158, None
DMM, 2024-05-15 14:04:42.486158,3333511.34
LoadCell, 2024-05-15 14:04:42.515185, None
DMM, 2024-05-15 14:04:42.515185,3334440.84
LoadCell, 2024-05-15 14:04:42.533190, None
DMM, 2024-05-15 14:04:42.533190,3344141.72
LoadCell, 2024-05-15 14:04:42.552442,0.003
DMM, 2024-05-15 14:04:42.552442,3344041.31
LoadCell, 2024-05-15 14:04:42.570511, None
DMM, 2024-05-15 14:04:42.570511,3343689.99
LoadCell, 2024-05-15 14:04:42.586547, None
DMM, 2024-05-15 14:04:42.586547,3346832.96
LoadCell, 2024-05-15 14:04:42.614973, None
DMM, 2024-05-15 14:04:42.614973,3339398.58
LoadCell, 2024-05-15 14:04:42.633104, None
DMM, 2024-05-15 14:04:42.633104,3348394.08
LoadCell, 2024-05-15 14:04:42.652870,0.0029
DMM, 2024-05-15 14:04:42.652870,3354859.22
LoadCell, 2024-05-15 14:04:42.671506, None
DMM, 2024-05-15 14:04:42.671506,3346480.48
LoadCell, 2024-05-15 14:04:42.686356, None
DMM, 2024-05-15 14:04:42.686356,3329566.23
LoadCell, 2024-05-15 14:04:42.704914, None
DMM, 2024-05-15 14:04:42.704914,3324637.19
LoadCell, 2024-05-15 14:04:42.731021, None
DMM, 2024-05-15 14:04:42.731021,3337731.84
LoadCell, 2024-05-15 14:04:42.753092,0.003
DMM, 2024-05-15 14:04:42.753092,3343282.43
LoadCell, 2024-05-15 14:04:42.770420, None
DMM, 2024-05-15 14:04:42.770420,3351496.31
LoadCell, 2024-05-15 14:04:42.790790, None
DMM, 2024-05-15 14:04:42.790790,3357645.49
LoadCell, 2024-05-15 14:04:42.812513, None
DMM, 2024-05-15 14:04:42.812513,3358733.8
LoadCell, 2024-05-15 14:04:42.835397, None
DMM, 2024-05-15 14:04:42.835397,3359201.57
LoadCell, 2024-05-15 14:04:42.852709,0.003
DMM, 2024-05-15 14:04:42.852709,3366582.52
LoadCell, 2024-05-15 14:04:42.869510, None
DMM, 2024-05-15 14:04:42.869510,3373536.09
LoadCell, 2024-05-15 14:04:42.891751, None
DMM, 2024-05-15 14:04:42.891751,3364358.75
LoadCell, 2024-05-15 14:04:42.912873, None
