Sensor, Timestamp, Value
LoadCell, 2024-05-14 11:51:59.962249, None
DMM, 2024-05-14 11:51:59.962249, 7192390.19
LoadCell, 2024-05-14 11:52:00.580596, 0.0001
DMM, 2024-05-14 11:52:00.580596, 7370122.32
LoadCell, 2024-05-14 11:52:00.610065, None
DMM, 2024-05-14 11:52:00.610065, 7419088.29
LoadCell, 2024-05-14 11:52:00.629374, None
DMM, 2024-05-14 11:52:00.629374, 7368716.73
LoadCell, 2024-05-14 11:52:00.651610, None
DMM, 2024-05-14 11:52:00.651610, 7292859.1
LoadCell, 2024-05-14 11:52:00.671444, None
DMM, 2024-05-14 11:52:00.671444, 7248925.48
LoadCell, 2024-05-14 11:52:00.690836, 0.0002
DMM, 2024-05-14 11:52:00.690836, 7245964.06
LoadCell, 2024-05-14 11:52:00.711070, None
DMM, 2024-05-14 11:52:00.711070, 7266865.21
LoadCell, 2024-05-14 11:52:00.732017, None
DMM, 2024-05-14 11:52:00.732017, 7312446.5
LoadCell, 2024-05-14 11:52:00.751297, None
DMM, 2024-05-14 11:52:00.751297, 7348179.86
LoadCell, 2024-05-14 11:52:00.771764, None
DMM, 2024-05-14 11:52:00.771764, 7358830.11
LoadCell, 2024-05-14 11:52:00.791181, 0.0001
DMM, 2024-05-14 11:52:00.791181, 7318708.34
LoadCell, 2024-05-14 11:52:00.809441, None
DMM, 2024-05-14 11:52:00.809441, 7343053.03
LoadCell, 2024-05-14 11:52:00.825905, None
DMM, 2024-05-14 11:52:00.825905, 7444191.09
LoadCell, 2024-05-14 11:52:00.852230, None
DMM, 2024-05-14 11:52:00.852230, 7558137.53
LoadCell, 2024-05-14 11:52:00.871116, None
DMM, 2024-05-14 11:52:00.871116, 7682221.54
LoadCell, 2024-05-14 11:52:00.891423, 0.0001
DMM, 2024-05-14 11:52:00.891423, 7842997.33
LoadCell, 2024-05-14 11:52:00.911437, None
DMM, 2024-05-14 11:52:00.911437, 8012146.74
LoadCell, 2024-05-14 11:52:00.923479, None
DMM, 2024-05-14 11:52:00.923479, 8157458.22
LoadCell, 2024-05-14 11:52:00.953331, None
DMM, 2024-05-14 11:52:00.953331, 8172755.02
LoadCell, 2024-05-14 11:52:00.971387, None
DMM, 2024-05-14 11:52:00.971387, 8225692.85
LoadCell, 2024-05-14 11:52:00.990803, 0.0001
DMM, 2024-05-14 11:52:00.990803, 8259398.36
LoadCell, 2024-05-14 11:52:01.009342, None
DMM, 2024-05-14 11:52:01.009342, 8306482.26
LoadCell, 2024-05-14 11:52:01.025894, None
DMM, 2024-05-14 11:52:01.025894, 8455436.55
LoadCell, 2024-05-14 11:52:01.053139, None
DMM, 2024-05-14 11:52:01.053139, 8455800.84
LoadCell, 2024-05-14 11:52:01.071625, None
DMM, 2024-05-14 11:52:01.071625, 8398880.94
LoadCell, 2024-05-14 11:52:01.091493, 0.0002
DMM, 2024-05-14 11:52:01.091493, 8475773.17
LoadCell, 2024-05-14 11:52:01.109113, None
DMM, 2024-05-14 11:52:01.109113, 8675787.45
LoadCell, 2024-05-14 11:52:01.128433, None
DMM, 2024-05-14 11:52:01.128433, 8814310.16
LoadCell, 2024-05-14 11:52:01.151189, None
DMM, 2024-05-14 11:52:01.151189, 8870810.59
LoadCell, 2024-05-14 11:52:01.173001, None
DMM, 2024-05-14 11:52:01.173001, 8828446.2
LoadCell, 2024-05-14 11:52:01.191409, 0.0001
DMM, 2024-05-14 11:52:01.191409, 8789096.54
LoadCell, 2024-05-14 11:52:01.209292, None
DMM, 2024-05-14 11:52:01.209292, 8825377.68
LoadCell, 2024-05-14 11:52:01.229462, None
DMM, 2024-05-14 11:52:01.229462, 8906302.47
LoadCell, 2024-05-14 11:52:01.251343, None
DMM, 2024-05-14 11:52:01.251343, 8869536.96
LoadCell, 2024-05-14 11:52:01.272369, None
DMM, 2024-05-14 11:52:01.272369, 8834761.37
LoadCell, 2024-05-14 11:52:01.291007, 0.0002
DMM, 2024-05-14 11:52:01.291007, 8738187.64
LoadCell, 2024-05-14 11:52:01.308951, None
DMM, 2024-05-14 11:52:01.308951, 8413008.46
LoadCell, 2024-05-14 11:52:01.328295, None
DMM, 2024-05-14 11:52:01.328295, 8094294.16
LoadCell, 2024-05-14 11:52:01.351270, None
DMM, 2024-05-14 11:52:01.351270, 7831144.99
LoadCell, 2024-05-14 11:52:01.370691, None
DMM, 2024-05-14 11:52:01.370691, 7722986.66
LoadCell, 2024-05-14 11:52:01.392470, 0.0001
DMM, 2024-05-14 11:52:01.392470, 7687325.07
LoadCell, 2024-05-14 11:52:01.411400, None
DMM, 2024-05-14 11:52:01.411400, 7703970.12
LoadCell, 2024-05-14 11:52:01.429777, None
DMM, 2024-05-14 11:52:01.429777, 7750417.67
LoadCell, 2024-05-14 11:52:01.451251, None
DMM, 2024-05-14 11:52:01.451251, 7804261.39
LoadCell, 2024-05-14 11:52:01.471406, None
DMM, 2024-05-14 11:52:01.471406, 7615800.1
LoadCell, 2024-05-14 11:52:01.492639, 0.0002
DMM, 2024-05-14 11:52:01.492639, 7412794.82
LoadCell, 2024-05-14 11:52:01.511119, None
DMM, 2024-05-14 11:52:01.511119, 7413726.08
LoadCell, 2024-05-14 11:52:01.525819, None
DMM, 2024-05-14 11:52:01.525819, 7452887.2
LoadCell, 2024-05-14 11:52:01.551259, None
DMM, 2024-05-14 11:52:01.551259, 7414668.83
LoadCell, 2024-05-14 11:52:01.571837, None
DMM, 2024-05-14 11:52:01.571837, 7272403.03
LoadCell, 2024-05-14 11:52:01.591497, 0.0002
DMM, 2024-05-14 11:52:01.591497, 7184114.92
LoadCell, 2024-05-14 11:52:01.613062, None
DMM, 2024-05-14 11:52:01.613062, 7179121.29
LoadCell, 2024-05-14 11:52:01.626076, None
DMM, 2024-05-14 11:52:01.626076, 7257921.99
LoadCell, 2024-05-14 11:52:01.651256, None
DMM, 2024-05-14 11:52:01.651256, 7271120.5
LoadCell, 2024-05-14 11:52:01.671202, None
DMM, 2024-05-14 11:52:01.671202, 7268057.09
LoadCell, 2024-05-14 11:52:01.691756, 0.0001
DMM, 2024-05-14 11:52:01.691756, 7305611.7
LoadCell, 2024-05-14 11:52:01.713792, None
DMM, 2024-05-14 11:52:01.713792, 7280357.21
LoadCell, 2024-05-14 11:52:01.726144, None
DMM, 2024-05-14 11:52:01.726144, 7265116.18
LoadCell, 2024-05-14 11:52:01.746742, None
DMM, 2024-05-14 11:52:01.746742, 7181894.17
LoadCell, 2024-05-14 11:52:01.771331, None
DMM, 2024-05-14 11:52:01.771331, 7169491.21
LoadCell, 2024-05-14 11:52:01.789854, 0.0002
DMM, 2024-05-14 11:52:01.789854, 7227148.0
LoadCell, 2024-05-14 11:52:01.808229, None
DMM, 2024-05-14 11:52:01.808229, 7341353.99
LoadCell, 2024-05-14 11:52:01.823936, None
DMM, 2024-05-14 11:52:01.823936, 7412325.66
