Sensor, Timestamp, Value
LoadCell, 2024-05-14 12:01:17.333608, None
DMM, 2024-05-14 12:01:17.333608, 5196879.79
LoadCell, 2024-05-14 12:01:18.010676, 0.0023
DMM, 2024-05-14 12:01:18.010676, 4090190.54
LoadCell, 2024-05-14 12:01:18.034715, None
DMM, 2024-05-14 12:01:18.034715, 4110042.35
LoadCell, 2024-05-14 12:01:18.051865, None
DMM, 2024-05-14 12:01:18.051865, 4077111.79
LoadCell, 2024-05-14 12:01:18.075108, None
DMM, 2024-05-14 12:01:18.075108, 4050914.72
LoadCell, 2024-05-14 12:01:18.094854, None
DMM, 2024-05-14 12:01:18.094854, 4041658.93
LoadCell, 2024-05-14 12:01:18.114214, 0.0023
DMM, 2024-05-14 12:01:18.114214, 4033454.63
LoadCell, 2024-05-14 12:01:18.134697, None
DMM, 2024-05-14 12:01:18.134697, 4058885.25
LoadCell, 2024-05-14 12:01:18.154536, None
DMM, 2024-05-14 12:01:18.154536, 4095668.01
LoadCell, 2024-05-14 12:01:18.174957, None
DMM, 2024-05-14 12:01:18.174957, 4064856.84
LoadCell, 2024-05-14 12:01:18.197376, None
DMM, 2024-05-14 12:01:18.197376, 4066808.1
LoadCell, 2024-05-14 12:01:18.214605, 0.0024
DMM, 2024-05-14 12:01:18.214605, 4073892.14
LoadCell, 2024-05-14 12:01:18.230025, None
DMM, 2024-05-14 12:01:18.230025, 4065754.27
LoadCell, 2024-05-14 12:01:18.249394, None
DMM, 2024-05-14 12:01:18.249394, 4065237.4
LoadCell, 2024-05-14 12:01:18.275934, None
DMM, 2024-05-14 12:01:18.275934, 4048820.57
LoadCell, 2024-05-14 12:01:18.294894, None
DMM, 2024-05-14 12:01:18.294894, 4057043.44
LoadCell, 2024-05-14 12:01:18.314414, 0.0025
DMM, 2024-05-14 12:01:18.314414, 4076520.34
LoadCell, 2024-05-14 12:01:18.330657, None
DMM, 2024-05-14 12:01:18.330657, 4095122.86
LoadCell, 2024-05-14 12:01:18.351512, None
DMM, 2024-05-14 12:01:18.351512, 4097533.64
LoadCell, 2024-05-14 12:01:18.374884, None
DMM, 2024-05-14 12:01:18.374884, 4107757.74
LoadCell, 2024-05-14 12:01:18.394611, None
DMM, 2024-05-14 12:01:18.394611, 4120351.84
LoadCell, 2024-05-14 12:01:18.418049, 0.0024
DMM, 2024-05-14 12:01:18.418049, 4103370.63
LoadCell, 2024-05-14 12:01:18.432925, None
DMM, 2024-05-14 12:01:18.432925, 4092929.32
LoadCell, 2024-05-14 12:01:18.453446, None
DMM, 2024-05-14 12:01:18.453446, 4086083.97
LoadCell, 2024-05-14 12:01:18.474690, None
DMM, 2024-05-14 12:01:18.474690, 4043604.56
LoadCell, 2024-05-14 12:01:18.496350, None
DMM, 2024-05-14 12:01:18.496350, 4034866.94
LoadCell, 2024-05-14 12:01:18.515054, 0.0023
DMM, 2024-05-14 12:01:18.515054, 4045524.77
LoadCell, 2024-05-14 12:01:18.534854, None
DMM, 2024-05-14 12:01:18.534854, 4048540.4
LoadCell, 2024-05-14 12:01:18.553453, None
DMM, 2024-05-14 12:01:18.553453, 4040283.07
LoadCell, 2024-05-14 12:01:18.575340, None
DMM, 2024-05-14 12:01:18.575340, 4002001.44
LoadCell, 2024-05-14 12:01:18.594618, None
DMM, 2024-05-14 12:01:18.594618, 3968622.93
LoadCell, 2024-05-14 12:01:18.614498, 0.0024
DMM, 2024-05-14 12:01:18.614498, 3958647.32
LoadCell, 2024-05-14 12:01:18.636889, None
DMM, 2024-05-14 12:01:18.636889, 3972594.53
LoadCell, 2024-05-14 12:01:18.647181, None
DMM, 2024-05-14 12:01:18.647181, 3973125.69
LoadCell, 2024-05-14 12:01:18.675223, None
DMM, 2024-05-14 12:01:18.675223, 3929520.86
LoadCell, 2024-05-14 12:01:18.694753, None
DMM, 2024-05-14 12:01:18.694753, 3911471.72
LoadCell, 2024-05-14 12:01:18.712970, 0.0024
DMM, 2024-05-14 12:01:18.712970, 3911591.26
LoadCell, 2024-05-14 12:01:18.730921, None
DMM, 2024-05-14 12:01:18.730921, 3916283.46
LoadCell, 2024-05-14 12:01:18.751477, None
DMM, 2024-05-14 12:01:18.751477, 3908202.37
LoadCell, 2024-05-14 12:01:18.775093, None
DMM, 2024-05-14 12:01:18.775093, 3885558.96
LoadCell, 2024-05-14 12:01:18.794734, None
DMM, 2024-05-14 12:01:18.794734, 3864769.43
LoadCell, 2024-05-14 12:01:18.814597, 0.0024
DMM, 2024-05-14 12:01:18.814597, 3843791.56
LoadCell, 2024-05-14 12:01:18.832935, None
DMM, 2024-05-14 12:01:18.832935, 3856085.68
LoadCell, 2024-05-14 12:01:18.858871, None
DMM, 2024-05-14 12:01:18.858871, 3872998.58
LoadCell, 2024-05-14 12:01:18.874829, None
DMM, 2024-05-14 12:01:18.874829, 3865668.21
LoadCell, 2024-05-14 12:01:18.894229, None
DMM, 2024-05-14 12:01:18.894229, 3866478.53
LoadCell, 2024-05-14 12:01:18.914234, 0.0024
DMM, 2024-05-14 12:01:18.914234, 3875377.69
LoadCell, 2024-05-14 12:01:18.934769, None
DMM, 2024-05-14 12:01:18.934769, 3889531.98
LoadCell, 2024-05-14 12:01:18.953763, None
DMM, 2024-05-14 12:01:18.953763, 3895175.26
LoadCell, 2024-05-14 12:01:18.975274, None
DMM, 2024-05-14 12:01:18.975274, 3881967.22
LoadCell, 2024-05-14 12:01:18.994832, None
DMM, 2024-05-14 12:01:18.994832, 3879759.8
LoadCell, 2024-05-14 12:01:19.014250, 0.0023
DMM, 2024-05-14 12:01:19.014250, 3879123.6
LoadCell, 2024-05-14 12:01:19.034604, None
DMM, 2024-05-14 12:01:19.034604, 3869712.24
LoadCell, 2024-05-14 12:01:19.051490, None
DMM, 2024-05-14 12:01:19.051490, 3825747.46
LoadCell, 2024-05-14 12:01:19.078108, None
DMM, 2024-05-14 12:01:19.078108, 3778603.08
LoadCell, 2024-05-14 12:01:19.094584, None
DMM, 2024-05-14 12:01:19.094584, 3833510.41
LoadCell, 2024-05-14 12:01:19.114441, 0.0024
DMM, 2024-05-14 12:01:19.114441, 3957638.28
LoadCell, 2024-05-14 12:01:19.132771, None
DMM, 2024-05-14 12:01:19.132771, 4286671.82
LoadCell, 2024-05-14 12:01:19.152430, None
DMM, 2024-05-14 12:01:19.152430, 4628739.48
LoadCell, 2024-05-14 12:01:19.175096, None
DMM, 2024-05-14 12:01:19.175096, 4784122.65
LoadCell, 2024-05-14 12:01:19.194863, None
DMM, 2024-05-14 12:01:19.194863, 4784921.95
LoadCell, 2024-05-14 12:01:19.214398, 0.0024
DMM, 2024-05-14 12:01:19.214398, 4739575.76
LoadCell, 2024-05-14 12:01:19.234648, None
DMM, 2024-05-14 12:01:19.234648, 4701340.75
LoadCell, 2024-05-14 12:01:19.253414, None
DMM, 2024-05-14 12:01:19.253414, 4716498.85
