Force (lbf),Resistance (Ohms),Resistance (Ohms)_rounded
5.004,3879.0,3880.0
5.001,3938.0,3940.0
5.003,3936.0,3940.0
5.001,3979.0,3980.0
5.001,4054.0,4050.0
5.0,3854.0,3850.0
5.001,4094.0,4090.0
5.002,3902.0,3900.0
5.003,3860.0,3860.0
5.001,3854.0,3850.0
5.001,3981.0,3980.0
5.001,3895.0,3900.0
5.007,3819.0,3820.0
5.019,3745.0,3740.0
5.002,3847.0,3850.0
5.004,4010.0,4010.0
5.005,3924.0,3920.0
5.002,3961.0,3960.0
5.002,3777.0,3780.0
5.001,3790.0,3790.0
5.003,3966.0,3970.0
5.004,3932.0,3930.0
5.002,4022.0,4020.0
5.007,3942.0,3940.0
5.002,3986.0,3990.0
5.016,3933.0,3930.0
5.019,4069.0,4070.0
5.01,3985.0,3980.0
5.014,3876.0,3880.0
5.002,3923.0,3920.0
5.005,3822.0,3820.0
5.003,3824.0,3820.0
5.001,3923.0,3920.0
5.011,3822.0,3820.0
5.013,3919.0,3920.0
5.013,3864.0,3860.0
5.002,3854.0,3850.0
5.009,4090.0,4090.0
5.005,3747.0,3750.0
5.002,3728.0,3730.0
5.002,3767.0,3770.0
5.001,3811.0,3810.0
5.005,3720.0,3720.0
5.009,3802.0,3800.0
5.004,3759.0,3760.0
5.004,3815.0,3820.0
5.002,3694.0,3690.0
5.004,3730.0,3730.0
5.001,3661.0,3660.0
5.011,3776.0,3780.0
5.005,3839.0,3840.0
5.004,3837.0,3840.0
5.009,3506.0,3510.0
