Force (lbf),Resistance (Ohms),Expected Resistance (Ohms),Percent Error (%)
4.7548,4370.0,4130,5.81
4.7604,4030.0,4120,-2.18
4.7584,4150.0,4120,0.73
4.7578,4210.0,4120,2.18
4.7602,4120.0,4120,0.0
4.7563,4070.0,4130,-1.45
4.7594,4050.0,4120,-1.7
4.7586,3910.0,4120,-5.1
4.7582,4180.0,4120,1.46
4.753,3950.0,4130,-4.36
4.7561,4040.0,4130,-2.18
4.7568,3820.0,4120,-7.28
4.7612,4110.0,4120,-0.24
4.7591,3810.0,4120,-7.52
4.7556,4030.0,4130,-2.42
4.7565,4060.0,4130,-1.69
4.7601,4260.0,4120,3.4
4.7574,4240.0,4120,2.91
4.7618,4150.0,4120,0.73
4.7578,4250.0,4120,3.16
4.7542,4170.0,4130,0.97
4.7631,4160.0,4120,0.97
4.7619,4090.0,4120,-0.73
4.758,4060.0,4120,-1.46
4.7626,4190.0,4120,1.7
4.7581,4260.0,4120,3.4
4.7611,4130.0,4120,0.24
4.7588,4190.0,4120,1.7
4.7615,3980.0,4120,-3.4
4.7592,4110.0,4120,-0.24
4.7563,3980.0,4130,-3.63
4.7668,4130.0,4110,0.49
4.7538,4150.0,4130,0.48
4.7589,4150.0,4120,0.73
4.7605,3990.0,4120,-3.16
4.7625,4080.0,4120,-0.97
4.7623,4190.0,4120,1.7
4.7618,3970.0,4120,-3.64
4.7643,4120.0,4120,0.0
4.7623,4030.0,4120,-2.18
4.7549,4020.0,4130,-2.66
4.7589,3990.0,4120,-3.16
4.7546,3990.0,4130,-3.39
4.7595,4230.0,4120,2.67
4.7563,3990.0,4130,-3.39
4.7568,4170.0,4120,1.21
4.7597,3850.0,4120,-6.55
4.7572,3800.0,4120,-7.77
4.76,3970.0,4120,-3.64
4.7618,3960.0,4120,-3.88
