Force (lbf),Resistance (Ohms),Expected Resistance (Ohms),Percent Error (%)
5.004,3879.0,3753,3.35
5.001,3938.0,3756,4.86
5.003,3936.0,3754,4.84
5.001,3979.0,3756,5.95
5.001,4054.0,3756,7.94
5.0,3854.0,3756,2.6
5.001,4094.0,3756,9.01
5.002,3902.0,3755,3.92
5.003,3860.0,3754,2.82
5.001,3854.0,3756,2.62
5.001,3981.0,3756,6.0
5.001,3895.0,3756,3.71
5.007,3819.0,3751,1.81
5.019,3745.0,3742,0.08
5.002,3847.0,3755,2.45
5.004,4010.0,3753,6.84
5.005,3924.0,3753,4.57
5.002,3961.0,3755,5.49
5.002,3777.0,3755,0.59
5.001,3790.0,3756,0.91
5.003,3966.0,3754,5.64
5.004,3932.0,3753,4.76
5.002,4022.0,3755,7.11
5.007,3942.0,3751,5.09
5.002,3986.0,3755,6.15
5.016,3933.0,3744,5.04
5.019,4069.0,3742,8.74
5.01,3985.0,3749,6.3
5.014,3876.0,3746,3.47
5.002,3923.0,3755,4.48
5.005,3822.0,3753,1.85
5.003,3824.0,3754,1.86
5.001,3923.0,3756,4.46
5.011,3822.0,3748,1.97
5.013,3919.0,3747,4.6
5.013,3864.0,3747,3.13
5.002,3854.0,3755,2.64
5.009,4090.0,3750,9.08
5.005,3747.0,3753,-0.15
5.002,3728.0,3755,-0.72
5.002,3767.0,3755,0.32
5.001,3811.0,3756,1.47
5.005,3720.0,3753,-0.87
5.009,3802.0,3750,1.4
5.004,3759.0,3753,0.15
5.004,3815.0,3753,1.64
5.002,3694.0,3755,-1.62
5.004,3730.0,3753,-0.62
5.001,3661.0,3756,-2.52
5.011,3776.0,3748,0.74
5.005,3839.0,3753,2.3
5.004,3837.0,3753,2.23
5.009,3506.0,3750,-6.5
