Force (lbf),Resistance (Ohms)
6.606,3013.0
6.603,2788.0
6.603,2875.0
6.602,2871.0
6.602,2896.0
6.604,2905.0
6.603,2882.0
6.601,2976.0
6.602,2956.0
6.603,2855.0
6.602,2813.0
6.603,2876.0
6.601,2814.0
6.604,2917.0
6.604,2908.0
6.602,2883.0
6.602,3040.0
6.601,2743.0
6.602,2923.0
6.603,2938.0
6.602,2816.0
6.602,2841.0
6.602,2823.0
6.602,2675.0
6.602,2806.0
6.606,2831.0
6.603,2713.0
6.603,2794.0
6.602,2782.0
6.601,2875.0
6.603,2886.0
6.602,2826.0
6.602,2854.0
6.605,2866.0
6.603,2857.0
6.601,2847.0
6.604,2693.0
6.606,2981.0
6.602,2779.0
6.602,2740.0
6.603,2876.0
6.604,2805.0
6.602,2895.0
6.602,2869.0
6.604,2794.0
6.601,2842.0
6.601,2677.0
6.6,2694.0
6.606,2962.0
6.607,2748.0
6.602,2726.0
