Force (lbf),Resistance (Ohms),Expected Resistance (Ohms),Percent Error (%)
7.752,2384.0,2332,2.24
7.752,2391.0,2332,2.54
7.757,2471.0,2330,6.05
7.754,2391.0,2331,2.57
7.76,2330.0,2329,0.04
7.768,2329.0,2326,0.12
7.756,2282.0,2330,-2.08
7.76,2245.0,2329,-3.61
7.764,2333.0,2328,0.23
7.756,2381.0,2330,2.17
7.76,2273.0,2329,-2.4
7.762,2475.0,2328,6.3
7.768,2232.0,2326,-4.05
7.764,2196.0,2328,-5.65
7.764,2267.0,2328,-2.6
7.754,2137.0,2331,-8.33
7.756,2364.0,2330,1.44
7.755,2230.0,2331,-4.32
7.755,2230.0,2331,-4.32
7.758,2217.0,2330,-4.84
7.756,2337.0,2330,0.28
7.755,2323.0,2331,-0.33
7.757,2204.0,2330,-5.41
7.757,2487.0,2330,6.74
7.751,2260.0,2332,-3.09
7.753,2185.0,2331,-6.28
7.751,2303.0,2332,-1.25
7.761,2039.0,2329,-12.44
7.753,2190.0,2331,-6.07
7.755,2241.0,2331,-3.85
7.752,2223.0,2332,-4.67
7.751,2196.0,2332,-5.84
7.752,2150.0,2332,-7.8
7.752,2204.0,2332,-5.48
7.758,2121.0,2330,-8.96
7.751,2328.0,2332,-0.18
7.751,2193.0,2332,-5.97
7.751,2117.0,2332,-9.23
7.752,2198.0,2332,-5.74
7.764,2371.0,2328,1.86
7.752,2274.0,2332,-2.48
7.753,2153.0,2331,-7.65
7.753,2100.0,2331,-9.93
7.751,2170.0,2332,-6.95
7.75,2203.0,2333,-5.55
7.751,2165.0,2332,-7.17
7.753,2262.0,2331,-2.98
7.752,2209.0,2332,-5.27
7.754,2183.0,2331,-6.35
7.752,2320.0,2332,-0.51
